soort,naam,straatnaam,huisnummer,postcode,woonplaats,maandag,dinsdag,woensdag,donderdag,vrijdag,trouwlocatie,telefoonnummer,website,mailadres,identificatie,latitude,longitude
trouwlocatie,kim's kroeg,piusplein,61,5038wp,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-8228414,http://www.kimskroeg.nl/,welkom@kimskroeg.nl,0855010000056204,51.55538752146364,5.09096862996088
trouwlocatie,restaurant harboury,havendijk,75,5017al,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-2070065,http://www.harboury.nl/,info@harboury.nl,0855010000107921,51.552826519722274,5.0984958913548795
het laken,het laken,hart van brabantlaan,12,5038jl,tilburg,nvt,nvt,nvt,nvt,nvt,nee,013-5428284,https://www.raadtilburg.nl,raadsgriffie@tilburg.nl,0855010000100529,51.56019305346173,5.075993466080082
milieustraat,milieustraat albion,caledoniastraat,13,5047tz,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,https://www.tilburg.nl/inwoners/afval/milieustraat/,afval@tilburg.nl,0855010000091105,51.58423601350832,5.031335678824566
milieustraat,milieustraat hoolstraat,hoolstraat,2b,5056pk,berkel-enschot,nvt,nvt,nvt,nvt,nvt,nee,14 013,https://www.tilburg.nl/inwoners/afval/milieustraat/,afval@tilburg.nl,0855010000082040,51.595417831700956,5.142632203159863
trouwlocatie,club smederij,burgemeester brokxlaan,8-82,5041sb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,,https://www.clubsmederij.nl,info@clubsmederij.nl,0855010000116692,51.56110767704503,5.0879869909128885
trouwlocatie,villa vredelust,bredaseweg,546,5036nb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-2086969,https://villa-vredelust.nl,info@villa-vredelust.nl,0855010000013609,51.55997926558485,5.01768260840031
trouwlocatie,seven hills events,zevenheuvelenweg,30,5048an,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-7855456,https://www.sevenhillsevents.nl/,info@sevenhillsevents.nl,0855010000120353,51.5847292638623,5.057388894744979
trouwlocatie,zjuu brunch & borrelbar,professor van buchemlaan,4,5022kb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-3034119,http://www.zjuu-tilburg.nu/,info@zjuu-tilburg.nu,0855010000315677,51.54576817815842,5.102010262143027
trouwlocatie,bij peerke donders,pater dondersstraat,14,5011xg,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-4551315,http://www.bijpeerkedonders.nl/,info@bijpeerkedonders.nl,0855010000050428,51.59386010147739,5.092049692685846
