Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
A&P International;;1;1
A. Theeuwen;;1;1
A. Vollebregt;;1;1
A.R. Gopal Exploitaties;;1;1
ABC Cleaning Braeken;;1;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;1;1
ACS Delta;;1;1
Admiraal Car Cleaning;;1;1
Adrem Autoverhuur;;1;1
Algemene Brandstoffen Compagnie Tilburg B.V.;;1;1
All American Imports B.V.;;1;1
Alles voor je Truck;;3;3
Alp Lift;;1;1
Altena Cleaning, Inspection;;1;1
Alup Kompressoren;;1;1
Ames Autobedrijf;;1;1
ANAC autowasstraat;;1;1
ANWB;;1;1
APCOA Parking;;3;3
A-Point;;4;4
APS BV;;1;1
Ardea Auto;;1;1
Auto BHB B.V.;;1;1
Auto Boll B.V.;;1;1
Auto Bourguignon;;1;1
Auto Gorter;;1;1
Auto Halan B.V.;;1;1
Auto Indumij Dordrecht;;1;1
Auto Mondt;;1;1
Auto Muntstad;;1;1
Auto Palace;;1;1
Auto Poppe;;2;2
Auto Rent Ad Melissant;;1;1
Autobedrijf A.G. Verbeek;;1;1
Autobedrijf Ambergen B.V.;;1;1
Autobedrijf Beukers;;1;1
Autobedrijf Dirk van der Steen;;1;1
Autobedrijf Galema Leeuwarden;;1;1
Autobedrijf Herweijer;;1;1
Autobedrijf J. Maas;;1;1
Autobedrijf Noordegraaf B.V.;;1;1
Autobedrijf Plekkepoel;;1;1
Autobedrijf Smit & Co Zwolle;;1;1
Autobedrijf Van Der Heide;;1;1
Autobedrijf Van der Werf Ede;;1;1
Autobedrijf van Mossel;;1;1
Autobedrijf Wielinga;;1;1
Autobedrijven ESA Drachten;;1;1
Autodebrijf Jos van Boxtel 's-Herto;;1;1
Autohaas Autoverhuur;;1;1
Autoland van den Brug;;1;1
Autolease Groningen;;1;1
''Automobielbedrijf ''''De Zwaan'''' B.V.'';;1;1
Automobielbedrijf van Hunnik;;1;1
Autop;;1;1
Autopallas Verhuur;;1;1
Autopoetsbedrijf Tahsin;;1;1
Autorent;;1;1
''Autoschade ''''De Platvoet'''' B.V.'';;1;1
Autoschade Splinter;;1;1
Autoservice van der Velden;;1;1
Autoverhuur Bultman;;1;1
Autoverhuur Rijnmond;;1;1
Autoverhuur Van der Weerd BV;;1;1
Autoverhuur Van Kaam Zuid West;;1;1
Autowascentrum Binckhorstlaan (B Kerkhof & Zn.);;1;1
Autowascentrum David;;1;1
Autowasstraat Nuri/Effe Wassen;;1;1
Avis Autoverhuur (incl. Budget rent a car);;1;1
Axians;;1;1
B & B Autogroep (Van Den Berg);;1;1
Baan Twente;;1;1
Babypark Kesteren;;1;1
Bangarage;;1;1
Bavaria Cars;;1;1
BCD Travel;;1;1
Bekkers Auto- en Meubelstoffering;;1;1
Berkman Energie;;1;1
Bernard Sanders;;1;1
Bert Van Loon Groentechniek B.V.;;1;1
Besseling Vervoert;;1;1
Beursgens;;1;1
BMW;;1;1
Bocars Skoda;;1;1
Bochane Rent;;1;1
Boer Automaterialen;;1;1
Bol Handelsonderneming;;1;1
Bolk Transport;;1;1
Bo-mij Beheer (incl. Bo-rent);;1;1
Boonstra;;1;1
Borchwerf Auto;;1;1
Bos Tuingereedschappen;;1;1
Boxem Ter Apel;;1;1
Brabant Expres;;1;1
Breur Beveiligingen, Ijzerhandel;;1;1
Brezan;;1;1
Broekhuis Bedrijfswagens;;2;2
Buitenhuis Autoverhuur;;2;2
C.G. Holthausen;;1;1
car2go Nederland B.V.;;1;1
Car-Cleaners;;1;1
Carcleaning Zutphen BV;;1;1
Care Schadeservice;;1;1
Carglass;;1;1
