Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);1;;2;;;;;1;2;;2
Aanbestedingskalender;;;1;;;;;;;;1
Aben & Slag Advocaten;1;;;;;;;;;;1
Abn-Amro Bank (incl. Fortis);;;1;;;;;;;;1
Aboma + Keboma;;;2;;;;;;;;2
Abvakabo;;;;;;;;;1;;1
Accon Avm Accountants & Adviseurs;;;1;;;;;;;;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;;;;;;;;1;1
Acmaa;;;1;;;;;;;;1
Ad Astra Advocaten;1;;;;;;;;;;1
Advocatenkantoor Alaca;1;;;;;;;;;;1
ADW Advocaten;;;;;;;;;;1;1
Aegon;;;1;;;;;;;;1
AKD Prinsen van Wijmen Advocaten;1;;;;;;;;;1;1
Albron Catering;;1;;;;;;;;;1
Aloys Roemaat Transport;;;;;;;1;;;;1
Alter Haaglanden;;;;;;;;1;;;1
Amos Milieutechniek;;;1;;;;;;;;1
Amphia Ziekenhuis;;;1;;;;;;;;1
Amsta / Medische Dienst Buiten De R;;;;;;;;;;1;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;;;;;1;;1
Ardis Management Development;1;;;;;;;;1;;2
Arenda Oomen Fotografie;1;;;;;;;;;;1
Asp4All Hosting;;;;;;;;;1;;1
Aspen Oss BV;;;;;;;;;;1;1
Assum Delft advocaten;1;;;;;;;;;;1
Atrium Medisch Centrum Parkstad;;;1;;;;;;;;1
Banketbakkerij Boheemen;;1;;;;;;;;;1
Banning Advocaten;1;;;;;;;;;;1
Bart van Vliet Freelance Fotograaf;;;;;;;;;1;;1
Bazo Staalbeheer BV;;;;;;;;;;1;1
Beens Groep;;;;;;;;;;1;1
Besseling Vervoert;;;;;;;;;1;;1
Best Western Hotels;;;1;;;;;;;;1
Beveiligings Techniek IJzendoorn;;;1;;;;;;;;1
Bezmalinovic Legal Ways Advocaten;1;;;;;;;;;;1
Bilderberg Hotels;;;;;;;;;1;;1
BJU Boom Juridische Uitgevers (incl. Sun);1;;;;;;;;1;;1
BK Brandkasten;;;;;;;;1;;;1
BMS Assurance;;;;;;;;;1;;1
Bol.Com;;;;;;;;;1;;1
Borsboom en Hamm Advocaten;1;;;;;;;;;;1
Boskamp & Willems Advocaten;1;;;;;;;;;1;1
Bosman Sleutel-Slotenspecialist;;;1;;;;;;;;1
BoutOveres Advocaten;1;;;;;;;;;1;1
Bouwbedrijf Mulder BV;;;;;;;;;;1;1
Bouwfonds Office Value Fund;;;;;;;;;;1;1
Brabants Lederwarenhuis;;;;;;;;;1;;1
Brekelmans St Beh Derdengelden;1;;;;;;;;;;1
Brink's Nederland;;;1;;;;;;;;1
Brofa;;;1;;;;;;;;1
BTA Montage;1;;;;;;;;;;1
Buik en van der Horst Gerechtsdeurwaarders;;;;;;;;;;1;1
Buma Stemra;;;;;;;;;1;;1
Bureau G.I.T;;;;;;;;;1;;1
Capriole Coffee-Service;;1;;;;;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;;;;;;;1;;1
Central Point;;;;;;;;;1;;1
Chris Potter;1;;;;;;;;;;1
CNV Vakmensen;1;;;;;;;;;;1
Cohen Huisartsenpraktijk;;;1;;;;;;;;1
Cohesie;;;1;;;;;;;;1
Collet Advocaten;2;;;;;;;;;1;2
Company.Info;;;2;;;;;;;;2
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;1;;;;;;;;;1
Concorde Group;1;;3;;;;;;;;3
Congrestolken;1;;1;;;;;;;;1
Conrad Electronic;;;;;;;;;1;;1
CSU Schoonmaak (vh. City Service);;;;3;;;;;;;3
Damen Shipyards;;;;;;;;;;1;1
DAS (Incasso, Rechtsbijstand);2;;;;;;;;;1;2
De Boer Bosch Sonmez Advocaten;1;;;;;;;;;;1
De Groot & Geluk;;;;2;;;;;;;2
De Haan Advocaten;1;;;;;;;;;;1
De Koning Juristen;1;;;;;;;;;;1
De Mer Advocaten;1;;;;;;;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);2;;;;;;;;1;1;2
De Reiger Catering (incl. Nikita, Vechthuis);;3;;;;;;;;;3
De Schans Huisartsengroep;;;1;;;;;;;;1
De Sleutelspecialist Rotterdam;;;1;;;;;;;;1
De Sniep Restaurant & Hotel;;1;;;;;;;;;1
De Tolk / The Interpreter;;;1;;;;;;;;1
De Tuinkamer;;1;;;;;;;;;1
De Tuyn Restaurant (J.A.W. Groeneveld);1;;;;;;;;;;1
De Voort Hermes De Bont / Advocaten;1;;;;;;;;;;1
De Vreede Advocaten;1;;;;;;;;;1;2
Derdengelden van Dam & Kruidenier;1;;;;;;;;;1;1
Detect Milieu Services;;;1;;;;;;;;1
Dick Vijn Logistiek Barendrecht BV;;;;;;;;;;1;1
Dietvorst & Te Braake;1;;;;;;;;;;1
Digital Revolution;;;;;;;;;1;;1
