Rijlabels;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Atos Nederland B.V.;;7;;9;9
Axez ICT Solutions B.V.;;5;;;5
Between Staffing Nederland B.V.;;;;5;5
B-Lay B.V.;;2;;;2
Capgemini N.V.;;;;2;2
CM.COM Netherlands B.V.;;;1;;1
COMPAREX Nederland B.V.;;5;;4;6
Coolblue B.V.;1;;;;1
De Staffing Groep Nederland B.V.;;;;5;5
DXC Technology;;3;;;3
Employee Performance Group B.V.;;;;2;2
Fortes Solutions B.V.;;;;1;1
Gartner Nederland B.V.;;5;;2;5
GoodHabitz B.V.;;2;;;2
HeadFirst B.V.;;;;2;2
ISS Integrated Facility Services B.V.;;;;1;1
Ivo Broekhuizen Communicatie;;1;;;1
Jstack B.V.;;;;4;4
Microsoft B.V.;;;;5;5
NFGD Zoetermeer B.V.;;;;2;2
Oracle Nederland;;6;;;6
Orange Business Netherlands B.V.;;;;9;9
Ordina Nederland B.V.;;2;;;2
Pardon Consult;;;;1;1
Planon B.V.;;;;4;4
PointLogic HR B.V.;;2;;;2
Pricewaterhousecoopers B.V.;;2;;;2
Protinus IT B.V.;;4;;;4
QuoVadis Trustlink B.V.;;2;;2;2
Schut-Copex B.V.;;;;1;1
Schutten It B.V.;;2;;;2
Sectra Communications B.V.;;;6;;6
SoftwareONE B.V.;;8;;;8
Synergy Internation. Systems Netherlands B.V.;;;;2;2
Transip B.V.;;;;1;1
Virtual Sciences Solutions B.V.;;2;;;2
Vodafone;;;6;4;7
Vodafone Libertel B.V.;;;1;;1
Worldmeetings.com B.V.;;;;1;1
Xerox (Nederland) B.V.;;;;1;1
Eindtotaal;1;9;7;10;10
