Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);;;;;1;;1;5;;5
11 Congressen;;;;;1;;;;;1
123broodje;;;;;1;;;;;1
1798 Restaurant;1;;;;;;;;;1
180 Gedragsinterventies en ontwikkelprogramma;;;;1;1;;2;1;;2
1837 Eetcafé;;;;;1;;;;;1
2-nice;;;;1;;;;;;1
2Rent;;;;;;;1;1;;1
3M;;1;;;;;;4;;4
3S Nederland Detachering B.V.;;1;;;;;;;;1
4B-Plus;;;;;;;;1;;1
4D Path;;;;;1;;;;;1
4-Locks;;;;;;;;1;;1
4Some Technisch Beheer;;;;;;;1;;;1
4Walls Systeemwand Accessoires;;;;;;;;1;;1
7Am;1;;;;2;;;;;2
A&P International;2;1;2;1;1;;3;2;;4
A. De Jong T.H.;;;;;;;;1;;1
A. Knol;1;;;;;;;;;1
A. Theeuwen;;;;;1;;;;;1
A. Timmerman's Ijzerhandel;;;;;;;;1;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;;;;1;;;1;;2
A. van Riezen Sportprijzen;;;;;1;;;;;1
A.C. De Boer Horeca;1;;;;1;;;;;1
A.C.T. van Kalsbeek;;;;;1;;;;;1
A.J.J.M. Diepstraten;;;;;1;;;;;1
A.M. Hartsema - de Mattos;;;;;1;;;;;1
A.S. Valentini;;;;;1;;;;;1
A.T.M. Veldman;;;;;1;;;;;1
A1 Montage;;;;;;;1;;;1
A1-City;;;;;1;;;;;1
Aaauw Ongediertebestrijding;;;1;;;;;;;1
AAB Beveiligingen;;2;;;;;;;;2
Aakwadraat Networks/A2 Networks;;;;;;;;1;;1
Aannemersbedrijf Peters;;;;;;1;1;;;1
Aarts Vissers Wijnen;;;;;1;;;;;1
Aas Opleiding en Training;;1;;;;;;;;1
ABC Restaurant Velp;;;;;1;;;;;1
Aberkrom Service & Onderhoud Grafische Afwerking;;;;;;;;1;;1
Abiom;;4;;;;;;1;;4
ABO Opleidingen;;1;;;;;;;;1
About Flowers;;;;;1;;;;;1
Absoluta Food and Facilities;1;;;;;;;;;1
Abson;;;;;;;;1;;1
Academie Voor Overheidsjuristen;;;;;1;;;1;;1
Accountor Group;;;;;;;;;1;1
Acepack Draagtassen;;;;1;;;;;;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;;;;;1;;;1
Achterkamp Bedrijfsopleidingen;;1;;;;;;;;1
Ackermans Handelsonderneming Vof;1;;;;;;;1;;1
ACM Opleidingen;;1;;;;;;;;1
Acta Theaterproducties;;;;;1;;;;;1
Actifood;1;;;;;;;;;1
Actium;;;;;1;;;;;1
Acurity N.V.;;;;1;;;;1;;1
ACV Beveiligingstech;;1;;;;;;;;1
ADC Lettersprint;;;;;1;;;;;1
ADC Reproservice;;;;;;;;1;;1
