;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
(BBP) Beerens-Business Press B.V.;1;;;1
(Naast) de Markt B.V.;;;1;1
2 Maal Ee;;;1;1
36 Cycling B.V.;;1;;1
7Beaufort;;;2;2
A & B Accessoires & Bloemen;;;1;1
A. van Helden Relatiegeschenken B.V.;;;1;1
A12 Van der Valk Hotel Veenendaal B.V.;;;1;1
AAA Display B.V.;;;1;1
AbelTalent;;;2;2
Abonnementenland;1;;;1
ABP-Reclame;;;1;1
Absoluta B.V.;;;1;1
Accountor Nederland B.V.;1;;;1
Acquire Publishing B.V.;1;;;1
AD NieuwsMedia B.V.;1;;;1
Ahmet Polat Fotografie;;;1;1
Albert Heijn B.V.;;;1;1
alex360;;;1;1
Amazing Bread Company B.V.;;1;;1
Ame Research B.V.;1;;;1
AMERICAN METEOROLOGICAL SOCIETY (AM;2;;;2
anoniem_IenW_264;;;1;1
anoniem_IenW_270;;;1;1
anoniem_IenW_314;;;1;1
anoniem_IenW_315;;;1;1
anoniem_IenW_316;;;2;2
anoniem_IenW_317;;;1;1
anoniem_IenW_398;;1;;1
anoniem_IenW_408;;;1;1
anoniem_IenW_413;;;1;1
anoniem_IenW_579;;1;;1
anoniem_IenW_580;;;1;1
anoniem_IenW_668;1;;;1
anoniem_IenW_679;;;1;1
anoniem_IenW_70;;;1;1
anoniem_IenW_728;;;1;1
anoniem_IenW_94;;;1;1
anoniem_IenW_95;;;1;1
anoniem_IenW_96;;;1;1
anoniem_IenW_97;;;1;1
Another Site;;;1;1
AO Core B.V.;;;1;1
Ap-Art;;;1;1
Apple Retail Netherlands B.V.;1;;;1
Aquasport Sail Away;;;1;1
ARA Groep B.V.;;;1;1
Arbo Unie B.V.;;;1;1
Arcgis Gebruikersgroep Nederland;1;;;1
Architectuurcentrum Aorta;;1;;1
Ardis Organisatieontwikkeling B.V.;;;2;2
Art of Work Utrecht;;1;;1
Artihove Regina B.V.;;;1;1
AS-Sounds;;1;;1
Atelier NL B.V.;;;1;1
Atlas Technologies B.V.;;1;;1
AtWorX Media Group B.V.;;;1;1
AUX ARMES DE BRUXELLES;;;1;1
Avex B.V.;;2;1;2
B.V. Algemeen Nederlands Persbureau ANP;1;;1;1
BAB-VIOS Touringcars B.V.;;1;;1
Baek Food & Drinks;;;1;1
Bakker Van Maanen Productie B.V.;;;1;1
Bakker Wim;;;1;1
Bakkerij Broekmans B.V.;;;1;1
Bakkerij Schuurmans;;;1;1
Bally's Bowling;;;1;1
BAM Infra Regionaal Den Haag;;;1;1
Banketbakkerij en Chocolaterie Wesseling B.V.;;;1;1
Banketbakkerij Jansen-de Koning;;;1;1
Banketbakkerij Nijstad;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;1;1
Banketbakkerij Vlaar B.V.;;;1;1
Barista Mobile t.h.o.d.n. Casabarista;;1;;1
Baston Service B.V.;;;1;1
BDUvakmedia B.V.;1;;;1
Beachclub BAIT;;;1;1
Bedrijfscatering Jan Vendrig;;;1;1
Bedrijfsfotograaf Culemborg;;;1;1
Belgian Beer Cafe Belvédère;;;1;1
Bergslot B.V.;;;1;1
Betonvereniging';1;;;1
Beuk Touringcars;;;1;1
Beurs van Berlage C.V.;1;;;1
Bevro International B.V.;;;1;1
Bij John eten & drinken;;;1;1
Bijlsma Wartena B.V.;;;2;2
BKFF bas kijzers fotografie en film;;;1;1
Bloemenboetiek Panhuis;;;1;1
BLOSSOM bloemisterij;;;1;1
Bluebird Holding B.V.;;1;;1
Bobbe International B.V.;3;;1;3
Boeketcadeau.nl;;;1;1
Boekhandel Van der Velde;1;;;1
Bokhorst Communicatie;;;1;1
bol.com B.V.;1;;;1
Boom Distributie Centrum;1;;;1
Bordbusters B.V.;;;1;1
Brafoer B.V.;;;1;1
Brandenburg Waardenburg Cater.- en Partyserv.;;;1;1
Brasserie De Boerderij;;;1;1
Broekhuizen Communicatie;;;1;1
Brood & Banketbakkerij Prins B.V.;;;1;1
Brood- en Banketbakkerij Sterk B.V.;;;1;1
Broodje Kaas Vreeswijk;;;1;1
Brouwer Tours;;1;;1
Brüggemann horeca groep;;;1;1
BuroEvent;;1;;1
BuzzMaster B.V.;;;1;1
CAD & Company Zuid West B.V.;1;;;1
Cadeau Concepten B.V.;;;1;1
Café Colette B.V.;;;1;1
Café De Gekroonde Suikerbiet B.V.;;;1;1
Café Het Wapen van Poortugaal & Albrandswaard;;;1;1
Café Kwebbel;;;1;1
Café Restaurant 'De Engel';;;1;1
Café Zuid;;;1;1
Camiel Mikily B.V.;;;1;1
CartoonistLive;;;1;1
Centraal Boekhuis B.V.;1;;1;1
CertiQ B.V.;1;;;1
Chemelot Campus Vastgoed C.V.;;;1;1
Chinchilla Textiles B.V.;;;1;1
Chinees Wok Restaurant Royal Palace;;;1;1
Chocolaterie Puur Gelukkig;;;1;1
City Skydive Centres B.V.;;;1;1
Clickshots Fotografie;;;1;1
Cloose;;;1;1
Clubdiensten B.V.;1;;;1
Colliers International Occupier Services B.V.;;;2;2
Comfort Living B.V.;;1;;1
Compacon B.V.;;;1;1
Company Catering Commanderie B.V.;;;1;1
Contour Industrial Design Solutions;;;1;1
Coolblue B.V.;1;;;1
Coöperatie '2D3D Design' UA;;;1;1
COPERNICUS GESELLSCHAFT;2;;;2
Copyright Clearance Center;1;;;1
Cormet Schoolcatering B.V.;;;1;1
Creator Meeting Support B.V.;;;1;1
Culinair Catering;;;1;1
De Berenkuil B.V.;;;1;1
de Bibliotheek aan de Vliet;;1;;1
De Bierhoeve;;;1;1
de Brabantse Biesbosch Recreatie;;;1;1
De Budde;;;1;1
De Comice;;;1;1
De Drukkerij B.V.;1;;;1
De Eiland Pers;;;1;1
De Hoefslag Horecaexploitatie B.V.;;;1;1
De Knegt & Leeflang B.V.;;;1;1
De Nederlandse Ver. van Rentmeesters NVR;1;;;1
De Pont B.V.;;;1;1
De Poort van Groningen V.O.F.;;1;;1
De Prins van Terbregge;;;1;1
De Rede van Batavia Haven B.V.;;;1;1
De Ri4;;;1;1
De Ruiter Catering;;;1;1
DE STAATSRECHTKRING;1;;;1
De Stolp B.V.;;;1;1
De Stroper Dordt B.V.;;;1;1
De Utrechtse Haven B.V.;;1;1;1
De Veldkeuken Amelisweerd B.V.;;;1;1
De Ver. Nederl. Verkeersborden Fabrikanten;;;2;2
De Volkskrant B.V.;1;;;1
De Vrienden van de Burgemeester;;;1;1
De Watertuin Spijkenisse B.V.;;;1;1
DeeCee Exploitatie B.V.;;;1;1
Dienent;;;1;1
Dino Design;;;1;1
Discountoffice.nl B.V.;;;1;1
Dordt Centraal B.V.;;;1;1
Down Under Horecaexploitatie B.V.;;;1;1
Dozo Den Haag B.V.;;;1;1
DPG Media B.V.;1;;1;1
Drink en Eetlokaal Proefverlof B.V.;;;1;1
Drukkerij en Boekhandel Van de Sande B.V.;1;;;1
DtC - Desire to Communicate;;;1;1
Dunico;;;1;1
E-bike2work B.V.;;;1;1
EBSCO Information Services B.V.;2;;;2
Eerlijk Heerlijk;;;1;1
Eetcafé Wiegman;;1;;1
EGN Nederland B.V.;1;;;1
Elbenk Com B.V.;1;;;1
Elzinga Catering;;1;;1
EN communicatie & participatie;;1;;1
Encore Bar & Grill;;;1;1
ESB B.V.;1;;1;1
Eur. Instit. voor Certified Public Controll.;1;;;1
Eurotext Vertaalbureau Leidschendam;;;1;1
Evolve B.V.;;;1;1
EXKI S.A.;;;1;1
Expl.mij. Automobielmusea in Nederland B.V.;;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;1;1
Expofit B.V.;;;1;1
Fico Urban Italian;;;1;1
FilmService B.V.;;;1;1
Finn Kortman Fotografie;;;1;1
Fletcher Hotel Restaurant Doorwerth-Arnhem;;1;;1
Flying Focus;;;1;1
For Your Promotions B.V.;;;1;1
Fotografie : Paul Voorham;;;1;1
Fotografie Bob Bronshoff;;;1;1
Fred Ernst Fotojournalist;;;1;1
Freedom Hotel Exploitatie B.V.;;;1;1
Fruitschaal.nu;;;1;1
Funcke;;;1;1
FutureFlock;;1;;1
Gargouilles B.V.;;1;;1
Gastheeren Bedrijfscatering;;;1;1
