Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4-Diensten en middelen
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);;;;;;;;1;1
1.2.3. Sloten Service;;;;;;;1;;1
2D3D - Bureau Voor 2- en 3-Dimensionale Vormgeving;;;;;2;;;;2
3D Print Canal House Stg;1;;;;;;;;1
7Am;2;;;;;;;;2
A. van Helden Relatiegeschenken, Reclameartikelen;;;;;;;;1;1
AAFM FACILITY MANAGEMENT;7;8;8;;;;;;9
Absoluta Food and Facilities;1;;;;;;;;1
Aces Direct (incl. Take It Now, Rackserver, Sessence);;;;;;;;1;1
ADCA van Roosmalen v.o.f.;1;;;;;;;;1
Add Excitement;2;;;;;;;;2
AED Service Nederland;;1;;;;;;;1
Afrogleap;;;;;;;;1;1
Agilent Technologies;;;;;;;;1;1
Agora Theater en Congrescentr;2;;;;;;;;2
AIM Nederland;;1;;;;;;;1
Akkermans Rekreatie;1;;;;;;;;1
Aktiviteitenpark De Wilgenweard;1;;;;;;;;1
Albert Heijn (incl. albert.nl);2;;;;;;;;2
Albron Catering;5;;;;;;;;5
Alexander Hotel;1;;;;;;;;1
Alleleijn Informatie Verzorging;;;;;1;;;;1
Allrent / De Polderland Groep / Dry Hire;;;;;;;;1;1
Allround Automations;;;;;;;;1;1
Almere Restaurant Boathouse;1;;;;;;;;1
Aloys Roemaat Transport;;;;1;;1;;;1
Alphatron Communicatie, Observatie, Navigatie;;;;;;;;1;1
Alpina van Houwening & Ijsselstijn;;;;;;;;1;1
Alter Haaglanden;;;;;;;1;;1
Alternate;;;;;;;;1;1
Altrex;;1;;;;;;;1
Alvero Kantoormeubelverhuur;;;;;;;2;1;2
Amazing Bread Company (incl. Mammomi);1;;;;;;;;1
Amrath Hotel;1;;;;;;;;1
Andringa Bakkerij;1;;;;;;;;1
Ann's Art;;;;;;;1;;1
Anoniem;3;1;1;1;2;1;1;3;4
ANP - Algemeen Nederlands Persbureau;;;;;1;;;;1
Ansul Brandbeveiliging;;1;;;;;;;1
AP KEIZER REINIGINGSTECHNIEKEN;;;;;;;1;;1
AP-Art;;;;;;;;2;2
Appelhoes;;;;;;;;1;1
APPM Management Consultants;;;;;1;;;;1
Aqua Chain Holland;;;;;;;1;;1
Ara Groep (incl. HFM\Bovaco);;;;;2;;;;2
Arcam Architectuur Centrum Amsterdam;;;;;1;;;;1
Archief Services;;;;;1;;;;1
Ardis Management Development;1;;;;;;;;1
Area Reiniging;;;;;;1;;;1
Aristo Holding;1;;;;;;;;1
ARISTO-PROMOTIONS;;;;;;;1;;1
ARP Nederland (incl. Artikona);;;;;;;;2;2
Arpalight Projektverlichting;;;;;;;2;;2
Art & Dining;1;;;;;;;;1
Art At Work;;;;;;;;1;1
Art Company;;;;;;;1;;1
Art Culinair;1;;;;;;;;1
Artcentre Delft;2;;;;;;;;2
Artifac Tekenvakhandel;;;;;;;;1;1
Artige;;;;;;;;1;1
Artikraak;1;;;;;;;;1
ARTISTIQ MEDIA;;;;;;;;1;1
Ascom;;;;;;;;1;1
ASPerience;;;;;;;;1;1
Assen Hotel;1;;;;;;;;1
ASYA;;;;;;;;1;1
Atag Nederland;;;;;;;;1;1
ATK Grootkeukentechniek;;;;;;;1;;1
ATKB AquaTerra-KuiperBurger;;;;;;;;1;1
Atos;;;;;4;;;3;5
ATS Systems;;1;;;;;;;1
