X,Y,OBJECTID,KGMSOORT,KGMAANDR,KGMAAPOM,KGMMACAP,KGMSLUIT,KPGAANSD,KPGAANSN,KGMFUNC,IWS_COMCAP,KWKAFSL1,KWKDATUM,KWKOPME,KWKPLAAN,OSMOMSCH,KWKAFSL2,KWKNAAM,IWS_LEGGERSTATUS,IWS_OH_RENOVATIEJAAR,KGMIDENT,RICHTING,IWS_AFST_B,KWKINLAT,KWKKEREN,OBJECTID_1,KGMIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2
6.17820205602354,52.4585003727551,1,4,2,1,10,,,,2,,,,,"8055PJ Zuthemerweg 30,  Laag Zuthem",,,de Hagen,1,2022,10171G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
6.20049847774869,52.4023621544114,2,1,2,1,4,,,,2,,,,Persleiding pvc,"8131RB Wechterholt 9,  Wijhe",,,Brilleman,1,,10210G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
6.17655315675256,52.2539982435836,3,1,2,1,4.93,,,,2,,,,,"7417AD Maasstraat 1,  Deventer",,,Venenplantsoen,1,2019,10207G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
6.5358748018432,52.7258929367118,4,3,2,1,411.6,,,,1,,,1995,,,Gemaal,,Noordscheschutsluis,1,2023,10472GA,,,,,,,Waterschap,Gewoon en buitengewoon en constructie,,
5.8916330891446,52.5220557717464,5,,2,2,200,,,,,,,,,,,,Kamperveen,1,,10495G,,,,,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,
6.35717384900559,52.9167521126226,6,98,2,2,35,,,,2,,,2002,,Graafstra,Gemaal,,Graafstra,1,,10296G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
6.39806235163603,52.937825788381,7,98,2,2,140,,,,2,,,2002,122 2002-1,Leemdijk,Samengesteld kunstwerk met duikers,,Leemdijk,1,,10297G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
6.14625255985515,52.3690765261207,8,1,2,1,28,,,,4,,,,,"8131SR Boerhaarseweg 2 a,  Wijhe",,,Boerhaar,1,,10214G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
6.12003793582654,52.654475253023,9,98,2,,1,,,,4,,,,,"7951KT Postweg 2,  Staphorst",,,v. Dalfsen (VOPO),1,,KO.00-PG4,,2,,2,,,Ontheffingshouder,Gewoon en buitengewoon en constructie,,
6.28190435674581,52.8447377235357,10,4,2,1,26,,,,1,,,2000,2000-1,,,,Kwasloot 1,1,,10288G,,1,,2,,,Waterschap,Gewoon en buitengewoon en constructie,,
