Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Maes B.V.;;;;;;1;;;;1
&samhoud People Equity B.V.;;;;;;4;;;;4
(BBP) Beerens-Business Press B.V.;;;;;;1;;;;1
@the Academy B.V.;;;;;;1;;;;1
010-Haptotherapie & Coaching;;;;;1;;;;;1
2 Know How;1;;;;;2;;;;2
2CoolMonkeys B.V.;;;;;;1;;;;1
2-Tact;;;;;;1;;;;1
365 dagen succesvol;;;;;;1;;;;1
3K Horeca B.V.;;;;1;;;;;;1
3rd Millennium B.V.;;;;;;1;;;;1
4 D Sea Tender C.V.;;;;;;;;;1;1
4Suze;1;;;;;;;;;1
5hart-IT Opleidingen B.V.;;;;;;1;;;;1
7AM Den Haag B.V.;1;;;;;;;;;1
à Propos Produkties;;;;1;;;;;;1
A. Vlug Beheer B.V.;;;;1;;;;;;1
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;;;;1;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;;;1;1
AAFM Facility Management B.V.;;;;1;;;;;;1
Aalsmeers Bloemenhuis;1;;;1;;;;;;1
AandeBredaseweg B.V.;;;;1;;;;;;1
Aanmelder.nl B.V.;;;;1;;;;;;1
AAS Opleiding en Training;;;;;;1;;;;1
ABC Display Industry B.V.;;;;1;;;;;;1
Abode Beheer B.V.;;;;;;1;;;;1
Abrikoos Utrecht B.V.;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;;;1;1
AC Restaurant & Hotel Holten;;;;1;;;;;;1
AC&M Reklame & Marketing B.V.;;;;1;;;;;;1
Academie voor;;;;;;2;;;;2
Academie voor de Rechtspraktijk B.V.;;;;;;1;;;;1
Academie voor Motivatie en Gedragsverandering;1;;;;;;;;;1
Academie voor Organisatiecultuur;;;;;;2;;;;2
Academie voor Vastgoed B.V.;;;;;;1;;;;1
Academisch Medisch Centrum;1;;;;;;;;;1
Academy for Leadership B.V.;;;;;;1;;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;;1;;;;1
Accent Grave;;;;;;1;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;1;;;;;;;;;1
Acquire Publishing B.V.;;;;1;;1;;;;1
Action Learning Business School Europe B.V.;;;;;;1;;;;1
ACTME B.V.;1;;;2;1;1;;;;2
ACVO;1;;;;;;;;;1
Ad Em Producties B.V.;;;;;;2;;;;2
'A'dam Ports Assoc.' v/h de Amsterdamse Haven;;;;1;;;;;;1
ADcreative;1;;;;;;;;;1
Adecco Detachering B.V.;;;;;;1;;;;1
Adecs Airinfra B.V.;;;;;;1;;;;1
Adfo Groep B.V.;1;;;;;;;;;1
Adigo Consulting;;;;;;1;;;;1
ADP Nederland B.V.;1;;;;;;;;;1
Adriaans Barbecue Catering B.V.;;;;1;;;;;;1
Adventure & Ski Events;;;;;;;;2;;2
Adventure King B.V.;;;;1;;;;;;1
advies Leren En Opleiden - LS Sales Training;;;;;;1;;;;1
Advies Management & Training B.V.;;;;;;1;;;;1
Adviesbureau Atim B.V.;;;;;;1;;;;1
Adviesbureau Kiene B.V.;1;;;;1;;;;;1
Adviesgroep voor Kantoorinnovatie AVK B.V.;;;;;;1;;;;1
Aeneas B.V.;;;;;;2;;;;2
AEON Loopbaanadvies;;;;;1;;;;;1
Aeromedical Expert Centre B.V.;1;;;;;;;;;1
Afslag 29;1;;;;;;;;;1
Agrip Advies;;;;1;;;;;;1
AikiContact;;;;;;1;;;;1
Ai-Opener;;;;;;1;;;;1
Alan en Pim's Rotterdam B.V.;;;;1;;;;;;1
Albert Heijn B.V.;1;;;;;1;;;;1
Alexander Hotel B.V.;;;;;;;;;1;1
Allen Carr's Easy Way;;;;;;1;;;;1
Alliance Francaise de La Haye;;;;;;1;;;;1
Alma B.V.;;;;1;;;;;;1
Alphatron Marine B.V.;;;;;;1;;;;1
Altijd Zondag - Voor beeld en tekst;;;;1;;;;;;1
Altuition B.V.;;;;1;1;;;;;1
Alvida International;1;;;;;;;;;1
Amadore Hotel Restaurant Arneville;;;;;;1;;;1;1
Amadore Wellness Hotel de Kamperduinen B.V.;;;;;;;;;1;1
Amantis Loopbaanadvies Coaching Training;;;;;1;;;;;1
Amaze Escape Events;;;;1;;;;;;1
Ambachtelijke Slagerij Kevelam;;;;1;;;;;;1
AMC Centre;;;;;;1;;;;1
AMI Maastricht;;;;;;2;;;;2
Amstelborgh/Borchland B.V.;;;;1;;;;;;1
AnalitiQs B.V.;;;;;;1;;;;1
Andante Hotel B.V.;;;;;;;;;1;1
Andarr Technology Services;;;;;;1;;;;1
