Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
A. de Jong T.H. B.V.;;2;2
A.P.K. Centrum Osdorp B.V.;;1;1
Aanhangerland Gehamie B.V.;;1;1
Aboma;;1;1
Absolute Worldwide Logistics, Inc.;;5;5
ACC Telecom;;1;1
Active Service;;3;3
Aebi Schmidt Nederland B.V.;;2;2
Aero Marche B.V.;;2;2
AGS;;1;1
Air Charter Service Plc;;6;6
AIRBORNE SUPPORT GROUP LLC;;5;5
Albers Zeilmakerij B.V.;;2;2
"ALGEMEEN BOUWBEDRIJF ""ALBO ARUBA""";;1;1
Al-Ko Kober B.V.;;1;1
All Signs & Neon;;1;1
Alles voor je truck B.V.;;1;1
Alltime Tourist Complex Ltd. St Raphael Resort;;2;2
AMCA Hydraulic Fluid Power B.V.;;1;1
American Scale & Equipment;;1;1
Andrews Sykes B.V.;;2;2
Antonisen B.V.;;5;5
ANWB B.V.;;4;4
APS B.V.;;1;1
ARAMEX;;6;6
Ardea Auto Rotterdam-West;;1;1
Arend Auto B.V.;;1;1
Armed Forces Air Component 15 Wing Transport;;1;1
Arrow Trailways of Texas;;2;2
ASA RENT d.o.o.;;1;1
ASCA Amersfoort;;1;1
ASECNA;;2;2
Astrum Helicopters;;6;6
ASV Automobielbedrijven B.V.;;3;3
ASV Automobielbedrijven B.V. ASV Veghel;;4;4
AT&T;;1;1
AT&T Mulan lijnen Ambassade;;1;1
Athlon Car Lease Nederland B.V.;;5;5
Athlon Service Centre Eindhoven;;1;1
Atlantic Container Line AB;;1;1
Atlas Copco Construction Benelux;;1;1
Autobedrijf Bochane Zeist;;1;1
Autobedrijf J. ten Hove en Zn.;;1;1
Autobedrijf van den Udenhout B.V.;;2;2
Autocentrum Castricum B.V.;;2;2
Automobielbedrijf Centraal Aruba NV;;2;2
Automobielbedrijf Martin Schilder Beheer B.V.;;1;1
Automotions MB Roosendaal;;2;2
Autoplex Zevenaar B.V.;;2;2
Autoschade J. Niesing B.V.;;2;2
Autoschade Kraan Doorn B.V.;;1;1
Autoschade Rijnders Amersfoort B.V.;;2;2
Autoservice Pennings;;2;2
Autoverhuur Bultman B.V.;;1;1
Avis Autovermietung GmbH;;1;1
Avis Autovermietung GmbH & Co.;;1;1
Avis Processing Services;;1;1
Avis Rent a Car Systems, Inc;;2;2
Axxicom Airport Caddy B.V.;;1;1
B&B Boerderij de Fryhof V.O.F.;1;;1
B.G. Freight Line B.V.';;2;2
B.V. Rederij G. Doeksen en Zonen;;2;2
B.V. Rotterdamse Gar.- & Autom.Mij. 'Rogam';;1;1
Baan Twente B.V.;;1;1
Bakker Bedrijfswagens Amersfoort;;1;1
Bakker Bedrijfswagens Scherpenzeel;;1;1
Balans Trainingsapparatuur B.V.;;1;1
BAM Infra Rail B.V.;;1;1
Banden de CondÚ NV;;1;1
Bandorama B.V.;;2;2
BAS Groep B.V.;;1;1
BAS Truck Center;;1;1
Bayerische Roten Kreuz;;1;1
BCD Travel Nederland B.V.;;9;9
BDUvakmedia B.V.;;1;1
Bedr.wag. Fleet & Bus. Center Apeldoorn B.V.;;1;1
Bedrijfswagen Service Friesland B.V.;;1;1
Be-Ge Savas Seating B.V.;;2;2
BekkerLaGram Waalwijk B.V.;;1;1
Bentheimer Eisenbahn Aktiengesellschaft;;4;4
Benzine Super Markt Rijckholt V.O.F.;;1;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;3;3
Besseling Travel B.V.;;1;1
Betam Truck & Carwash;;1;1
BFP International B.V.;;1;1
BGE B.V.;;1;1
Biemond & Van Wijk;;4;4
Bloks Auto en Autoschade;;1;1
Blue Marlin Chartering B.V.;;4;4
Bluekens Truck en Bus B.V.;;2;2
BMAir International B.V.;;1;1
BMW Den Haag B.V.;;2;2
Bochane Auto I Zeist;;1;1
Boogaard Insurances BV;;1;1
Boreal Travel As;;2;2
Botika Barber;;1;1
Botika de Savaan;;1;1
Boutmy Agencies N.V.;;1;1
Breur IJzerhandel Vlietlaan B.V.;;1;1
Brezan Automaterialen Goes;;1;1
Britline;;4;4
Broekhuis Motoren B.V.;;1;1
Broekman Eemshaven Services B.V.;;4;4
Broshuis B.V.;;1;1
Brouwer Motors B.V.;;1;1
Budget Rent a Car;;5;5
Bundesamt Infra I 2 f³r Infrastruktur Umweltschutz und Dienstleistungen der Bundeswehr;;4;4
Bureau International des Containers et du Transport Intermodal;;1;1
Burger Ferry Agencies B.V.;;4;4
Burtec B.V.;;1;1
BusPartners Amersfoort;;2;2
Buy For Less;;1;1
BwFuhrpark Service GmbH;;1;1
BwFuhrparkService GmbH;;1;1
C. Bos en Zonen Beheer B.V.;;1;1
CAE Aviation;;5;5
Cannock Chase Public;;1;1
Carberto;;1;1
Carbouw;;1;1
Carglass B.V.;;1;1
Caribbean Cargo Services NV;;1;1
Caribbean Shipping Agencies Ltd;;2;2
CARIBE CAR RENTAL National rental;;2;2
Carrier Transicold, Vego Trans;;1;1
Carrosserie Akkermans B.V.;;3;3
Carrosserie Bakker B.V.;;1;1
Carrosseriefabriek Veth Arnhem B.V.;;2;2
Cartal Schagen;;1;1
CARU Containers B.V.;;1;1
CARU Containers Rental B.V.;;1;1
Carwash Leeuwarden B.V.;;1;1
Catis Marine Division N.V.;;1;1
CELECTRIC B.V.;;1;1
Centre D'Encaissement Des Amendes;;1;1
Centric Business Systems;;1;1
Centric Leasing Program of de lage landen Financial Services;;1;1
CFE Equipment Corporation;;1;1
CHROO GROUP;;4;4
Claushuis Groep;;1;1
Comcast Communications;;1;1
Complete Store Van Dijk B.V.;;2;2
Comune Di Pisa;;1;1
Connexxion Taxi Services B.V.;;6;6
Connexxion Tours B.V.;;7;7
Control Risks;;2;2
Cornelis Bedrijfsauto's B.V.;;1;1
Corpo Associato Di Polizia Locale;;1;1
Crown Automotives B.V.;;2;2
Cummins Holland B.V.;;1;1
CUR OFFICE SUPPLY;;1;1
CURACAO PORT SERVICES INC NV;;1;1
DAF Trucks N.V.;;1;1
Damco Netherlands B.V.;;3;3
Damen Hydrauliek Best B.V.;;1;1
Danish Defence;;5;5
DB Cargo Deutschland AG;;8;8
DB Schenker Rail Deutschland AG;;6;6
De Burgh Acht B.V.;;1;1
De Molen Banden B.V.;;1;1
De Palm Corporation N.V.;;1;1
De Tijd' Bedrijfskleding;;1;1
De Vier Gewesten B.V.;;2;2
De Vlas Transport B.V.;;1;1
Deba Bedrijfswagens Bergen op Zoom B.V.;;1;1
Den Hartogh Cleaning B.V.;;1;1
Der Landrat Kreis Viersen;;1;1
Destil B.V.;;1;1
DFAS-Limestone;;1;1
DFDS Seaways IJmuiden B.V.;;2;2
Dijssel B.V.;;2;2
Don Andres N.V.;;2;2
DOUANE CURACAO;;1;1
DoubleMe3D;;1;1
Dronk Bedrijfswagen-Onderdelen B.V.;;1;1
Dynaf Caribbean B.V.;;1;1
E&K Alternatorshop;;1;1
E.B. Bredow Hydraulick Heerhugowaard B.V.;;2;2
E.B.O. van Weel;;1;1
Ean Services, LLC;;4;4
EE Devices B.V.;;1;1
Eenzet Handelsonderneming B.V.;;1;1
El.-Techn. Bur. De Jong & Zn. Leiden B.V.;;1;1
Electrostart B.V.;;1;1
Elzinga;;2;2
Ematra Richttechniek B.V.;;2;2
E-Milers Group B.V.;;1;1
Engbers Motors B.V.;;1;1
Eriks B.V.;;1;1
ESTMA Klaipeda Ltd.;;2;2
Esve B.V.;;1;1
Euroband B.V.;;1;1
Eurocontrol Vroeger crediteur 71247 (K³t Ali);;1;1
Eurocross Assistance Netherlands B.V.;;2;2
Euromaster Bandenservice;;1;1
Europcar AL-HAYDAR Rent a car LTD Co;;7;7
Evobus Nederland B.V.;;1;1
Exploit.maatsch. Landgoed Stakenberg B.V.;1;;1
