Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
2settle mediators&juristen B.V.;;;;;;;1;1
2useIT The Internet Academy;;;;;1;;;1
4 Coaching en Training;;;;;1;;;1
5 broden 2 vissen;;;1;;;;;1
5hart-IT Opleidingen B.V.;;;;;1;;;1
707 Brand Consultancy B.V.;;2;;;1;;;2
A. de Wit;;;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;;1
ABC Events Nederland;;;1;;;;;1
Abrikoos Utrecht BV Tapas restaurant Abrikoos;;;1;;;;;1
Abrona te Huis ter Heide;;;1;;;;;1
Academic Software Consulting;;;;;1;;;1
Academie Amsterdam;;;;;1;;;1
Academie Organisatiecultuur BV;;;;;1;;;1
Academy for Information and Management B.V.;;;;;2;;;2
Academy Payroll Professionals;;;;;1;;;1
Actief Events B.V.;;;1;;;;;1
A'DAM Six Senses B.V.;;;1;;;;;1
Adviesbureau Atim B.V.;;;;;2;;;2
AESGP;;;;;1;;;1
Agile Communicatie;;;;;1;;;1
Agile Works;;;;;1;;;1
AHREND;;1;;;1;;;1
AIIM International Ltd.;;;;;1;;;1
Aikido at Work;;;;;1;;;1
Air Quality Monitoring Consultancy;;2;;;;;;2
Akademikonferens;;;;;1;;;1
Aktant Trainingen;;;;;1;;;1
Albron B.V.;;;1;;;;;1
Albron Nederland B.V.;;;1;;;;;1
Alice de Boer;;;;;;;1;1
Allgifts.nl B.V.;;;1;;;;;1
Always Green B.V.;;;1;;;;;1
Amadore Hotel Restaurant Arneville;;;;;;;1;1
Amaze Escape Events;;;1;;;;;1
Ambius B.V.;;;1;;;;;1
Anafora Parkrestaurant;1;;;;;;;1
Analytic Storytelling;;;1;;1;;;1
Andries van den Broek;;;;;;;1;1
Angelique Broersen Psychosoc. therapie & EMDR;;;;;1;;;1
Anita Poolman Producties;;;;;1;;;1
Annemarie Gehrels Advies, Coaching & Training;;;;;1;;;1
Antea Nederland B.V.;;2;;;;;;2
AOG Contractonderwijs B.V.;;;;;1;;;1
APGI;;;;;1;;;1
Applied Maths NV;;;;;1;;;1
APSGB Ltd;;;;;1;;;1
ArboNed;1;;;;;;;1
ArboNed B.V.;;1;;;;;;1
ARCADIS Nederland B.V.;;3;;;;;;3
Archimediair;;;;1;1;;;1
Ardis Opleidingen B.V.;;;;;3;;;3
Ardis Organisatieontwikkeling B.V.;;1;;1;3;;;3
Argenta Consult;;;;;1;;;1
Arie's Bakery;;;1;;;;;1
Arko Sports Media B.V.;;;;;1;;;1
Arnage Horeca B.V.;;;1;;;;;1
Array Media B.V.;;;;;1;;;1
Art CafÃ© Sam Sam;;;1;;;;;1
Art of Growing;;;;;1;;;1
Artige B.V.;;;1;;;;;1
Arvato Benelux B.V.;;;;;1;;;1
Atelier de Pleijsterplaats;;;1;;;;;1
Atelier Fietsroute - P v Vught;;;1;;;;;1
Atos Nederland B.V.;;4;;;;;;4
ATP Business Travel B.V.;;;;;;;1;1
Attentio;;;1;;;;;1
August;;;1;;;;;1
AUSCHWITZ COMITE NEDERLANDS;;;;;;;1;1
AutiTalent B.V.;;;;1;;;;1
Automotive Publishing B.V.;;;;;1;;;1
AV Annelotte Verhaagen;;;;;1;;;1
Avans Hogeschool MB B.V.;;;;;1;;;1
Avanteers;;1;;;;;;1
Aviv B.V.;;2;;;;;;2
Avouch Management Search B.V.;;;;;1;;;1
B.V. De Vooruitgang;;;1;;;;;1
B.V. Perscentrum Nieuwspoort;;;1;;;;;1
B+B Vakmedianet B.V.;;;;;1;;;1
Babel B.V.;;;;;1;;;1
bagsandboxes;;;1;;;;;1
Bakkerij Hagedoren B.V.;;;1;;;;;1
Bakx & Meijer;;;1;;;;;1
Balans & Impuls B.V.;;;;;1;;;1
Balansgroep opleidingen & consultancy;;;;;1;;;1
Balkan Grill Boro;;;1;;;;;1
Balogh Holding B.V.;;;;;1;;;1
Banketbakkerij Boheemen;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;1;;;;;1
Banketbakkerij, Chocolaterie Van Ingen;;;1;;;;;1
Bantex;;2;;;;;;2
Bar Bistro Speakers;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;2;;;;;2
Barlot B.V.;;;1;;;;;1
Bart Samsom Enterprises;1;;;;;;;1
Bart Smit;1;;;;;;;1
Bart Versteeg fotograaf;1;;;;;;;1
BAS Consultancy B.V.;;;;;1;;;1
Basaal;;;1;;;;;1
BCC Olivier Utrecht BV;;;1;;;;;1
Beach Club WOW;;;1;;;;;1
Beach Experience Scheveningen B.V.;;;1;;;;;1
Beach Professionals B.V.;;;1;;;;;1
Beachclub @sea B.V.;;;1;;;;;1
Bellezza Nuova Lijsten & Restauratie Atelier;;;1;;;;;1
Ben Kei Den Haag;;;1;;;;;1
Berenschot B.V.;;2;;;1;;;2
Berenschot Groep B.V.;;;;1;;;;1
Berg & Boer Coaching en Training;;;;;1;;;1
Berlitz Language and Business Training S.A.R.L.;;;;;1;;;1
Beroepsvereniging Vide;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;1
Betty Blue Amsterdam;;;1;;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;1;;;1
Bfarm - Paul-Erlich-Institut;;;;;1;;;1
BHV.nl bedrijfshulpverlening;;;;;1;;;1
BienB;;;1;;;;;1
Bierbrouwerij De Koningshoeven B.V.;;;1;;;;;1
Big Horeca Holding B.V.;;;1;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;1
Bilderberg Hotel 't Speulderbos;;;;;1;;;1
Bilderberg Hotel Wolfheze;1;;;;;;;1
Bilderberg Residence Groot Heideborgh;;;;;1;;;1
Bilthoven Biologicals B.V.;;;;;;;1;1
Binnenlands Bestuur B.V.;;;;;1;;;1
Biosimilars Nederland;;;;;1;;;1
Biotech Training Facility;;;;;2;;;2
Bis 26 B.V.;;;1;;;;;1
Bisho;;;;;1;;;1
Bisnez Management B.V.;;2;;;;;;2
Bison Bowling;1;;;;;;;1
Bloem;;;1;;;;;1
Bloemenboutique Fonville;;;2;;;;;2
Bloemenwereld;;;1;;;;;1
Bloemsierkunst T. Haasjes B.V.;;;1;;;;;1
BLOSSOM bloemisterij;;;1;;;;;1
Blue Boot Company;;;1;;;;;1
Bluevents B.V.;;;1;;;;;1
BMJ PUBLISHING GROUP;;;;;3;;;3
Body & Mind Center Croeselaan B.V.;1;;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;2;;;2
Bofit Burnout begeleiding en Stressmanagement;;;;1;;;;1
bol.com B.V.;1;;1;;;;;1
Bollore Undici;;;1;;;;;1
Bonaire Logistics;;;3;;;;;3
Bonne Consult;;;;;1;;;1
Bonnema Watersport B.V.;;;1;;;;;1
Boogh Baarn;;1;;;;;;1
Botden Coaching;;;;;1;;;1
Boterwaag Den Haag B.V.;;;1;;;;;1
Bouman Coaching & Therapie;;;;;1;;;1
Bowling Scheveningen B.V.;;;1;;;;;1
Bowlo B.V.;;;1;;;;;1
BrÃ¼ggemann horeca groep;;;1;;;;;1
Brain Box Mediatraining B.V.;;;;;1;;;1
Branding Office Furniture B.V.;;1;;;;;;1
Brasserie Bracke;;;1;;;;;1
Brasserie Buitenhof;;;1;;;;;1
Brasserie Midi;;;1;;;;;1
Brasserie Mijn Streek B.V.;;;1;;;;;1
Brasserie NUL76;;;1;;;;;1
Brasserie Olivier;;;1;;;;;1
Brasserie Sequenza;;;1;;;;;1
Brasserie Soho B.V.;;;1;;;;;1
Break Free Fun Company;;;1;;;;;1
Bright & Company B.V.;;;;;1;;;1
Bright Events;;;1;;;;;1
Brigitte Hertz Trainingen voor wetenschappers;;;;;1;;;1
Broekies Entertainment;1;;;;;;;1
Broers;;;1;;;;;1
Brood2Day B.V.;;;1;;;;;1
Bruggink Communicatie Support;;;;;1;;;1
Bubbles and Blessings B.V.;;;1;;;;;1
Budo Centrum Zeist B.V.;1;;;;;;;1
building resilience to radicalization violent extremism;;;;;1;;;1
Bureau KLB;;;;;1;;;1
Bureau Mozaiek;;;;;2;;;2
Bureau Zuidema B.V.;;;;;3;;;3
Bureau Zuidema Rotterdam B.V.;;;;;2;;;2
Bureautaal B.V.;;;;;1;;;1
Burgers Beheer B.V.;;;;;1;;;1
Burghoorn Trainingen;;;;;1;;;1
Burghouts Coaching en Trainingen;;;;;1;;;1
Burgundy Street B.V.;1;;;;;;;1
Buro ''Op Eigen Kracht'' B.V.;;;;;1;;;1
Buro van Oranje;;;;;1;;;1
Buro Wittenburg;;;;;1;;;1
Burrata Turfmarkt B.V.;;;1;;;;;1
BVO Opleidingen B.V.;;;;;1;;;1
Byblos Grand cafe De Tijd;;;1;;;;;1
C.R.O.W. Kennisplatform;;;;;1;;;1
Cadeau Company;;;1;;;;;1
Cadeau Concepten B.V.;1;;;;;;;1
Café George B.V.;;;1;;;;;1
Café Restaurant Rootz B.V.;;;1;;;;;1
Café XO Haarlem B.V.;;;1;;;;;1
Cafe Onder de Linden;1;;;;;;;1
Caf� van Miltenburg;;;2;;;;;2
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;1
cambiamo;;;;1;1;;;1
Canberra NV/SA;;;;;2;;;2
Capgemini N.V.;;;1;;1;;;1
Capriole Coffee Café B.V.;;;1;;;;;1
Carl Lens Search Partners B.V.;;;;2;;;;2
Caroni;;;1;;;;;1
Casa Foresta;;;;;1;;;1
Casteren Creatie B.V.;;2;;;;;;2
Catering Utrecht B.V.;1;;;;;;;1
CenSeRe E.A.M. Jacobs;;1;;;;;;1
Center for Evaluation & Program Development bvba;;1;;;;;;1
Centrale Rino B.V.;;;;;1;;;1
Centre for Policing and Securirty;;;;;1;;;1
Centric Netherlands B.V.;;;;;1;;;1
Centrum Media & Gezondheid (CMG);;;;;;;1;1
Chin. Ind. Restaurant 'De Chinese Muur' B.V.;;;1;;;;;1
Chocolaterie Albert B.V.;1;;;;;;;1
Chocolaterie Winters;;;1;;;;;1
Chr. J. Straus Praktijk voor Psychologie;;;;1;;;;1
Chris van Wijk;;;;;1;;;1
Christelijke Hogeschool Ede;;;;;1;;;1
Christelijke Hogeschool Windesheim;;;;;1;;;1
Ciao! Ciao! B.V.;;;1;;;;;1
CIBIT Adviseurs/Opleiders;;;;;1;;;1
CiEP Personal Quality and Results B.V.;;;;;1;;;1
Cimsolutions;;2;;;;;;2
Circulus-Berkel;;;1;;;;;1
Ciska Pouw - flow facilitator;;;;;1;;;1
Citylife B.V.;;;1;;;;;1
CLL language centres;;;;;1;;;1
Cloose;;;1;;;;;1
CLS Computertrainingen;;;;;1;;;1
CM Partners B.V.;;;;;1;;;1
CN Trading;;;1;;;;;1
Coach to coach B.V.;;;;;1;;;1
Coaching in Change;;;;1;1;;;1
Coach-Inn;;;;1;;;;1
Cognicum B.V.;;;;;1;;;1
Coincide B.V.;;;;;;;1;1
College van Adviserend Tandartsen;;;;;1;;;1
Colourful People B.V.;;;;1;;;;1
Comenius Consult;;;;;1;;;1
Commitment B.V.;;;;;1;;;1
Common Eye B.V.;;2;;;1;;;2
Company Sandwich;;;1;;;;;1
Compass Group Nederland B.V.;;;1;;;;;1
Compass Group Nederland Holding B.V.;;;2;;;;1;2
Competence Factory;;;;;1;;;1
Compu'Train Opleidingen B.V.;;;;;1;;;1
Concept Heidelberg;;;;;1;;;1
Concept Heidelberg GmbH;;;;;1;;;1
Conditiecentrum Paul Scheepstra B.V.;;1;;;;;;1
Conference Partners Ltd;;;;;1;;;1
Congress Care B.V.;;;;;1;;;1
Congress Company B.V.;;;;;1;;;1
