;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Adamse Advies;;;;;2;;;2
Alpheios B.V.;;;;;2;;2;2
Arrow Holding B.V.;;;;;1;;;1
Capgemini Nederland B.V.;;;;;;;3;3
Cendris Dataconsulting B.V.;;;;1;;;;1
Centersound B.V.;;;;;1;;;1
Centralpoint Nijmegen B.V.;;2;1;;;;;2
CGI Nederland B.V.;;;;;4;;;4
Cimsolutions;;;;;3;;;3
CM.COM Netherlands B.V.;;;;;1;;;1
COMPAREX Nederland B.V.;;;;4;5;;1;6
DataExpert B.V.;;;2;;2;;;3
Déhora Consultancy Group B.V.;;;;;2;;;2
Deloitte Accountants B.V.;;;;;;;2;2
Differ Solutions B.V.;;;;;1;;;1
Dohsbase V.O.F.;;;;1;;;;1
easy2rent B.V.;;;1;;;;;1
E-Democracy B.V.;;;;;;;1;1
Fem Systems B.V.;;;;;1;;;1
Finalist IT Group B.V.;;;;;1;;;1
Flex IT Rent B.V.;;1;;;;;;1
Flex-I.D. B.V.;;;;;3;;;3
Forrester Research Ltd.;;;;;2;;;2
GroupSupport.com B.V.;;;;;1;;;1
Innovero Software Solutions B.V.;;;;1;1;;;1
IT Risk Control;;;;;1;;;1
IV-Software B.V.;;;;1;4;;;4
Kofax Netherlands Technologies B.V.;;;;;1;;;1
KPN B.V.;;;;;;2;;2
KPN XL;;;;;;2;;2
LexisNexis Benelux;;;;1;;;;1
Mahieu Web Development B.V.;;;;1;;;;1
Metis IT B.V.;;;;;2;;2;3
Mozard B.V.;;;;4;;;;4
NCC Group Escrow Europe B.V.;;;;;1;;;1
NMS National Multiple Services B.V.;;;;;1;;;1
Objectif Lune Benelux B.V.;;;;;1;;;1
Office Depot B.V.;;1;;;;;;1
Onestopsourcing B.V.;;;;;1;;;1
PDF-Tools AG;;;;;1;;;1
Protinus IT B.V.;1;2;4;4;4;;;5
QUBE ICT Solutions B.V.;;;;;2;;;2
Questionmarkgroup B.V.;;;;;1;;;1
QuoVadis Trustlink B.V.;;;;;1;;;1
RedNose IT B.V.;;;;;2;;;2
SAP Nederland B.V.;;;;;6;;;6
Schippers IT B.V.;;1;;;2;;;2
Sectra Communications B.V.;;;;;;2;;2
SoftwareONE B.V.;;;;2;;;;2
Solvinity;;;;;4;;;4
Survalyzer Nederland B.V.;;;;;1;;;1
Tele2 Nederland B.V.;;;;;;1;;1
Telegrootgebruik B.V.;;;;;;1;;1
UnifiedPost B.V.;;;;1;;;;1
Uptrends B.V.;;;;;1;;;1
Verdonck, Klooster & Associates B.V.;;;;;4;;;4
VNSG Diensten B.V.;;;;;1;;;1
Vodafone winkel;;;;;;5;;5
Wortell System Integrations & Services B.V.;;;;;1;;;1
XS4ALL Internet B.V.;;;;;;1;;1
Eindtotaal;1;2;4;5;7;5;4;7
