Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
1001sloten;;;1;;;;;1
2AT B.V.;;;;1;;;1;1
A. Agterberg B.V.;;;2;;;;;2
Aannemersbedrijf Klein Kranenbarg B.V.;;;1;;;;;1
Aarhus University;;;;2;;;;2
AB Sciex Germany GmbH;;;1;;;;;1
ABDIJ SINT BENEDICTUSBERG;;;1;;;;;1
Acal BFI Netherlands B.V.;;;;1;;;;1
Accept Automatisering Accountancy;;;;;;;2;2
Activiteitenboerderij 't Geveltje;;;1;;;;;1
Advantec Electronics B.V.;;;1;;;;;1
Agco B.V.;;;1;;;;;1
Aguilonius Netherlands B.V.;;;;;;;1;1
Air Products Nederland B.V.;;;2;;;;;2
Allekabels B.V.;;1;1;;;;;1
Allinco Systems B.V.;;;;;;4;;4
Altec Industriële Identificatie;;;1;;;;;1
Altran Netherlands B.V.;;;2;;;;;2
Amazon Web Services EMEA SARL;;;;1;;;1;1
Andija B.V.;;;;;;;1;1
Anoniem_I & W_100;;;1;;;;;1
Anoniem_I & W_101;;;1;;;;;1
Anoniem_I & W_102;;;1;;;;;1
Anoniem_I & W_103;;;1;;;;;1
Anoniem_I & W_104;;;1;;;;;1
Anoniem_I & W_105;;;1;;;;;1
Anoniem_I & W_107;;;1;;;;;1
Anoniem_I & W_108;;;1;;;;;1
Anoniem_I & W_109;;;1;;;;;1
Anoniem_I & W_110;;;1;;;;;1
Anoniem_I & W_111;;;1;;;;;1
Anoniem_I & W_112;;;1;;;;;1
Anoniem_I & W_113;;;1;;;;;1
Anoniem_I & W_114;;;1;;;;;1
Anoniem_I & W_115;;;1;;;;;1
Anoniem_I & W_116;;;1;;;;;1
Anoniem_I & W_118;;;1;;;;;1
Anoniem_I & W_119;;;1;;;;;1
Anoniem_I & W_120;;;1;;;;;1
Anoniem_I & W_121;;;1;;;;;1
Anoniem_I & W_122;;;1;;;;;1
Anoniem_I & W_124;;;1;;;;;1
Anoniem_I & W_125;;;1;;;;;1
Anoniem_I & W_126;;;1;;;;;1
Anoniem_I & W_127;;;1;;;;;1
Anoniem_I & W_130;;;1;;;;;1
Anoniem_I & W_139;;;1;;;;;1
Anoniem_I & W_142;;;1;;;;;1
Anoniem_I & W_150;;;1;;;;;1
Anoniem_I & W_151;;;1;;;;;1
Anoniem_I & W_152;;;1;;;;;1
Anoniem_I & W_153;;;1;;;;;1
Anoniem_I & W_154;;;1;;;;;1
Anoniem_I & W_155;;;1;;;;;1
Anoniem_I & W_156;;;1;;;;;1
Anoniem_I & W_157;;;1;;;;;1
Anoniem_I & W_159;;;1;;;;;1
Anoniem_I & W_166;;;1;;;;;1
Anoniem_I & W_167;;;1;;;;;1
Anoniem_I & W_168;;;1;;;;;1
Anoniem_I & W_169;;;1;;;;;1
Anoniem_I & W_170;;;1;;;;;1
Anoniem_I & W_171;;;1;;;;;1
Anoniem_I & W_172;;;1;;;;;1
Anoniem_I & W_173;;;1;;;;;1
Anoniem_I & W_176;;;1;;;;;1
Anoniem_I & W_184;;;1;;;;;1
Anoniem_I & W_186;;;1;;;;;1
Anoniem_I & W_187;;;1;;;;;1
Anoniem_I & W_188;;;1;;;;;1
Anoniem_I & W_189;;;1;;;;;1
Anoniem_I & W_195;;;1;;;;;1
Anoniem_I & W_196;;;1;;;;;1
Anoniem_I & W_207;;;1;;;;;1
Anoniem_I & W_208;;;1;;;;;1
Anoniem_I & W_209;;;1;;;;;1
