;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
123Accu B.V.;;1;;;;;;;1
123Gifts & Gadgets;;;;;;1;;;1
4-Rest IT B.V.;2;;;;;;;;2
Abiom Communication Systems (A.C.S.) B.V.;;;;;;2;3;;4
Adinco B.V.;;;;;;;1;;1
Administratiekantoor Kroese;;;;;;;1;;1
ADT computers;;1;;;;;;;1
Advanced Virtualization Technologies B.V.;;;;;;2;;;2
AG5 B.V.;;;;3;;;;;3
Air Liquide B.V.;;;;;;1;;;1
Alcatel Lucent RT International B.V.;;1;;;;;;;1
All Music Publishing B.V.;;1;;;;;;;1
Altec Industriële Identificatie;;1;;;;;;;1
Alteco Europe B.V.;;;;;;;1;;1
Andes B.V.;;;;;;4;;;4
Anixter Nederland B.V.;;;1;;;;;;1
anoniem_DEF_1028;;;;;;;2;;2
anoniem_DEF_1129;;;;;;6;;;6
anoniem_DEF_1170;;;;;;;6;;6
anoniem_DEF_1215;;2;;;;;;;2
anoniem_DEF_1221;;;;;;3;;;3
anoniem_DEF_1222;;;;;;;5;;5
anoniem_DEF_1257;;;;;;;1;;1
anoniem_DEF_1270;;1;;;;;;;1
anoniem_DEF_1297;;1;;;;;;;1
anoniem_DEF_1329;1;;;;;;;;1
anoniem_DEF_146;;1;;;;;;;1
anoniem_DEF_251;;2;;;;;;;2
anoniem_DEF_309;;;;2;;2;;;3
anoniem_DEF_317;;2;;;;;;;2
anoniem_DEF_334;;1;;;;;;;1
anoniem_DEF_356;;;;;;;;2;2
anoniem_DEF_514;;2;;;;;;;2
anoniem_DEF_542;;;;;;2;;;2
anoniem_DEF_563;;1;;;;;;;1
anoniem_DEF_610;;;;;;4;;;4
anoniem_DEF_624;;;;;;;1;;1
anoniem_DEF_641;;1;;;;;;;1
anoniem_DEF_676;;1;;;;;;;1
anoniem_DEF_691;;2;;;;;;;2
anoniem_DEF_737;;2;;;;;;;2
anoniem_DEF_754;;2;;;;;;;2
anoniem_DEF_849;;;;;;2;;;2
anoniem_DEF_856;;1;;;;;;;1
anoniem_DEF_894;;;;;;;1;;1
Apox B.V.;;;;;;2;;;2
Archie Europe B.V.;;;;2;;;;;2
Asat.nl;;;;;;;1;;1
Atos Nederland B.V.;;;;;;7;;;7
Avensus Nederland B.V.;;;;;;2;;;2
Axians;;;;;;2;;;2
B.V. Algemeen Nederlands Persbureau ANP;;1;;;;;;;1
B.V. Korthofah;;1;;;;;;;1
Bax-shop.nl B.V.;;1;;;;;;;1
Beat It B.V.;;4;5;1;;2;3;;6
Bechtle direct B.V.;;6;;;;;7;;7
BeeDirect B.V.;;;;;;3;;;3
Belstore.Com B.V.;;;;;;6;2;;6
Bemet International B.V.;;;;;;2;;;2
Ben Box Metaal B.V.;;;;;;1;;;1
Bever B.V.;;1;;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;2;;;;2;;;3
Black Box International B.V.;;1;1;;;;;;2
BPI Services B.V.;;7;;;;;;;7
bQuind B.V.;1;;;;;;;;1
BSI Group The Netherlands B.V.;;;;;;2;;;2
BT NEDERLAND N.V.;1;;;;;;4;;4
Budgetcam;;1;;;;;;;1
Bumicom Telecommunicatie B.V.;;;;;;1;;;1
CACI B.V.;;;;3;;;;;3
CameraNU.nl;;2;;;;;;;2
Capgemini Nederland B.V.;3;;;6;;7;;2;7
Casebuilder Proflite;;;;;;;1;;1
Centix B.V.;;;;;;1;;;1
Central Point Nederland B.V.;;1;;;;;;;1
Centralpoint Amstelveen B.V.;;1;;;;;;;1
Centralpoint Nijmegen B.V.;1;9;4;;;7;9;;10
Centric Netherlands B.V.;1;;;;;;;;1
CGI Nederland B.V.;2;;;;;7;;;7
Cisco Systems International B.V.;;;;;;;;3;3
Clearing House Apothekers B.V.;;;;;;2;;;2
Color Wood Holding B.V.;;1;;;;;;;1
Color Wood Photo B.V.;;2;;;;;;;2
Com1 B.V.;;;;;;;3;;3
Company Fits B.V.;;1;;;;;;;1
Compumatica Secure Networks B.V.;;;;;;3;;;3
Computacenter;;1;;;;1;;;2
Conclusion Implementation B.V.;1;;;;;;;;1
Conrad Electronic Benelux B.V.;;1;;;;;1;;1
Consolit B.V.;;;;;;2;;;2
Conspect ICT;1;;;;;;;;1
Coolblue B.V.;;;;;;;1;;1
Cosanta B.V.;;;;1;;2;;;2
CrowdSense B.V.;;;;;;2;;;2
CTM Solution B.V.;;;;2;;;;;2
Current Components;;;;;;1;;;1
Curvature LLC;;;1;;;;;;1
Cutting Service Benelux B.V.;;;;;;1;;;1
D.T. C. Solutions B.V.;;;;;;;1;;1
DatAction;;6;;;;2;;;6
DE REE archiefsystemen;;;;2;;;1;;2
Deal It;;2;;;;1;;;2
Deloitte Consulting B.V.;;;;;;;;2;2
Delta International Uniformuitrustingen B.V.;1;;;;;;;;1
DeltaISIS B.V.;1;;;;;;;;1
Dematic;;;;;;5;;;5
Design Solutions;;;;;;1;;;1
Digital Revolution B.V.;;1;;;;;;;1
DPI Animation House B.V.;;1;;;;;;;1
Duploprint;;;;;;;1;;1
Dutch Card Printing;;;;;;2;;;2
Dutch Drone Group B.V.;;1;;;;;;;1
DutchSec B.V.;;;;;;5;;;5
E.Novation B.V.;;;;;;1;;;1
Eijsink Afrekensystemen B.V.;;;;;5;;;;5
Elastic N.V.;;;;;;2;;;2
Electrotechnische Groothandel Horvers B.V.;;;;;;3;;;3
Elektro-Rama;;;;;;;1;;1
Elements RTLS Innovators B.V.;;;;;;;;3;3
Elproma B.V.;;;3;;;;;;3
Emka Nederland B.V.;;;;;;;1;;1
Esri Nederland;;;;1;;5;;;5
Eurotempest B.V.;;3;2;;;2;;;4
Every Angle Software Solutions B.V.;;;;;;7;;;7
Exact Software Nederland B.V.;;;;;2;;;;2
Exploitatie Maatschappij Komfort B.V.;;;;;;;1;;1
Eyes On PhotoArt;;1;;;;;;;1
Faes Group B.V.;;;;;;1;;;1
Faro Benelux B.V.;;;;;;1;;;1
Fieldworks Direct B.V.;;2;;;;1;;;2
Fifo Color B.V.;;1;;;;;;;1
FixedToday B.V.;1;;;;;;;;1
Flexxon;;;;;;;1;;1
Fofic;;1;;;;;;;1
Fortes Solutions B.V.;;;;;;1;;;1
FotoFlits B.V.;;1;;;;;;;1
Frame Engineering B.V.;1;;;;;;;;1
Fuse Business;;1;;;;;;;1
Gannexion B.V.;;;;;;;7;;7
Gartner Nederland B.V.;;;;;;4;;7;7
Geometius B.V.;;;;;;1;;;1
Gordian Logistic Experts B.V.;;;;;;2;;;2
GS Handelsbedrijf B.V.;;1;;;;;;;1
Hamer B.V.;;;;;;1;;;1
Hart van Holland B.V.;;;;;;;1;;1
Hartman Direct B.V.;;1;;;;;;;1
Hollandse Hoogte B.V.;;1;;;;;;;1
ICQ Groep B.V.;1;;;;;;;;1
Impulse Info Systems;;;;;;4;;;4
Incontrol Simulation Software B.V.;;;;;;1;;;1
Index Hospitality Systems B.V.;;2;;;4;;;;4
Infinity Labs B.V.;;;;;;2;;;2
Informatique Computers & Componenten;1;;;;;;;;1
ING Bank N.V.;;;;;;;2;;2
Insight Enterprises Netherlands B.V.;;;;4;;10;;;10
InterConnect Services B.V.;;;;;;2;2;;2
Internedservices;;;;;;;1;;1
Intimus International Netherlands B.V.;;;;;;1;1;;1
Itannex B.V.;;;;;;3;;;3
ITSM-House B.V.;;;;;;2;;;2
J.B.S. Handelsonderneming;;;;;;2;;;2
Jasmijn-rondvaart;;;;;;;1;;1
Jenot Automatisering;;;;2;;;;;2
Kabelshop B.V.;;1;;;;;;;1
Kamera Express;;2;;;;;;;2
Kannegieter Electronica B.V.;;;;;;;1;;1
Keyprocessor B.V.;;;;;;1;;;1
Keysight Technologies Netherlands B.V.;;;;;2;;;;2
Kirkman Company B.V.;;;;;;;;3;3
Kiwi Electronics B.V.;;;;;;1;;;1
Koning & Hartman B.V.;;;;;;1;1;;2
Koninklijke Scheepsagentuur Dirkzwager B.V.;;;;;;4;;;4
KPN B.V.;;;;1;;3;6;;6
KPN Consulting B.V.;8;3;7;4;;7;10;;10
KPN Security B.V.;;;4;2;;7;;;7
Lennart Films;;;;;;;2;;2
LexisNexis Benelux;;;;3;;;;;3
Maastricht Aachen Airport B.V.;;;;;;1;;;1
Man Print & Sign B.V.;;;;;;1;;;1
Manutan B.V.;;;;;;;1;;1
Marsoft Kabeltelevisie & Communicatie;;;;;;;2;;2
Media 73 B.V.;;;;;;;1;;1
Meurs HRM;;;;;;2;;;2
Micro-Mail Zeewolde B.V.;;;;;;;1;;1
Minkels B.V.;;1;;;;;;;1
MK2 Audiovisueel B.V.;;;;;;1;;;1
MobileIron International, Inc.;;6;;;;;;;6
Motiv It Masters B.V.;;;;;;4;;;4
Moulijn Fotografie;;1;;;;;;;1
MSM-Edison B.V.;;;;;;2;;;2
myBrand B.V.;1;;;;;;;;1
N.O.D. Netwerk Onderzoek Diensten V.O.F.;;;;;;;1;;1
Nedap N.V.;;;;1;;1;;;1
Nederlands Centrum voor Informatie Management;1;;;;;;;;1
Netlink B.V.;;;;;;6;;;6
Network Republic Europe B.V.;;1;2;;;;;;2
Newton Technisch Bureau B.V.;;;;;;;1;;1
NHG Uitgeverij B.V.;;;;;;1;;;1
NL Oracle User Group;;;;1;;;;;1
NMS National Multiple Services B.V.;;;;;;;1;;1
Noyz Boyz Advanced Audio Services B.V.;;1;;;;;;;1
NTT Netherlands B.V.;;3;6;2;;5;;;7
OCLC B.V.;;;;;;5;;;5
Odin Software Ontwikkeling;;;;;;1;;;1
onlinekabelshop.nl;;1;;;;;;;1
ONS Fiber Parts & Tools B.V.;;;;;;;1;;1
OPEN.satisfaction B.V.;1;;;;;;;;1
OpenRemote B.V.;;;;;;2;;;2
Oracle Nederland;;;;;;4;;;4
Orcavoice B.V.;;;;;;;1;;1
Ordina Business Consulting & Solutions B.V.;2;;;;;2;;;2
PanCompany B.V.;1;;;;;;;;1
Papergraphics;;1;;;;;;;1
Paralax B.V.;;;;;;3;;;3
Picturae B.V.;;;;1;;;;;1
Picturae ICT B.V.;;;;2;;;;;2
PINE ICT B.V.;;1;;;;;3;;3
Plaatwerkindustrie Tol B.V.;;;;;;3;;;3
Planon B.V.;;;;3;;5;;;5
Plastic- en Metaalwarenfabriek 'RIAN' B.V.;;;;2;;;;;2
Portbase B.V.;;;;1;;;;;1
Priority;;;;;;;3;;3
Procyon Networks B.V.;;;;;;;1;;1
Prodicom B.V.;1;;;;;;;;1
Protinus IT B.V.;;5;3;7;;8;1;;8
Quint;2;;;;;;4;;4
R&U Group B.V.;1;;;;;;;;1
Real Solutions Haarlem B.V.;;1;;;;;;;1
Reflection IT B.V.;;;;;;;1;;1
Reichle & De-Massari Netherlands B.V.;;;;;;;1;;1
Repromat B.V.;;2;;;;1;;;2
Reputation Institute The Netherlands B.V.;;;;;;;3;;3
Réseaux IP Européens Network Coord. Centre;;;;;;1;;;1
Respond B.V.;;;;;;1;;;1
RevelX Consulting B.V.;;;;;;;;4;4
Rittal B.V.;;1;3;;;;1;;3
Romex B.V.;;1;;;;;;;1
Rotterdam Airport B.V.;;;;;;1;;;1
ROUTZ B.V.;1;;;;;;;;1
RR Commerce B.V.;;1;;;;;;;1
S.B.R. Vloeren en Interieur B.V.;2;;;;;;;4;4
Schiphol Connect B.V.;;;;;;;1;;1
Schiphol Nederland B.V.;;;;;;2;;;2
Schiphol Telematics B.V.;;;;;;;5;;5
Sdu Uitgevers B.V.;;;;;;;;2;2
SIDN Deelnemingen;;;;;;1;;;1
Simac Electronics B.V.;;2;;;;;1;;2
Slimstock B.V.;;;;;;1;;;1
SLTN IT Professionals B.V.;1;;;;;;;;1
Smart Cable Technology B.V.;;;;;;;2;;2
SMS Implementation Engineers B.V.;;;;;;3;;;3
Socia B.V.;;1;2;;;3;;;4
Software AG Nederland B.V.;;;;3;;5;;;5
SoftwareONE B.V.;;;;1;;4;;;4
Solipsis B.V.;;;;;;2;;;2
Sonic Foundry International B.V.;;;;;;3;;;3
Spandex Benelux B.V.;;4;;;;2;;;4
Star Apple Interim B.V.;1;;;;;;;;1
Steiger en Ladder Specialist;;1;;;;;;;1
STRICT;;;;;;;;3;3
Studio 38C;;2;;;;;;;2
SURFmarket;;;;;;;3;;3
SURFnet B.V.;;;;;;4;;;4
Sweco Nederland B.V.;;;;1;;;;;1
Synergy Benelux;;;;;;4;;;4
SynerScope;;;;;;4;;;4
T&T Compet&t.b.v.;;;;;;3;;;3
Tacs Informatisering B.V.;1;;;;;;;;1
Tardis Research B.V.;;;;;;2;;;2
Technische Handelsonderneming Tehages B.V.;;;;;;2;;;2
Technische Unie B.V.;;;;;;;2;;2
Telpress Benelux B.V.;1;;;;;;;;1
Tensing Safety & Security B.V.;;;;;;2;;;2
The Future Store;;2;;;;;;;2
Top Movers Nederland B.V.;3;;;;;;;;3
Touch Concepts B.V.;;;;;1;;;;1
Tradinco Instruments;;;;1;;;;;1
Trion V.O.F.;;;;;;1;;;1
Trits Procesinnovatie;;;;1;;;;;1
United Meeting Designers;;;;;;;1;;1
UP learning B.V.;;;;;;2;;;2
v. Dongen met de Kroon Borduurprof. B.V.;;1;;;;;;;1
Van Hal Totaal;;2;;;;3;3;;4
Van Oostvoorn & Zn;;;;;;;1;;1
Vanderkooij Telecommunicatie B.V.;;;;;;2;1;;2
VCD Business Intelligence B.V.;;;;;;3;;2;3
Vermaat Leisure B.V.;;1;;;;;;;1
Vertimart Consultants B.V.;;;;;;2;;;2
Video Duplication Holland B.V.;;1;;;;;;;1
Vink Lisse B.V.;;1;;;;;1;;1
Virtual Forge Benelux B.V.;;;;2;;;;;2
VKRC;1;;;;;;;;1
Vocal Folds;1;;;;;;;;1
Vosko B.V.;;;;;;2;1;;2
Wbn Software Solutions B.V.;;;;;;1;;;1
We-Got-IT B.V.;;1;3;;;1;1;;3
Welch Allyn B.V.;;;;;;2;;;2
Weolcan B.V.;;;;;;;;2;2
WeSummarize;;;;;;;;2;2
Worcflow;;2;;;;;;;2
Xerox (Nederland) B.V.;1;7;;;;4;1;;7
XS4ALL Internet B.V.;;;;;;;1;;1
Yorcom Computers B.V.;;;;;;;1;;1
YourIT B.V.;;;;;;3;;;3
Ziggo B.V.;;;;;;6;1;;6
ZorgDomein Nederland B.V.;;;;1;;1;;;1
Eindtotaal;8;9;7;7;5;11;10;7;13
