FID,name,folder,group_,urlbig,latitude,longitude,se_anno_cad_data,gdb_geomattr_data,shape
zn_helicopterfotos_2008_02.1,1o9r1390,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1390.jpg,79956.0821677,394068.930165,,,POINT (79956.08199999854 394068.9299999997)
zn_helicopterfotos_2008_02.2,1o9r1391,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1391.jpg,79920.1012386,394115.084138,,,POINT (79920.10099999979 394115.08399999887)
zn_helicopterfotos_2008_02.3,1o9r1392,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1392.jpg,79901.4639918,394137.429046,,,POINT (79901.46400000155 394137.4290000014)
zn_helicopterfotos_2008_02.4,1o9r1393,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1393.jpg,79882.3588468,394159.410086,,,POINT (79882.3590000011 394159.41000000015)
zn_helicopterfotos_2008_02.5,1o9r1394,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1394.jpg,79862.7885607,394181.212667,,,POINT (79862.7890000008 394181.2129999995)
zn_helicopterfotos_2008_02.6,1o9r1395,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1395.jpg,79842.3979553,394202.285736,,,POINT (79842.39799999818 394202.28599999845)
zn_helicopterfotos_2008_02.7,1o9r1396,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1396.jpg,79776.0895068,394262.24384,,,POINT (79776.08999999985 394262.243999999)
zn_helicopterfotos_2008_02.8,1o9r1397,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1397.jpg,79654.6018267,394360.299631,,,POINT (79654.60200000182 394360.30000000075)
zn_helicopterfotos_2008_02.9,1o9r1398,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1398.jpg,79505.0526592,394484.183601,,,POINT (79505.05299999937 394484.18400000036)
zn_helicopterfotos_2008_02.10,1o9r1399,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/,a4_omlegginghalsteren,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a4_omlegginghalsteren/2008-02/1o9r1399.jpg,79436.2468669,394546.779873,,,POINT (79436.24700000137 394546.7800000012)
