Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Maandag;;;4;;;2;;;;4
September;;;;1;;;1;;;1
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);;;;1;;;;;;1
&Maes;;;;;;1;;;;1
2 Seasons Beach BV;;;;;;;1;;;1
24 Uur in Bedrijf;;;;1;;;;;;1
2Birdsmedia;;;;1;;;;;;1
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);;;1;;;;;;;1
42on;;;;;;1;;;;1
4Dental Tandtechniek;;;2;;;;;;;2
5 Hart It Oracle Experts Opleidingen;;;;;2;3;;;;3
A. van Helden Relatiegeschenken, Reclameartikelen;;;1;;;;;;;1
A.P.S.  (Aviation Patch Supplies);;;;1;;;1;;;1
A1-Plaza;;;;2;;;;;;2
AALO Opleidingen;;;;1;1;;;;;1
Aaltje Vincent & Company;;;;;1;;;;;1
Able2;;;1;;;;;;;1
Aboma + Keboma;;;1;;;;1;;;1
ABP-Reclame;;;;;;;1;;;1
Abtronix;;;;;;1;;;;1
Academie voor Ambulancezorg;;;;;;5;;;;5
Academie voor Psychologica;;;;;;1;;;;1
AccreDidact B.V.;;;;;;1;;;;1
Accreditatie Bureau Cluster 1;;;;;;1;1;;;1
Accuramed BVBA;;;2;;;;;;;2
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;1;;;;1;;;1
Achterkamp Bedrijfsopleidingen;;;;;1;;;;;1
ACM Opleidingen;;;;;1;;;;;1
ACS Auditing & Consulting Services;;;;;;1;;;;1
ACTA Academisch Centrum Tandheelkunde Amsterdam;;;;;;1;2;;;2
Ad Hogerdijk Wijnen;;;;1;;;;;;1
Adams Muziekcentrale;;;1;;;;1;;;1
AdBallon BV.;;;;;;;3;;;3
Add-Mission;;;;;;;1;;;1
Adecco Group (incl. Ajilon, Ajilon TTP, vh DNC);;;1;1;;1;1;;;2
Adformatie Groep Uitgeverij;;;;;;;1;;;1
ADLIB Information Systems (inc Axiell);;;;;;1;;;;1
Adminiles;;;;;1;;;;;1
Admiraal De Ruyter Ziekenhuis Walcheren;;;;;;2;;;;2
Adola B.V.;;;1;;;;;;;1
Adprosign;;;;;;;1;;;1
Adquipment Medical B.V.;;;1;;;;;;;1
Adrienne Bloemenhuis;;;;;;;1;;;1
Advanced Hobby Technics;;;;1;;;;;;1
Adventure And Thrill;;;;1;;;;;;1
AdviSafe Risk Management;;;;;;1;;;;1
Advising People & Organisation;;;;;;;3;;;3
Advyt (vh Amethist);;;;;;1;;;;1
Aeneas Uitgeverij van Vakinformatie;;;;;;1;;;;1
AgiliX Agile Development Consulting;;;;;;2;;;;2
Agrilog;;;;;;1;;;;1
AGRO HANDELSOND HOLLAND;;;;1;;;1;;;1
Ahoy Horeca;;;;1;2;;;;;2
Aib-Vincotte;;;;;;1;;;;1
Aikima;;;;;;1;;;;1
Ai-Opener;;;;;;1;;;;1
Air Products Nederland;;;1;;;;;;;1
Airborne Museum;;;;1;;1;1;;;1
Airbrush Services Almere;;;;;;;1;;;1
Airsoft4U;;;;1;;;;;;1
Akkermans Rekreatie;;;;1;;;;;;1
Aktief Overijssel;;;;1;;;;;;1
Aktiviteitenpark De Wilgenweard;;;;1;;;;;;1
Akxifo Drukkerij;;;;;;;1;;;1
Akzo Nobel Industrial Chemicals;;;1;;;;;;;1
Alba Academie;;;;;;1;;;;1
Albema/Robema;;;;;;;1;;;1
Albron Catering;;;;;1;;1;;;1
AlbumPrinter;;;;1;;;;;;1
Alcon Nederland;;;1;;;;;;;1
Alert Management Consultants;;;1;;;;;;;1
Alert Promotie;;;;1;;;;;;1
Alex Aalders Bloemist;;;;1;;;;;;1
Alexander Hotel;;;;;;1;;;;1
Alfa Laval Benelux;;;;;;1;;;;1
Alfa-College;;;1;;;1;;;;1
Alfred Knorr Communicatie;;;;;1;;;;;1
Algemene Oranje Vereniging;;;;1;;;;;;1
Alk-Abello;;;1;;;;;;;1
Al-Ko Kober B.V.;;;;;;;1;;;1
Allekabels;;;;;1;;1;;;1
Allemansgeest Restaurant;;;;;;;1;;;1
Allergan B.V.;;;1;;;;;;;1
Alles in Balans.NU;;;;;;1;;;;1
Alliance Healthcare;;;7;;;;;;;7
All-In Catering Solutions;;;;1;;;;;;1
Allways Fit;;;;;;1;;;;1
AllweCare medical B.V.;;;1;;;;;;;1
Alp Lift;;;;1;;;;;;1
Alphatron Communicatie, Observatie, Navigatie;;;;;;1;;;;1
Alpina van Houwening & Ijsselstijn;;;;1;;;;;;1
Alternate;;;;1;;;;;;1
Alysis Maatschap Longartsen;;;1;;;;;;;1
Ambitech;;;;;;2;;;;2
Ambroise Holland B.V.;;;1;;;;;;;1
Ambu;;;1;;;;;;;1
Amerongen Facilitair;;;;1;;;;;;1
AMO Netherlands B.V.;;;1;;;;;;;1
Amsterdam Airport Schiphol;;;;;;1;;;;1
Amsterdam School of Real Estate;;;;;;1;;;;1
Amsterdamse Bloemenmarkt;;;;1;;;1;;;1
ANAC autowasstraat;;;;;;;1;;;1
Ananta Opleidingen;;;;;;2;;;;2
Andre Motors;;;;;1;;;;;1
AngioDynamics Netherlands B.V.;;;2;;;;;;;2
Animo;;;1;;;1;;;;1
Anker & Kompas;;;;;;1;;;;1
Annage Skûtsjesilen (Age Veldboom);;;;1;;;;;;1
Anteun Hoesen Recordings;;;;;;;2;;;2
Antonides;;;1;;;;;;;1
Antratek Electronics;;;;;;1;;;;1
Anusia Witte;;;;;;;1;;;1
ANWB;;;;1;1;1;1;;;2
Aon Nederland;;;;1;;;;;;1
AP-Art;;;;3;;;;;;3
APCOA Parking;;;;;;;;;1;1
Apenheul;;;;;;;2;;;2
Apex High Security;;;;1;;;;;;1
APP A Perfect Pool;;;;1;;;;;;1
Appcomm;;;;;1;;;;;1
Applied Medical Distribution Europe;;;1;;;;;;;1
Apply Opleidingen;;;1;;;1;;;;1
Arbo Rotterdam;;;;;;1;;;;1
Archie Europe;;;;;;1;;;;1
Arcus College;;;1;;;;;;;1
Ardis Management Development;;;;;;1;;;;1
Argo B.V.;;;2;;;;;;;2
