;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
&Maes B.V.;2;;;;;;;;;2
(BBP) Beerens-Business Press B.V.;;;;;;1;;;;1
.FABRIC;;;;3;;;;;;3
12Mprove B.V.;;;;;;1;;;;1
1633 eten en drinken;;;;1;;;;;;1
21 The Netherlands;;;;1;;;;;;1
2Kg;;;;;;1;;;;1
2KNOWHOW, art of change B.V.;;;;;;2;;;;2
2Shan t.h.o.d.n. Bezorgbeer Delft;;;;1;;;;;;1
2Xplain V.O.F.;;;;;;2;;;;2
365 dagen succesvol;;;;;;1;;;;1
4 Coaching en Training;;;;;;1;;;;1
5HART-IT B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;1;;3;;;;3
7AM Den Haag B.V.;1;;;;;;;;;1
87seconds SA/NV;;;;2;;;;;;2
A&E Promotions & Event Support '88;;;;1;;;;;;1
A.M. Hume Bedrijfsarts;;;2;;;;;;;2
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;;;1;1
A5tien B.V.;;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;1;;;;;;1
Aanmelder.nl B.V.;;;;;;1;;;;1
abcfinance B.V.;;;;1;;;;;;1
ABF Research B.V.;3;;;;;;;;;3
Abonnementenland;;;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;1;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
Academie voor Organisatiecultuur;;;;;;1;;;;1
Academy for Leadership B.V.;;;;;;6;;;1;6
Academy Payroll Professionals;;;;;;2;;;;2
Accor Hospitality Nederland N.V.;;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;;1;;;;1
Actis Business Partners B.V.;;;;;;1;;;;1
ACTME B.V.;;;;;;1;;;;1
A'dam Sch. Of Real Alumni Ass. Mre('Aaa Mre');;;;;;1;;;;1
Adang Organisatieadvies;;;;;;2;;;;2
Advies Veiligheid MtB;;;;;;1;;;;1
Advocaten en Notarissen Nauta Dutilh;;;;4;;;;;;4
Advocatenkantoor Van de Loo;;;;;;;;;1;1
Aeneas B.V.;;;;;;;;1;;1
AEVES B.V.;3;;;4;;5;;;1;6
AG Connect B.V.;1;;;;;;;;;1
Agile;;;;;;1;;;;1
Agile Scrum Group B.V.;;;;;;1;;;;1
AgiliX Agile Development Consulting B.V.;;;;;;1;;;;1
Aiki Art;;;;;;1;;;;1
Ai-Opener;;;;;;1;;;;1
Alaris, a Kodak Alaris Business;;;;;;1;;;;1
Albert Heijn B.V.;;;;1;;;;;;1
Albron Nederland B.V.;;;;1;;;;;;1
ALFABETA;;;;;;1;;;;1
Allekabels B.V.;;;;1;;;;;;1
Allen & Overy LLP;;;;2;;;;;;2
Allgifts.nl B.V.;;;;1;;;;;;1
Alphaplan B.V.;;;;;;2;;;;2
Altavia Sumis B.V.;;;;1;;;;;;1
Alten Nederland B.V.;;;;;;1;;;;1
Alutech Nederland;;;;;;2;;;;2
Always Green B.V.;1;;;1;;;;;;1
AM.HumeBedrijfsarts;;;3;;;;;;;3
Amaze Escape Events;;;;1;;1;;;;1
Amazon;;;1;;;;;;;1
Ambiënt Advies B.V.;;;;2;;;;;;2
AMBIstudie;;;;;;1;;;;1
Ambitio;;;;;2;;;;;2
Amenddak;;;;1;;;;;;1
Amershof B.V.;;;;1;;;;;;1
Amici B.V.;;;;1;;;;;;1
Amier Restaurant B.V.;;;;1;;;;;;1
Amstel Graphics B.V.;;;;;;1;;;;1
Amsterdam School of Real Estate B.V.;;;;;;2;;;;2
Andersson Elffers Felix;;;;;;2;;;;2
Andy Marcelissen;;;;1;;;;;;1
Angie's Kitchen Beers & Bites;;;;1;;;;;;1
Anna Vastgoed Beheer B.V.;;;;;;2;;;;2
anoniem_BZK_1;;;;;;2;;;;2
anoniem_BZK_10;1;;;;;2;;;;2
anoniem_BZK_11;;;;1;;;;;;1
anoniem_BZK_12;;;;;;1;;1;;1
anoniem_BZK_124;;;;;;1;;;;1
anoniem_BZK_13;;;;;;;;;1;1
anoniem_BZK_156;;;;;;;;;1;1
anoniem_BZK_16;;;;;;1;;;;1
anoniem_BZK_161;;;;1;;;;;;1
anoniem_BZK_166;;;;;;1;;;;1
anoniem_BZK_17;;;;1;;1;;;1;1
anoniem_BZK_177;;;;;;1;;;;1
anoniem_BZK_178;;;;1;;;;;;1
anoniem_BZK_179;;;;;;;;;1;1
anoniem_BZK_18;;;;;;1;;;;1
anoniem_BZK_19;;;;2;;;;;;2
anoniem_BZK_20;;;;;;2;;;;2
anoniem_BZK_21;;;;;;1;;;1;1
anoniem_BZK_22;1;;;;;;;;;1
anoniem_BZK_23;;;;;;1;;;;1
anoniem_BZK_24;3;;;;;;;;;3
anoniem_BZK_25;;;;1;;;;;;1
anoniem_BZK_26;1;;;1;;;;;;1
anoniem_BZK_27;;;;;;;;1;;1
anoniem_BZK_29;1;;;;;;;;;1
anoniem_BZK_3;;;;;;1;;;;1
anoniem_BZK_31;;;;;;1;;;1;1
anoniem_BZK_32;;;;;;1;;;;1
anoniem_BZK_37;;;;1;;;;;;1
anoniem_BZK_379;;;;1;;;;;;1
anoniem_BZK_38;;;;1;;;;;;1
anoniem_BZK_380;;;;1;;;;;;1
anoniem_BZK_383;;;;;;1;;;;1
anoniem_BZK_384;;;;1;;;;;;1
anoniem_BZK_385;;;;;;;;;7;7
anoniem_BZK_386;;;;;;1;;;;1
anoniem_BZK_388;;;;;;1;;;;1
anoniem_BZK_389;;;;;;1;;;;1
anoniem_BZK_39;;;;4;;;;;;4
anoniem_BZK_390;;;;;;;;;1;1
anoniem_BZK_391;;;;;;1;;;;1
anoniem_BZK_392;;;;;;2;;;;2
anoniem_BZK_395;;;4;;;;;;;4
anoniem_BZK_396;;;4;;;;;;;4
anoniem_BZK_398;;;;;;2;;;;2
anoniem_BZK_4;;;;;;;;1;;1
anoniem_BZK_400;;;2;;;;;;;2
anoniem_BZK_402;;;4;;;;;;;4
anoniem_BZK_403;;;;;;1;;;;1
anoniem_BZK_404;;;;;;1;;;;1
anoniem_BZK_405;;;4;;;;;;7;7
anoniem_BZK_406;;;;1;;;;;;1
anoniem_BZK_407;;;4;;;;;;;4
anoniem_BZK_408;;;;;;1;;;;1
anoniem_BZK_409;;;;;;1;;;;1
anoniem_BZK_410;;;;1;;;;;;1
anoniem_BZK_411;;;;;;1;;;;1
anoniem_BZK_413;;;;1;;;;;;1
anoniem_BZK_414;;;;1;;;;;;1
anoniem_BZK_415;;;;1;;;;;;1
anoniem_BZK_416;;;;;;1;;;;1
anoniem_BZK_417;;;;;;2;;;;2
anoniem_BZK_419;;;4;;;;;;;4
anoniem_BZK_420;;;;;;3;;;;3
anoniem_BZK_421;;;;1;;;;;;1
anoniem_BZK_422;;;;;;1;;;;1
anoniem_BZK_424;;;;;;;;1;;1
anoniem_BZK_43;;;;;;;;1;;1
anoniem_BZK_48;;;;;;;;;3;3
anoniem_BZK_5;;;;;;1;;;;1
anoniem_BZK_50;;;;1;;;;;;1
anoniem_BZK_51;;;;;;1;;;;1
anoniem_BZK_53;;;;;;;;;5;5
anoniem_BZK_59;;;;;;1;;;;1
anoniem_BZK_6;;1;;;;1;;;;1
anoniem_BZK_60;;;;;;1;;;;1
anoniem_BZK_61;;;;1;;;;;;1
anoniem_BZK_66;;;;;;;;;6;6
anoniem_BZK_68;;;;;;1;;;;1
anoniem_BZK_69;;;;;;1;;;;1
anoniem_BZK_7;1;;;;;;;;;1
anoniem_BZK_70;;;1;;;;;;;1
anoniem_BZK_71;;;;;;1;;;;1
anoniem_BZK_8;;;;;;1;;;;1
anoniem_BZK_9;1;;;;;;;;;1
anoniem_BZK_93;;;;;;1;;;;1
Antea Nederland B.V.;4;;;;;1;;;;4
Antropia B.V.;;;;;;1;;;;1
ANWB B.V.;;;;;;1;;;;1
Appassionato;;;;;;1;;;;1
ARBO centrum;;;;;;1;;;;1
Arbo Unie;;;6;;;;;;;6
Arbolight;;;3;;;;;;;3
Arboned;;;;;;1;;;;1
ARCADIS Nederland B.V.;;;;;;;;4;;4
ARCADIS Nederland Holding B.V.;;;;1;;;;;;1
Ardis Opleidingen B.V.;;;;2;;3;;;;4
Ardis Organisatieontwikkeling B.V.;;;;1;;2;;;;2
Arenda Oomen Fotografie;;;;;1;;;;;1
Aretha B.V.;;;1;;;;;;;1
Argos Coaching;;;;;;1;;;;1
Arkiva Horeca B.V.;1;;;;;;;;;1
Arnage Horeca B.V.;;;;1;;;;;;1
aromalunch.nl;;;;1;;;;;;1
ARQ IVP B.V.;;;;;;1;;;;1
Arrange Consultancy B.V.;;;;;;1;;;;1
Art. en Evenement. Stef Arntz/Streetwise B.V.;;;;1;;;;;;1
Artiestenbureau van Otterloo B.V.;;;;1;;;;;;1
Artige B.V.;;;;1;;;;;;1
Artitude;;;;1;;;;;;1
Artpub B.V.;;;;1;;;;;;1
AS I-search, onderzoek;;;;;;;;;1;1
Asgard Hotel B.V.;;;;;;;;;1;1
Aspectibus;;;;;;3;;;;3
AT OSBORNE CONSULTANTS & MANAGERS;5;;;;;;;;;5
Atelier 2t;;;;1;;;;;;1
Atelier de Pleijsterplaats;;;;1;;;;;;1
Athene Palace B.V.;;;;1;;1;;;;1
Atlassian Holdings B.V.;;;;;;1;;;;1
Attitude Matters;;;;;;1;;;;1
August;;;;1;;;;;;1
