Rijlabels;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;1;;1
3K Horeca B.V.;;1;;;;1
A.W. Zwaard Arbeidsomstandigheden;;;;1;;1
Academy for Leadership B.V.;;;;1;;1
Adviesbureau Di-Mensie B.V.;;;;1;;1
AIVB Adviesbureau;;;;1;;1
Ajms Management Advies;;;;1;;1
Albron Travel Catering;;1;;;;1
Aliza Art;;;;1;;1
Amaze Escape Events;;1;;1;;1
Andriessen & Partners B.V.;;;;2;;2
Annelies Kraan Beheer B.V.;;;;1;;1
Antoinette Faciliteert;;;;1;;1
Arbo Support B.V.;;;;1;;1
Arbo Unie B.V.;;;;1;;1
ArboNed II B.V.;4;;;1;;4
Ardis Organisatieontwikkeling B.V.;;1;;6;;6
Arian Valk Consultancy;;;;1;;1
A-Risc;;;;1;;1
ARS Traffic & Transport Technology B.V.;;1;;;;1
Atelier Leni van Santen;;;;1;;1
Athene Palace B.V.;;1;;;;1
Atos Nederland B.V.;;;;1;;1
AukjeNauta.eu;;;;1;;1
Aurium Commerce B.V.;;;;1;;1
Automotive Publishing B.V.;;;;1;;1
AVI Algemeen Veiligheids Instituut B.V.;;;;3;;3
AWVN (Algemene Werkg.ver. Nederland);;;;1;;1
B.V. Hotel De Gouden Karper;;1;;;;1
B+B Vakmedianet B.V.;;;;2;;2
Bakkerij De Jong B.V.;;1;;;;1
Banketbakkerij Boheemen;;1;;;;1
Bar Restaurant La Vina;;1;;;;1
Bar Restaurant Pavlov B.V.;;1;;;;1
Bea Crouwers Coaching;;;;1;;1
Bedrijfsopleidingen Midden Nederland B.V.;;;;2;;2
Belgisch Biercafé Olivier B.V.;;1;;;;1
Berenschot Interim Management B.V.;;;;2;;2
Beroepsvereniging Vide;;;;1;;1
Bestuurskundig Adviesbureau Peter Hovens;;;;1;;1
Bex Beveiliging Exclusief B.V.;;2;;;;2
Bezemer Kuiper & Schubad B.V.;;;;1;;1
BijzonderStrafrecht B.V.;;;;1;;1
Bilderberg Hotel De Buunderkamp;;;;2;;2
Bilderberg Hotel Wolfheze;;;;2;;2
Binnenlands Bestuur B.V.;;;;1;;1
Bistro Chez Jacqueline;;1;;;;1
Blanke Keurslager;;1;;;;1
Blij Lunch & Borrelroom;;1;;;;1
Bloemen Cadeau B.V.;;1;;;;1
BLOSSOM bloemisterij;;1;;;;1
BME Opleidingen B.V.;;;;2;;2
Boek en Service;;;;1;;1
Boertiengroep;;;;3;;3
Boost Events;;1;;;;1
Bowling Scheveningen B.V.;;1;;;;1
BPP Hyperion B.V.;;;;1;;1
Branch Out;;;;1;;1
Brasserie Buitenhof;;1;;;;1
Brasserie De Boerderij;;1;;;;1
Brasserie Sequenza;;1;;;;1
Brasserie Soho B.V.;;1;;1;;1
Brasserie/Restaurant Babbilage;;1;;;;1
BSA Schaderegeling B.V.;1;;;;;1
Buena Vista Beach Club B.V.;;1;;;;1
Bureau Beeley;;;;2;;2
Bureau Zuidema B.V.;;;;2;;2
Burn Out Poli;1;;;;;1
Buschman Consultancy B.V.;;;;1;;1
Café Restaurant Rootz B.V.;;1;;;;1
Café Restaurant Selina;;;;1;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;1;;;;1
Cafe/Restaurant Schlemmer;;;;;1;1
Café-Restaurant New York Den Haag;;1;;;;1
Cao-recht Advies en Opleiding;;;;1;;1
Capgemini Educational Services B.V.;;;;1;;1
Capgemini Nederland B.V.;;;;1;;1
Capilla;;;;1;;1
Carbonfilters B.V.;1;;;;;1
