;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
(BBP) Beerens-Business Press B.V.;;;;;1;;;;1
100% Real Greek;;;1;;;;;;1
2 Facilitate 4 Best Results;;;;;1;;;;1
2Byte;;;1;;;;;;1
2KNOWHOW, art of change B.V.;;;;;1;;;;1
4 Seasons Events;;;1;;;1;;;1
42on B.V.;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;2;;;;2
A Million Faces B.V.;;;;;1;;;;1
A. de Leeuw;;;;;;;;1;1
A. in 't Veld;;;1;;;;;;1
A. van Gaal B.V.;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;;;1
A. Woest B.V.;;;;;1;;;;1
A5tien B.V.;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;1;;;;1
Aan de Zweth B.V.;;;1;;;;;;1
ABC Consult;;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;1;;;1;;2;2
Absolutas B.V.;;;1;;;;;;1
Academie voor Cultuurmanagement;;;;;1;;;;1
Academy for Information and Management B.V.;;;;;1;;;;1
Accor Hospitality Nederland N.V.;;;;;;;;1;1
Accountor Nederland B.V.;;;;;;1;;;1
Aceituna Catering B.V.;;;1;;;;;;1
Aclub B.V.;;;1;;;;;;1
Acte De Présence;;;4;;;;;;4
Acteursbureau Kapok B.V.;;;;;2;;;;2
Actis Seminars B.V.;;;;;1;;;;1
Active HVG Stock B.V.;;;;;;;;1;1
Ad Hosman;;;1;;;;;;1
Advocatenkantoor Van de Loo;;;;;1;;;;1
Ageeth van der Veen Journalistiek;;;1;;;;;;1
Agile Scrum Group B.V.;;;;;1;;;;1
Agnes;;;1;;;1;;;1
Alba-academie;;;;;1;;;;1
Albert Heijn B.V.;;;1;;;;;;1
Albron B.V.;;;1;;;1;;;1
ALcreatief;;;1;;;;;;1
Alkemade, M.;;;;;;;;1;1
All Season Sports;;;2;;;;;;2
ALL TOTALITY;;;;;;;;1;1
Allen Carr's Easy Way;;;;;1;;;;1
Alternate Computerversand Nederland;;;;;1;;;;1
Altura Nederland;;;;;1;;;;1
Amersfoort Express;;;;;;1;;;1
Amgate B.V.;;;1;;;;;;1
Amici Ristorante;;;1;;;;;;1
Amier Restaurant B.V.;;;1;;;;;;1
Amplooi;;;;1;;;;;1
Amsterdam University Press AUP B.V.;;;1;;;;;;1
AnalitiQs B.V.;;;;;1;;;;1
Andarr Technology Services;;;;;1;;;;1
Anja de Boer training-coaching- relatiether.;;1;;;;;;;1
Annage Skûtsjesilen;;;1;;;1;;;1
Annemarie Willems Producties;;;1;;;;;;1
Antje Dijkstra;;;1;;;1;;;1
AOG Contractonderwijs B.V.;;;;;3;;;;3
AppleMe Academy;;;;;1;;;;1
Applus RTD Certification;;;;;2;;;;2
Aquabus B.V.;;;;;;;;1;1
Arca Printersupplies B.V.;;;;;1;;;;1
Ardis Opleidingen B.V.;;;;2;3;;;;3
Ardis Organisatieontwikkeling B.V.;;;;;3;;;;3
Arkadia;;;;;1;;;;1
Arnauld Geschenken B.V.;;;1;;;;;;1
Arnica Yoga;;;;;1;;;;1
AroundTown;;;1;;;;;1;1
Array Media B.V.;;;;;1;;;;1
Arriva Personenvervoer Nederland B.V.;;;1;;;1;;;1
Art & Dining;;;1;;;;;;1
Art and the City;;;;;1;;;;1
Artihove Regina B.V.;;;1;;;1;;;1
Arts en Zorg Praktijk Hoendiep;;;;1;;;;;1
Arts en Zorg Praktijk Schuytgraaf;;;;1;;;;;1
Ascom (Nederland) B.V.;;;;;1;;;;1
Asser Historische Vereniging;;;1;;;1;;;1
At Computing B.V.;;;;;2;;;;2
ATOA;;;;;1;;;;1
Atos Nederland B.V.;;;;;1;;;;1
August;;;1;;;;;;1
AutiTalent B.V.;;;;1;;;;;1
Autonomica;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;1;;;;1
AVK Training & Coaching;;;;;1;;;;1
AWN, ver. van vrijwilligers in de archeologie;;;;;;;1;;1
B. Woordes-Visser;;;;;;;;1;1
B.G. Steijlen, huisarts;;1;;;;;;;1
