Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
1. Stg. Blijf Groep 2. Oranje Huis Amsterdam;;;;;1;;;;1
A. van Helden Relatiegeschenken B.V.;;;;;;1;;;1
a4 Training;;;;;4;;;;4
ABC Dutch;;;;;1;;;;1
ABP-Reclame;;;1;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;1
Academie Voor Organisatiecultuur Soest;;;;;1;;;;1
Academy Payroll Professionals;;;;;1;;;;1
Acket-in-Mind;;;;;2;;;;2
ACM Opleidingen B.V.;;;;;1;;;;1
Ad Em Producties B.V.;;;;;1;;;;1
Ak Ay Gida Rescate Hotels Ankara;;;;;;;;1;1
AKA UNITED NATIONS DIVISION OF KORMAN COMMUNITIES;;;;;;;;2;2
Alexander Hotel B.V.;;;;;1;;;;1
Alliance Francaise de La Haye;;;;;1;;;;1
ALT HOTELS BY LE GERMAIN;;;;;;;;1;1
Andija B.V.;;;;;1;;;;1
Anna Vastgoed & Cultuur;;;;;1;1;;;1
Annelies Kraan Beheer B.V.;;;;;2;;;;2
Aquarium Lda;;;;;;;;1;1
Arbo Unie;;1;;;;;;;1
Arboreus Boedapest;;;;2;;;;;2
Ardis Opleidingen B.V.;;;;;6;1;;;6
ASMORO B.V.;;;;;;1;;;1
Asten Hotels S R.O. Praha;;;;;;;;1;1
Atelier Kronenburg;;;;;;1;;;1
Athenas B.V.;;;;;;;;1;1
Axiell ALM Netherlands B.V.;;;;;1;;;;1
B.V. Panorama Mesdag;;;;;;1;;;1
B+B Vakmedianet B.V.;;;;;1;;;;1
Bakkerij C.J. van Kempen;;;1;;;;;;1
Balans & Impuls B.V.;;1;;;;;;;1
Banketbakkerij Aad de Groot B.V.;;;1;;;;;;1
Banketbakkerij Boheemen;;;;;;1;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;;1
Banketbakkerij Plasman;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;;;2;;;2
Barbarossa Beach B.V.;;;;;;1;;;1
Barn47 B.V.;;;;;;2;;;2
Basaal 2.0;;;;;;1;;;1
Battlefield Live Nederland B.V.;;;;;;1;;;1
BBflex;;;;;;1;;;1
Bcd Travel Nairobi;;;;;;;;1;1
Be Cool Events;;;;;;1;;;1
Beachclub Copacabana B.V.;;;;;;1;;;1
Beachclub Indigo B.V.;;;;;;2;;;2
BeBright Consultancy B.V.;;;;;2;;;;2
Becker & More Services;;;;;1;;;;1
Beheer Centrum voor Mindfulness;;;;;1;;;;1
Berenschot Groep B.V.;;;;;4;;;;4
Berlitz Schools of Languages B.V.;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;;1
BETWEEN THE BREAD;;;;;;1;;;1
Beuk Touringcars;;;;;;1;;;1
Bex*communicatie;;;;;3;;;;3
BirdView Expertises B.V.;;1;;;;;;;1
BLOSSOM bloemisterij;;;1;;;1;;;1
Bodega De Posthoorn;;;;;;1;;;1
Boekhandel Douwes;;1;;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;1;;;;1
BoFit B.V.;;;;;1;;;;1
Boomerang Beach;;;;;;1;;;1
Boterwaag Den Haag B.V.;;;;;;1;;;1
Brasserie Soho B.V.;;;;;;1;;;1
Brasserie-Traiteur Dungelmann B.V.;;;;;;1;;;1
Brinkhomes Custom Campers;;;;;;;;1;1
Buena Vista Beach Club B.V.;;;;;;1;;;1
Bureau Lapoutre Den Haag;;;;;2;;;;2
Bureau PDOT;;;;;;1;;;1
Bureau Zuidema B.V.;;;;;2;;;;2
Burn Out Poli;;;;;1;;;;1
Buro Brand Visuele Communicatie;;;;;1;;;;1
BuroCocon;;1;;;1;;;;1
Burrata Turfmarkt B.V.;;;;;;1;;1;1
Business For Development B.V.;;;;;;;;2;2
Cadeaubonnen.nl B.V.;;;1;;;;;;1
Café Haags Filmhuis;;;1;;;1;;;1
Café Restaurant Rootz B.V.;;;;;;1;;;1
Café-Restaurant De Plantage B.V.;;;;;;1;;;1
Cafe Blossom;;;;;;1;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;;1;;;1
Can Do Academy;;;;;1;;;;1
Capgemini N.V.;;;;;2;;;;2
Capilla;;;;;1;;;;1
Cappon Coaching & Training;;;;;1;;;;1
Capriole Coffee Café B.V.;;;;;;1;;;1
Cees Advocaten N.V.;;;;2;;;;;2
Centrum Permanente Educatie;;;;;1;;;;1
Ceps - Centre For European Policy Studies Brussel;;;;;1;;;;1
Charlotte Jaartsveld Communicatie;;;;1;;;;2;2
CHE Synnervation B.V.;;;;;1;;;;1
Ciao! Ciao! B.V.;;;;;;1;;;1
Cindrillon;;;1;;;;;;1
Citylife B.V.;;;;;;1;;;1
Clarion Hotel Prague Old Town;;;;;;;;2;2
Cleve Dominum Beheer;;;;;;;;1;1
Cloose;;;;;;1;;;1
Coöperatie De Betekenaar UA;;;;;1;;;;1
Coöperatieve Taxi Onderneming Taxi St. Job UA;;;;;;;;1;1
Coach to coach B.V.;;;;;1;;;;1
