Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;;1;;;1
(On)gewoon Bram;;;;1;;;;;1
100% Thijs!;;;;1;;;;;1
123Accu B.V.;1;;;;;;;;1
12apollos B.V.;;;;;;1;;;1
'1e Klas' Grand Café Restaurant;;;;1;;;;;1
21 The Netherlands;;;;1;;;;;1
3K Horeca B.V.;;;;1;;;;;1
3Masters Opleidingen B.V.;;;;;;1;;;1
50 Company;;;;;;1;;;1
7AM Den Haag B.V.;;;;1;;;;;1
A.P.D.E. - Associa��o Portuguesa de Direito Europeu;;;;;;1;;;1
A.V. Webwinkels;;;;1;;;;;1
A1-City B.V.;;;;1;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;1
Academie voor Vastgoed B.V.;;;;;;1;;;1
Academy for Leadership B.V.;;;;;;1;;;1
Academy Payroll Professionals;;;;;;1;;;1
ACE Integraal Netwerk;;;;;1;;;;1
Achmea Pensioen- en Levensverzekeringen N.V.;;;;;;;;1;1
Adam's Sports;;;;1;;;;;1
Advanced Medical Technology Association;;;;;;;;1;1
Adviesbureau Elburg;;;;;;1;;;1
Aeclipse;;;;;1;;;;1
AEVES B.V.;;;;;;;;1;1
Agile Scrum Group B.V.;;;;;;1;;;1
Agnita Twigt B.V.;;;;;;1;;;1
Agrio Uitgeverij B.V.;;;;;;1;;;1
Aiki-Training;;;;1;;;;;1
AimAtArt;;;;1;;;;;1
Ai-Opener;;;;;;1;;;1
Albron Nederland B.V.;;;;1;;;;;1
Alert Management Consultants;;;;;;1;;;1
Alex Aalders Bloemist;;;;1;;;;;1
Alex Boon;;;;;;1;;;1
Alfabeta Tekst & Training;;;;;;1;;;1
Alliance Française d'Amsterdam;;;;;;1;;;1
Aloha Bar & Restaurant B.V.;;;;1;;;;;1
Amaze Escape Events;;;;1;;;;;1
Ameland Adventure;;;;1;;;;;1
Anker & Kompas;;;;;;1;;;1
Aperitivo B.V.;;;;1;;;;;1
Appelscha-Outdoor;;;;1;;;;;1
Arab. Translation Service;1;;;;;;;;1
Arbo Unie B.V.;1;;;;;;;;1
Arcturus training en coaching;;;;;;1;;;1
ARGUS MEDIA;;;;;;1;;;1
Argus Media Limited;;;;;;;;1;1
Arko Redakto B.V.;;;;;;1;;;1
Array Media B.V.;;;;;;1;;;1
Art Centre Delft B.V.;;;;1;;;;;1
Ashana Holistic Care;;;;;;1;;;1
Aston University;;;;;;1;;;1
Au Lapin Agile B.V.;;;;1;;;;;1
August;;;;1;;;;;1
Automotive Publishing B.V.;;;;;;1;;;1
A-Way Events & Wellness B.V.;;;;1;;;;;1
Axiell ALM Netherlands B.V.;;;;;;1;;;1
B.G.L. & Partners B.V.;;;;;;1;;;1
B.V. Copes SNEL;1;;;;;;;;1
B.V. Neuff;;;;1;;;;;1
B+B Vakmedianet B.V.;1;;;;;1;;1;1
Babycompany.nl;;;;1;;;;;1
Badhuys Vlieland Exploitatie B.V.;;;;1;;;;;1
Bak Muziek & Media B.V.;;;;1;;;;;1
Baker Tilly (Netherlands) N.V.;1;;;;;;;;1
Bakkerij Henk Post;;;;1;;;;;1
Bakkerij Schuurmans;;;;1;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;1
Banketbakkerij Borgman;;;;1;;;;;1
Banketbakkerij Gosselaar;;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;1;;;;;1
Banketbakkerij Plasman;;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;;1;;;;;1
Barbarossa Beach B.V.;;;;;;1;;;1
Bart Brandsma in media;;;;;;1;;;1
Bart van Vliet Freelance Fotograaf;;;;1;;;;;1
Baston Service B.V.;;;;1;;;;;1
Battlefield Live Nederland B.V.;;;;1;;;;;1
Bax-shop.nl B.V.;;;;1;;;;;1
Beach Club WOW;;;;1;;;;;1
Beachclub Indigo B.V.;1;;;;;;;;1
Beide benen op de grond;;;1;;;;;;1
Beijk Horeca Heerenveen B.V.;;;;;;;;1;1
Belangen Vereniging S.P.D.;;;;;;1;;;1
Beleving aan zee;;;;1;;;;;1
Belgisch Biercafé Olivier B.V.;;;;1;;;;;1
Belliard Hotel Investments - Aloft Brussels Schuman;;;;;;;;1;1
Berenschot B.V.;;;;;;1;;;1
Beroepsvereniging Vide;;;;;;1;;1;1
Bestuursacademie;;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;1
Biesbosch Aktief;;;;1;;;;;1
Biesbosch Museum;;;;1;;1;;;1
Big Sur B.V.;;;;1;;;;;1
