Rijlabels;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS specifiek;Eindtotaal
A.EL.VIS GmbH;;1;;;;;1
Abbott B.V.;;1;;;;;1
AbbVie B.V.;;1;;;;;1
Abro;;1;;;;;1
Acal BFi Nederland BV (alle vestigingen);;;1;;;;1
acdegroot publishing;;;;;1;;1
Achrom NV;;1;;;;;1
ACTALIA Technopole Alimentec;;;;;1;;1
ACTIVE Bioscience GmbH;;1;;;;;1
Advocatenkantoor Dijkgraaf B.V.;;;;;;1;1
Afvalwater Services B.V.;;;;;1;;1
Air Products Nederland B.V.;;1;;;;;1
Air Quality Monitoring Consultancy;;;;;1;;1
Akzo Nobel N.V.;;;;;1;;1
All Modul B.V.;;;1;;;;1
Altec IndustriÃ«le Identificatie;;1;;;;;1
Amaze Escape Events;;;;;;1;1
Animal & Plant Heath Agency;1;;;;;;1
Antibodies-online GmbH;;1;;;;;1
Aon Global Risk Consulting B.V.;;;;;;1;1
Apertum Consulting;;;;;1;;1
Apotheek Planetenbaan;;1;;;;;1
Applied Maths NV;1;;;;;;1
Aqua Terr Air;1;;;;;;1
Aquasurvey;;;;;1;;1
Arbo Unie B.V.;;;;;1;;1
ARCADIS Nederland B.V.;;;;;1;;1
Asogem Nederland;;1;;;;;1
Association Med-Vet-Net Zoonoses Research;;;;;1;;1
ASTM International;1;;;;;;1
Atal B.V.;;1;;;;;1
Avans Hogeschool;;;;;1;;1
B. Braun Medical B.V.;;1;;;;;1
Bakker & Co BV Handels- en Ingenieursbureau;;1;;;;;1
Balis Micro B.V.;;1;;;;;1
BAM Techniek;;;1;;;;1
Banketbakkerij Maison Kelder B.V.;;;;;;1;1
Bavarian Nordic A/S;;;;;;1;1
BB - NCIPD Ltd.;;;;;;1;1
Beldico B.V.;;1;;;;;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;1;;;;1
Berthold Technologie Belgium NV.S.A.;;1;;;;;1
Bertin GmbH;;;;;1;;1
Bevaplast B.V.;;1;;;;;1
BGI Tech Solutions (Europe) B.V.;1;;;;;;1
BIJ12;;;;;1;;1
Bio Olie Nederland B.V.;;1;;;;;1
BioCat GmbH;;1;;;;;1
Biogents AG;;1;;;;;1
BIOMED CENTRAL LIMITED;;;;;1;;1
BioQuip Products;;1;;;;;1
Bio-Rad AbD Serotec GmbH;;1;;;;;1
Biosisto B.V.;;1;;;;;1
Bio-Techne Ltd Voorheen R&D Systems Europe Ltd;;1;;;;;1
BioTop Consultancy B.V.;;;;;1;;1
Biozymtc B.V.;;1;;;;;1
Bodinco B.V.;;1;;;;;1
bol.com B.V.;;1;1;;;;1
Brocacef B.V.;;1;;;;1;1
Bruker Nederland B.V.;;1;1;;;;1
BTC;;;1;;;;1
BUCHI Labortechnik GmbH;;1;;;;;1
Bugter Consult;;;;;1;;1
Bundeskasse Halle;;;;;1;;1
Bureau Veritas Industrial Services;;;1;;;;1
Buro Blauw B.V.;;1;;;;;1
Butraco;;1;;;;;1
Buveco Gasdetection B.V.;;;1;;;;1
BWT Nederland B.V.;;1;;;;;1
CACI B.V.;;;;;1;;1
Caesar Consult Nijmegen;;;;;1;;1
Caliz B.V.;;;1;;;;1
Capgemini Nederland BV;;;;;1;;1
CareFusion Netherlands 238 B.V.;;1;;;;;1
CarePack Holland B.V.;;1;;;;;1
Carl Roth GmbH+Co.KG;;1;;;;;1
Carl Zeiss B.V.;;;1;;;;1
CasaGrande B.V.;;;;;;1;1
cathyvanbeek consultancy & coaching;;;;;1;;1
Cendris Dataconsulting voorheen Omnidata;;1;;;;;1
Centers for Disease Control zie nummer 18433;;;;;;1;1
Centrum Media & Gezondheid (CMG);;;;;1;;1
Certicon Kwaliteitskeuringen B.V.;;;;;1;;1
CIIO B.V.;;;;;;1;1
Clindia Benelux B.V.;;1;;;;;1
CLM Onderzoek en Advies B.V.;;;;;1;;1
CMS Derks Star Busmann NV (Stichting Derdengelden);;;;;;1;1
Co. Van Beek Generatoren;;;1;;;;1
Coöperatie PreventPartner UA;;;;;1;;1
CoaChrom Diagnostica GmbH;;1;;;;;1
Comon Invent B.V.;;;1;;;;1
COMPAREX Nederland B.V.;;;;;;1;1
Compass Group Nederland Holding B.V.;;;;;;1;1
Conrad Electronic Benelux B.V.;;1;;;;;1
Convergence Instruments;;1;;;;;1
Cosanta B.V.;;;;;1;;1
Council of Europe Minority Youth Committees;;1;;;;;1
Critical Airflow Europe Ltd (EURO);;;1;;;;1
Cryo Store B.V.;;1;;;;;1
CSINTELL - PE GOETHALS MEDraysintell;;;;;1;;1
D.K. A. Alphen B.V.;;;1;;;;1
Da Vinci Laboratory Solutions B.V.;;1;1;;;;1
Dbf Communicatie B.V.;;;;;1;;1
Dbvision B.V.;;;;;1;;1
De Oude Tijd;;1;;;;;1
de Witte Raaf - Rutger J. van der Gaag R.O.C.;;;;;1;;1
DEHA Haan & Wittmer GMBH;;1;;;;;1
Denios B.V.;;;1;;;;1
Desan Resarch solutions;;;;;;1;1
DiaMed Benelux N.V.;;1;;;;;1
Diversified Biotech b.v. DibBioScience Europe;;1;;;;;1
Dokteranders Jan Fossen;;;;;1;;1
Dr. Franz Köhler Chemie GmbH;;;;;;1;1
DrÃ¤ger Nederland B.V.;;1;1;;;;1
Dynabio S.A.S. Luminy Biotech Entreprises;;1;;;;;1
E.Novation CRM Solutions B.V.;;;;;1;;1
Eijkelkamp Soil & Water B.V.;;1;1;;;;1
Elinex Power Solutions B.V.;;;1;;;;1
ELITechGroup B.V.;;1;;;;;1
Elscolab B.V.;;1;;;;;1
Elsevier Journals Customer Services (Euro);;;;;1;;1
Elycio Talen;;;;;;1;1
Emdamed B.V.;;1;;;;;1
EnableMi B.V.;;;;;1;;1
Endomed B.V.;;1;;;;;1
ENDURES B.V.;;;;;1;;1
Energie Consult Holland B.V.;;;;;1;;1
Entomologie-Speciaalzaak Vermandel V.O.F.;;1;;;;;1
Envico Environment Control B.V.;;;1;;;;1
e-Progress B.V.;;;;;;1;1
EQUALIS AB;1;;;;;;1
Eriks B.V.;;1;;;;;1
ETZ TweeSteden Afdeling Zorgadministratie;1;;;;;;1
EuroMedix P.O.C. N.V.;;1;;;;;1
European Tech. Serv. (ETS);;1;;;;;1
European Veterinary Laboratory (EVL);;1;;;;;1
Euroquality Services;;;;;1;;1
Ex-Ox-Tox;;1;;;;;1
Fachverband Biogas e.V.;;;;;1;;1
Flycatcher Internet Research B.V.;;;;;1;;1
FutureWater;;;;;1;;1
G.R. Instruments B.V.;;1;;;;;1
Gaetano Productions;;;;;1;;1
GC Biotech B.V.;;1;1;;;;1
Gelre Ziekenhuizen Services Holding B.V.;;;;;1;;1
Genscript Biotech (Netherlands) B.V.;1;1;;;;;1
Gentaur Nederland B.V.;;1;;;;;1
Geodan B.V.;;;;1;;;1
Gezondheidsdienst voor Dieren;;1;;;;;1
Glassinstruments;;1;;;;;1
GLNP Medical Devices B.V.;;1;;;;;1
Goudriaan Economics Holding BV;;;;1;;;1
Greater Good;;1;;;;;1
Greiner Bio-One B.V.;;1;;;;;1
Grondboorbedrijf Haitjema B.V.;;;1;;;;1
GS1 Nederland B.V.;;;;;;1;1
HACH;;;1;;;;1
Hangzhou Dangang Biological Techn.;;1;;;;;1
Hanna Instruments;;1;;;;;1
Hartemink Analyse & Advies;;;;;1;;1
HaskoningDHV Nederland B.V.;;;;;1;;1
Helicon Conservation Support B.V.;;1;;;;;1
Henry Schein Animal Health B.V.;;1;;;;;1
Heyl Jupiter OG B.V.;;;;;;1;1
Hobrand B.V.;;;1;;;;1
Hogeschool Rotterdam;;;;;1;;1
Hogeschool Utrecht;;;;;1;;1
Holland Gaas B.V. netting solutions;;1;;;;;1
Homij Technische Installaties B.V.;;;1;;;;1
Hotzone Solutions International B.V.;;1;;;;;1
Immunosource BV;;1;;;;;1
INERIS Developpement SAS;;;;;1;;1
Ingenico e-Commerce Solutions B.V.;;;;;;1;1
Instand e.V.;1;;;;;;1
Instruchemie B.V.;;1;;;;;1
Instrument Solutions Benelux B.V.;;1;;;;;1
Integrated DNA Technologies Germany;;1;;;;;1
Interactive Affairs B.V.;;;;;1;;1
Intergrated DNA Technologies;1;1;;;;;1
IQVIA AG;;;;;;1;1
Ivo Broekhuizen Communicatie B.V.;;;;;;1;1
Izore;;;;;1;;1
Jeol (Europe) B.V.;;1;;;;;1
John Wiley & Sons. Inc.;;;;;1;;1
JPT Peptide Technologies GmbH;;1;;;;;1
KIT Karlsruhe Institute of Technology;;;;1;;;1
KitHub;;1;;;;;1
KLM Equipment Services Hong Kong;;;;;1;;1
Koel en Airco Service KAS;;;1;;;;1
Koninklijke Fabrieken Posthumus B.V.;;1;;;;;1
Kunststofshop B.V.;;1;1;;;;1
KWR Water B.V.;;;;;1;;1
Lab FS;;;1;;;;1
Lab Services B.V. Laboratory Automation Systems;;1;;;;;1
Labair;;;1;;;;1
Labkoo;;1;;;;;1
Laboratory Glass Specialists B.V.;;1;;;;;1
Leak Control Benelux;1;;;;;;1
Leertouwer B.V.;;;1;;;;1
Leica Microsystems B.V.;;1;1;;;;1
LGC Genocmics GmbH;;1;;;;;1
Linde Gas Benelux B.V.;;1;;;;;1
List Biological Laboratories, Inc;;1;;;;;1
Lonza Sales Ltd;;1;1;;;;1
M+P, raadgevende ingenieurs B.V.;;;;;1;;1
Maatschap O & G St. Antonius Ziekenhuis;;;;;1;;1
Maatschap Oogartsen Jeroen Bosch Ziekenhuis;;;;;1;;1
Malvern Medical Developments;;1;;;;;1
Marjan Slob;;;;;1;;1
Marleen van Amersfoort;;;;;1;;1
Mary Anne Liebert, Inc. Publishers;;;;;1;;1
MCS Diagnostics B.V.;;1;;;;;1
Mediaproducts B.V.;;1;;;;;1
Medical University of Vienna;1;;;;;;1
Mediost B.V.;;1;1;;;;1
Medworq Participatie B.V.;;;;;1;;1
Merkwerk Utrecht B.V.;;;;;1;;1
Metrohm Applikon;;1;1;;;;1
MHRA NIBC;;1;;;;;1
MIDI, Inc.;;1;;;;;1
Miele Nederland B.V.;;;1;;;;1
Mindcampus BV v/h WEKA Business Media B.V.;;;;;;1;1
MLS B.V.;;1;;;;;1
Moritz Fuchs Elektronik;;1;;;;;1
MSA Nederland B.V.;;;1;;;;1
Mundo Verde;;;;;;1;1
N.B. tekst & advies;;;;;1;;1
nanoComposix Europe New Media Design s.r.o.;;1;;;;;1
Nationale Dierenapotheek B.V.;;;;;1;;1
NBS Scientific B.V.;;1;;;;;1
Nederland Sales & Service B.V.;;1;;;;;1
Nederlandse Vereniging voor Urologie;;;;;1;;1
NH Utrecht Hotel;;;;;;1;1
NHS Lothian;1;;;;;;1
Noviprint B.V.;;1;;;;;1
NPL Management LTD NANO;;1;;;;;1
NVMM;;;;;1;;1
Ocean & Lake;;;;1;;;1
one2one;;;1;;;;1
Ove Arup & Partners Int. Ltd;;;;;1;;1
Oxford University Press;;;;;1;;1
Palintest Ltd;;1;;;;;1
Palux Service Center;;;1;;;;1
PantaMedia B.V.;;;;;1;;1
Paul-Ehrlich-Instituut;;1;;;;;1
Pe Beleids- en Organisatie Advies;;;;;1;;1
PeproTech EC Ltd;;1;;;;;1
Pepscan Presto B.V.;;1;;;;;1
Phenomenex B.V.;;1;;;;;1
Poel Amsterdam;;;1;;;;1
PostNL Data Solutions B.V.;;;;;;1;1
Premium-Hookahs;;1;;;;;1
ProCare B.V.;;1;1;;;;1
ProHuman B.V.;;;;;;1;1
Promis Electro-Optics B.V.;;;1;;;;1
Prosense B.V.;;1;1;;;;1
Protinus IT B.V.;;1;;;;;1
Public Health England NANO;1;1;;;;;1
Public Health England Sterling (alle vestigingen);;;;;1;;1
Q Delft B.V.;;;;;1;;1
Qlip;;;;;1;;1
Rae Benelux B.V.;;1;1;;;;1
Ravebo Supply B.V.;;;1;;;;1
Rhenus Logistics Datavernietiging;;;;;;1;1
Ring Biotechnology Co. LTD;;1;;;;;1
Rovers Medical Devices B.V.;;1;;;;;1
Rubix B.V.;;;;;;1;1
Safaripark Beekse Bergen Exploitatie B.V.;;;;;;1;1
Sanitas-Water;;;;;1;;1
Sanquin Bloedvoorziening Bloedbank;;1;;;;;1
Sanquin Blood Supply Foundation;;1;;;;;1
Sanquin Concernstaf;;1;;;;;1
Sanquin Diagnostiek B.V. i.o.;1;;;;1;;1
Sartorius Lab Instruments GmbH;;1;;;;;1
Satis;;;;;1;;1
Schiltknecht Messtechnik AG;;;1;;;;1
Schweizerisches Tropeninstitut;1;;;;;;1
Science Business Support;;;;;1;;1
SDX B.V.;;1;;;;;1
Sebia Benelux SCS;;1;;;;;1
SENYA Oy;;1;;;;;1
Shieldmark Zacco BV finaniële administratie;;;;;1;;1
Shimadzu Benelux;;1;1;;;;1
Shuttel B.V.;;;;;;1;1
SiMPLInext SA;;;1;;;;1
SIROSS;;;;;1;;1
Snijders Produktie B.V.;;1;;;;;1
SNTCK;;1;;;;;1
Sopachem B.V.;;1;;;;;1
Soundfocus B.V.;;;;;1;;1
St Beheer Derdengelden Groenendijk & Kloppenburg;;;;;;1;1
St. Derdengelden Van Bladeren c.s. Advocaten te Gr;;;;;;1;1
Stago BNL B.V.;;1;1;;;;1
Steriservice Nederland;;;1;;;;1
Stg. Vr. van het Laurentius Ziekenh. Roermond;1;;;;;;1
Sticht. Certe Medische Diagnostiek en Advies;;;;;1;;1
Sticht. Post Hoger Onderwijs Veiligheidskunde;;;;;1;;1
Stichting Accessibility;;;;;1;;1
Stichting Achmea Rechtsbijstand;;;;;;1;1
Stichting Administratiekantoor Kropman;;1;1;;;;1
Stichting Beheer Derdengelden Meiroos Advocaten;;;;;;1;1
Stichting Dutch Hospital Data;;;;;1;;1
Stichting Gynaecongres;;;;;1;;1
Stichting IHE Delft;;;;;1;;1
Stichting Kijkonderzoek;;;;1;;;1
Stichting Kwaliteitsbewaking Ziekenhuislaboratoria;1;;;;1;;1
Stichting Nationaal MS Fonds;;;;;;1;1
Stichting ODA Advies;;;;;;1;1
Stichting Onderzoek Medisch Centrum Alkmaar;;;;;1;;1
Stichting PAMM Laboratorium voor Pathologie;;;;;1;;1
Stichting Soundtrackcities;;;;;1;;1
Stichting Sphinx;;;;;1;;1
stichting star-shl zakelijk;;;;;1;;1
Stichting VeiligheidNL;;;;;1;;1
Stichting VZZ zoogdiervereniging;;;;;1;;1
Stiftung fur Pathobiochemie und Molekulare Diagnostik;1;;;;;;1
Stockholm University;;;;;1;;1
Stroomt Holding B.V.;;;;;1;;1
Sumo Den Haag II B.V.;;;;;;1;1
T&T Compet&t.b.v.;;;;;;1;1
T. Fast Advies;;;;;1;;1
Tabula Rasa B.V.;;;;;1;;1
Takara Bio Europe SAS;;1;;;;;1
Taylor & Francis Books Ltd.;;;;;1;;1
Tecan Benelux B.V.B.A.;;;1;;;;1
Technolution B.V.;;;;;1;;1
Tempo-Team Resource B.V.;;;;;;1;1
Testo;;1;1;;;;1
The University of Birmingham;1;;;;;;1
Thermo Onix Ltd.;;;1;;;;1
Toxikonsult;;;;;1;;1
Toxin Technology, Inc.;;1;;;;;1
Tpf Control B.V.;;;1;;;;1
Transposafe Systems;;;;;;1;1
Trimbos Instituut;;;;;1;;1
Triskem International SAS;;1;;;;;1
Tritium Microbiologie B.V.;;1;;;;;1
Tromp Medical B.V.;;1;;;;;1
Twynstra Gudde Mobiliteit & Infrastruct. B.V.;;;;;1;;1
U-Cytech B.V.;;1;;;;;1
UniCarriers Netherlands Service B.V.;;;1;;;;1
United Nations University;;;;;1;;1
Uno;;1;;;;;1
