;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9600 - VWS specifiek;Eindtotaal
AB Sciex EDC B.V.;;;2;;;;;2
Abbott B.V.;;1;;;;;;1
ABC finance - Maxilia;;;;;;1;;1
acdegroot publishing;;;;;1;;;1
ACTALIA Technopole Alimentec;;;;;1;;;1
AD eco advies;;;;;2;;;2
Addgene, Inc.;;1;;;;;;1
Adviesbureau Planplan;;;;;;1;;1
AfterPay;;;;;;1;;1
Agilent Technologies Netherlands B.V.;;1;3;;;;;3
AID Diagnostika GmbH;;1;;;;;;1
Air Quality Monitoring Consultancy;;;;;2;;;2
AJ Vaccines A/S;;;;;;;4;4
Akzo Nobel N.V.;;;;;1;;;1
All Modul B.V.;;;1;;;;;1
Alliance Healthcare;;2;;;;;;2
AL-West B.V.;2;;;;;;;2
Ameco Adviesgroep Milieubeleid B.V.;;;;;2;;;2
Animal & Plant Heath Agency;1;;;;;;;1
Antea Nederland B.V.;;;;;2;;;2
Anthos Labtec B.V.;;;1;;;;;1
Antibodies-online GmbH;;1;;;;;;1
ANWB Rijopleiding (voor alle vestigingen);;;1;;;;;1
ANWB-Rijopleiding;;;1;;;;;1
Apotheek Planetenbaan;;1;;;;;;1
Applied Maths NV;1;;;;;;;1
Arentshorst Onderzoek Ontwerp & Advies;;;;;1;;;1
Arrayjet Corporation Ltd.;;;2;;;;;2
Arvansys B.V.;;1;;;;;;1
Asogem Nederland;;1;;;;;;1
Atal B.V.;;1;;;;;;1
Avantes B.V.;;;1;;;;;1
Aviv B.V.;;;;;3;;;3
AW-ChemAdvice;;;;;2;;;2
B. Braun Medical B.V.;;1;;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;2;1;;;;;2
Balis Micro B.V.;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;;;1;;1
BaseClear B.V.;6;2;;;;;;6
Basegene B.V. a BaseClear company;1;;;;;;;1
BeBright Consultancy B.V.;;;;;2;;;2
Beckman Coulter Nederland B.V.;;2;1;;;;;2
Becton Dickinson;;4;5;;;;;5
Beldico B.V.;;1;;;;;;1
Beleving aan zee;;;;;;1;;1
Belimed B.V.;;;1;;;;;1
Berenschot B.V.;;;;;1;;;1
