Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
!JES jij en scheiden;;;;;1;;;1
.bos Ontwikkeling en Organisatie;;;;;1;;;1
@Groenewegen;;;;;1;;;1
@Nieuwkuijk B.V.;;;;;;;1;1
@WORK Personeelsdiensten B.V.;;;;;;;1;1
123boekingen.nl;;;1;;;;;1
1e Klas' Grand Café Restaurant;;;;;;;1;1
2 Behave;;;;;2;;;2
2 Know How;;;1;;2;;;2
21 The Netherlands;;;1;;;;;1
2HG;;;1;;;;;1
2RIDE;;;1;;;;;1
2tact B.V.;;;1;;1;;;1
3 Keuken & Bar B.V.;;;1;;;;;1
3DMens;;;1;;2;;;2
3K Horeca B.V.;;;;;;;1;1
3M Nederland B.V.;;;;;1;;;1
4 Seasons Events;;;1;;;;;1
44 Coaching&Training;;;;;1;;;1
4D organisatieontwikkeling & opleiding;;;;;1;;;1
4DotNet B.V.;;;;;2;;;2
4MZ;;;;;2;;;2
4now training;;;;;1;;;1
5 broden 2 vissen;;;1;;;;1;1
5hart-IT Opleidingen B.V.;;;;;4;;;4
7AM Den Haag B.V.;;;1;;1;;;1
8D Games;;;;;2;;;2
9C Coaching;;;;;;;1;1
A & P Investments B.V.;;;2;1;1;1;1;2
A C Kenniscentrum;;;;;;;1;1
A van O B.V.;;;1;;;;;1
A*Life B.V.;;;1;;;;;1
A-. en J. Luitjens B.V.;;;1;;;;;1
A. Langeveld V.O.F.;;;1;;;;;1
A. Rietveld Boekbinderij;;;1;;;;;1
A. Tufi t.h.o.d.n. Supervlaai;;;1;;;;1;1
A. v. Huijstee-de Mildt Opl., Train. & Advies;;;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;;2;;;;;2
A.B. van Vugt V.O.F.;;;;;;;1;1
A.C.M. Kleinsman, Psychiater;;;;;;;1;1
A.J. Klumpenaar;;;;;1;;2;2
A.J.M. Montage;;;;;;;1;1
A.R.L. Desmedt h.o.d.n. Bakkerij Bart;;;1;;;;;1
A.T. Scholte;;;;;;;1;1
A.Witvliet;;;;;;;1;1
A.X. Rutten, psych., gerecht. deskund. NIFP;;;;;;;1;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;1;1
A1-City B.V.;;;1;;;1;1;1
A3: Admirals Autonomous Advice;;;1;;;;;1
a4 Training;;;;;2;;;2
AAAA A'dam Adri Avont.& Architectuurrondleid.;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;;;1;;;;;1
Aagje 1 B.V.;;;;;1;;;1
Aalders Wassalon/Stomerij;;;1;;;;;1
Aan de Gaag;;;;;;;1;1
Aandacht;;;1;;;;;1
Aandacht & Compassie Amersfoort;;;;;1;;;1
Aardoom & De Jong B.V.;;;;2;;;;2
Aaron A. de Haas Training B.V.;;;1;;2;;;2
