Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
3M Nederland B.V.;;;;;;6;;;6
ABC Media;1;;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;;1;;5;;;5
Acal Technology Netherlands;;;;;;4;;;4
AESC B.V.;;;;;;1;;;1
Allegion B.V.;;;;;;2;;;2
Altec Industriële Identificatie;;1;;;;;;;1
Anoniem_DEF_127;;1;;;;;;;1
Anoniem_DEF_135;;1;;;;;;;1
Anoniem_DEF_156;;1;;;;;;;1
Anoniem_DEF_282;;;;;;;1;;1
Anoniem_DEF_286;;;;;;;1;;1
Anoniem_DEF_316;;1;;;;;;;1
Anoniem_DEF_409;;1;;;;;;;1
Anoniem_DEF_416;5;3;5;1;;4;10;;10
Anoniem_DEF_428;;;;;;2;6;;6
Anoniem_DEF_441;;;;;;;6;;6
Anoniem_DEF_480;;;;3;;7;;5;7
Anoniem_DEF_507;;;;;;;;2;2
Anoniem_DEF_519;;;;5;;6;;;7
Anoniem_DEF_535;;;;;;8;;;8
Anoniem_DEF_578;;;;;;;;2;2
Anoniem_DEF_657;;;;;;7;;;7
Anoniem_DEF_694;;;;;;;1;;1
Anoniem_DEF_746;;;;;;;;1;1
Anoniem_DEF_839;;1;;;;;;;1
Anoniem_DEF_935;;;;;;1;;;1
Anoniem_DEF_968;;;;;;6;;2;6
Apox B.V.;;;;;;4;;;4
Avensus Nederland B.V.;;;;;;2;;;2
B.V. Algemeen Nederlands Persbureau ANP;;;;;;2;;;2
B.V. Korthofah;;1;;;;;;;1
Baby Plus B.V.;;1;;;;;;;1
Bax-shop.nl B.V.;;1;;;;;;;1
BD Containers B.V.;;;;;;1;;;1
Beat It B.V.;;3;2;;;2;;;4
Bechtle direct B.V.;;2;;;;2;7;;7
BeeDirect B.V.;;;;1;;4;;2;4
Bemet International B.V.;;;;;;2;;;2
Ben Box Metaal B.V.;;;;;;3;;;3
BenN B.V.;;;;;;;1;;1
Between Staffing Nederland B.V.;;;;;;;;2;2
Bever B.V.;;1;;;;;;;1
Black Box International B.V.;;1;1;;;;;;1
Brandsma B.V.;;;;;;1;;;1
BSI Group The Netherlands B.V.;;;;;;1;;;1
Cadmes;;;;;;1;;;1
CameraNU.nl;;1;;;;;;;1
Casper B.V.;;;;;;2;;;2
Clearing House Apothekers B.V.;;;;;;2;;;2
Color Wood Photo B.V.;;1;;;;;;;1
Computer Business Applications B.V.;1;;;;;;;;1
Consolit B.V.;;;;;;2;;;2
Coolblue B.V.;1;1;;;;;;;1
Cosanta B.V.;;;;1;;3;;;3
CyberWijzer;;1;;;;;;;1
DatAction;;6;;;;2;;;6
Deal It;;;;;;3;;;3
Dell Benelux Call Centre;;6;;;;;;;6
DELTA Comfort B.V.;;;;;;;1;;1
