Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
A.J.C. Hazenberg KNO-arts B.V.;;1;;;;1
ABC Incasso B.V.;1;;;;;1
Academisch Medisch Centrum;4;1;;;;4
Academisch Ziekenhuis Maastricht;;1;;;;1
Accare Deventer;;1;;;;1
Ad Simonse Personeels & Organisatie-Advies;1;;;;;1
Admiraal de Ruyter Ziekenhuis;;1;;;;1
AdW Huisarts;;1;;;;1
Altrecht;;1;;;;1
Altrecht Aventurijn B.V.;;1;;;;1
AMC B.V.;;1;;;;1
Amphia locatie Molengracht;;1;;;;1
Andersson Elffers Felix;;;2;;;2
Anesthesiologie en Pijnbestrijding Emmen B.V.;;1;;;;1
APE Public Economics B.V.;;;2;;;2
Apotheekhoudende huisartsenpraktijk Jaspers;;1;;;;1
A-Rea Artsen en Arbeidsdeskundigen B.V.;;1;;;;1
Artsenmaatschap Therapeuticum Aurum;;1;;;;1
Atif Medical;;1;;;;1
B.V. Staafjes en Kegeltjes Instituut;;1;;;;1
Baker Tilly Berk Eindhoven;;;;;1;1
BKB;;;2;;;2
Boddeus, Cornelissen en Van Stekele;;1;;;;1
Borgman, A.E. huisarts;;1;;;;1
Brule, J.H.W.M. van den (huisarts);;1;;;;1
Brunel Nederland B.V.;;;;7;;7
Bureau Beke;;;3;;;3
Bureautaal B.V.;;1;;;;1
C.D. van Leeuwen, huisarts;;1;;;;1
Cardiologen Maatschap Rijnmond-Zuid;;1;;;;1
Cardiologie Treant BV;;1;;;;1
Catharina Ziekenhuis;;1;;;;1
Cathreine B.V.;;1;;;;1
CCZD B.V.;;1;;;;1
Centraal Bureau Tactus;;1;;;;1
Centrum '45;;1;;;;1
CIRO+ B.V.;;1;;;;1
Conquaestor B.V.;;;;;2;2
Considerati B.V.;;;3;;;3
Coöp. Adv.centr. Besch. Vit. Infrastruct. UA;;;3;;;3
Coöp. Med. Specialist. Bedr. St. Anna Z.g. UA;;1;;;;1
Coop. Medici Oogzorg Rotterdam;;1;;;;1
Coöp. Medisch Specialist. Bedr. Franciscus UA;;1;;;;1
Coöp. Medisch Specialist. Bedrijf - Amphia UA;;1;;;;1
Coöp. Vereniging Huisartsenprakt. Esghir UA;;1;;;;1
Cooperatie Anesthesiologen Weert UA;;1;;;;1
Coöperatie Centrum Hap 'In de Leonardus' UA;;1;;;;1
Coöperatie Orthopedie Groot Eindhoven UA;;1;;;;1
Coöperatief Medisch Specialisten Rijnstate UA;;1;;;;1
Coöperatief MSB Alrijne UA;;1;;;;1
Coöperatief MSB Meander Medisch Centrum UA;;1;;;;1
Custodia Group Holland;;;2;;;2
De Bossche Specialisten Coöperatie UA;;1;;;;1
De Doc Huisartsen;;1;;;;1
De Heel ZMC;;1;;;;1
De Limmer Huisartsen;;1;;;;1
De Notenboom;;1;;;;1
De Ruijter en Vogelzang;;1;;;;1
De Schans;;1;;;;1
Delfzicht;;1;;;;1
Deloitte Belastingadviseurs B.V.;;;;;1;1
Deloitte Consulting B.V.;;;;;3;3
Dennenoord;;1;;;;1
Deventer Research Centre;;1;;;;1
