Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
&Samhoud;;;;3;;;;3
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);5;;1;1;;;;5
5 Hart It Oracle Experts Opleidingen;;;;1;;;;1
7Am;;1;;1;;;1;2
Aaaaha! The Actor Factory;;1;;1;;;;1
Aanmelder.nl;;;;1;;;;1
Aarten Management & Consultancy;2;;;;;;;2
AB AZ Student Chauffeur;;;;;;;1;1
ABSG Accreditatie Bureau Sociale Geneeskunde;;;;1;;;;1
Academia Symposion;;;;1;;;;1
Academie voor Coaching;;;;1;;;;1
Academie Voor Medezeggenschap;;;;1;;;;1
Academisch Genootschap;;1;;;;;;1
Accenture;;;;2;;;;2
Accountor Group;;1;;;;;;1
ACTA Academisch Centrum Tandheelkunde Amsterdam;;;;1;;;;1
Acting-Out;;1;;;;;;1
Actio Legal;1;;;;;;;1
Active Medical Check;;;;1;;;;1
Actiz;;;;1;;;;1
Adiantar Healthcare Concepting;;;;1;;;;1
Adlib Gebruikersgroep;;;;;;1;;1
AIM Consult BV;4;;;;;;;4
Ai-Opener;;;;1;;;;1
Albert Heijn (incl. albert.nl);;1;;;;;;1
Albron Catering;;5;;;;;;5
Alexander Hotel;;;;;;;1;1
Alexander Restaurant;;1;;;;;;1
Alysis Maatschap Longartsen;;;;;;;1;1
Amazing Bread Company (incl. Mammomi);;2;;;;;;2
AMI Consultancy;;;;2;;;;2
Amrath Hotel;;;;;;;1;1
AMSTERDAM CITY WALKS;;1;;;;;;1
Amsterdam Hospitality Company;;1;;;;;;1
Amsterdam Institute of Finance;;;;2;;;;2
Anak Dèpok Indonesisch Restaurant;;1;;;;;;1
Ananta Opleidingen;;;;1;;;;1
Andermanskeuken;;1;;;;;;1
ANDRE FUN THERAPIE EN RELATIETHERAPIE;;;;1;;;;1
Anggrek Bloemsierkunst;;1;;;;;;1
Anke Nobel illustraties;1;;;;;;;1
Anne De Vette & Co;;;;1;;;;1
Aob Compaz;1;;1;;;;;1
AOG Contractonderwijs (incl. Academie voor Management);;;;2;;;;2
Aqua Flor Bloembinders;;1;;;;;;1
Ardis Management Development;1;;;5;;;;5
Aristo Holding;;1;;;;;1;1
Arjan Mulder Advies;2;;;;;;;2
Arko Sports Media;;1;;1;;;;1
Arnold & Siedma;2;;;;;;;2
Ars Ligandi Handboekbinderij Boekrestauratie;;1;;;;;;1
Art of Growing;;1;;;;;;1
Artiestenverloningen;;1;;;;;;1
Artihove;;1;;;;;;1
Ascent Safety;;;;1;;;;1
Asito;;2;;;;;;2
Athene Palace Grieks Restaurant;;1;;;1;;;1
Athlon Car Lease;;;;;;;1;1
Atim Adviesbureau;;;;2;;;;2
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;1;;;;;;1
Attentio;;1;;;;;;1
Avans;;;;1;;;;1
Avanza Advies;;;;1;;;;1
Avd Promotions.nl;;1;;;;;;1
AVIV Adviesgroep;3;;;;;;;3
B+B Vakmedianet;;;;1;;;;1
B2B Productions;;;;1;;;;1
Baars Bloembinders;;1;;;;;;1
Babbilage Restaurant-Brasserij;;1;;;;;;1
Backshop;1;;;;;;;1
Bakker & Schnabel Training;;;;1;;;;1
Bakkerij Aad De Groot;;1;;;;;;1
Bakkerij Bart;;1;;;;;;1
Balabanova;;;;1;;;;1
Balans & Impuls;1;;;;;;;1
Ballonnenservice.nl;;1;;;;;;1
Banketbakkerij Boheemen;;1;;;;;;1
Banketbakkerij Maison Kelder;;1;;;;;;1
Banketbakkerij Theo Blom;;1;;;;;;1
Banketbakkerij van Ingen;;1;;;;;;1
Bar Italia;;1;;;;;;1
Barbarossa;;1;;;;;;1
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;1;;;;;;1
Bartimeus (incl. Stichting Bartiméus Accessibility);1;;;;;;;1
Bastion Hotels;;;;;;;1;1
BATON RENTALS & FINANCE BV;;1;;;;;;1
Beachclub De Karavaan;;;;;1;;1;1
Beauty Bureau;;;;1;;;;1
Beautypartner;;1;;;;;;1
Beenhakkers Slagwerk;;1;;;;;;1
Belimed;;;;1;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);3;;;4;;;;4
Berghauser Pont;;;;1;;;;1
Berlage Brasserie;;1;;;;;;1
Besseling Vervoert;;;;;;;1;1
Best Western Hotels;;;;;;;1;1
Beter Evenementen;;;;1;;;;1
BEYOND PSYCHOTHERAPIE;;;;1;;;;1
Bezemer & Kuiper;;;;1;;;;1
BGL Partners;;;;1;;;;1
Bhv Competent;;;;1;;;;1
Bhv.nl Bedrijfshulpverlening;;;;1;;;;1
Big Fellows;;;;1;;;;1
Biga Groep (Sociale Werkgroep);;;;1;;;;1
Bijzonder Strafrecht;;;;1;;;;1
Bijzondermooi;;1;;;;;;1
Bilderberg Hotels;;1;;;;;1;1
Bistro Bord'o;;1;;;;;;1
Bizz Design;;;;1;;;;1
Bloemberg Advies;;;;1;;;;1
Bloemendal Hotel Kasteel;;;;1;;;;1
Bloemenhuis Jan Schuiten;;1;;;;;;1
Blomberg Congres Instituut;;;;1;;;;1
Blooming Trainingsbureau;;;;1;;;;1
Blossom Bloemisterij;;1;;;;;;1
