ID,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NAAM,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,BEWEEGBAAR,PUIC,WEGNAAM
6064852,,,,,,,,,,,,,,,,102746.331,426901.998167,51.8282709670293,4.62917812005841,,,,Hendrik-Ido-Ambacht,G0531,bestaand,,19.254,283,1,gerealiseerd,2015/05/08 14:39:06+00,Nee,2dc9e5b59aaa4c8b83fd4eeef31af978,
6064866,,,,,,,,,,,,,,,,256688.574188,595110.6195,53.3327202424645,6.91366318329243,,,,Eemsdelta,G1979,bestaand,,199.928,283,1,gerealiseerd,2021/01/12 14:26:32+00,Nee,cf9dcc1bad1e4a60bc320bcbdbbea96d,
6064879,,,,,,,,,,,,,,,,83031.184665,454716.401,52.0760435473225,4.33738852204047,,,,'s-Gravenhage,G0518,bestaand,,451.322,283,1,gerealiseerd,2015/10/19 12:23:27+00,Nee,2057af346650c1fee053530a0b0aca32,
6064886,,,,,,,,,,,,,,,,92739.854343,463859.8095,52.1593925195134,4.47731948248117,,,,Leiden,G0546,bestaand,,29.02,283,1,gerealiseerd,2020/01/24 10:30:16+00,Nee,771c0dd686824574a6e2afacdebee9e7,
6064897,,,,,,,,,,,,,,,,92742.461,463854.254979,52.1593428947736,4.47735858989086,,,,Leiden,G0546,bestaand,,78.429,283,1,gerealiseerd,2020/01/24 10:30:16+00,Nee,873ec53d8a1d47888fe76ee5a876f0f6,
6064939,803,h,803,803_h,Delfzijl Stamlijn Havenschap,Dz-Dzsh,Delfzijl - Delfzijl Stamlijn Havenschap ,101.376249,"101,376249",Noord-Oost,NO,Groningen,37,KUNSTWERKEN,Wadden,257693.6295,594336.95839,53.325578346831,6.92849624038605,KUNSTWERKEN,Noord-Oost,NO,Eemsdelta,G1979,bestaand,,1289.084,283,1,gerealiseerd,2021/04/14 14:34:12+00,Nee,328db0c9d35d4acf9ed0d7f156f0bab9,
6064975,,,,,,,,,,,,,,,,239932.13336,577823.248,53.1803472550025,6.65761907646996,,,,Waterschap Hunze en Aa's,W0646,bestaand,,72.786,283,1,gerealiseerd,2019/07/02 08:26:37+00,Nee,3faec3c656b617fee053660013ace0b7,
6064982,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",12.922299,"12,922299",Randstad Zuid,RZ,Europoort,4,KUNSTWERKEN,Zee-Zevenaar,84124.1185,432548.399611,51.8769607803162,4.3579094851144,KUNSTWERKEN,Randstad Zuid,RZ,Rotterdam,G0599,bestaand,,213.094,283,1,gerealiseerd,2015/07/17 14:36:55+00,Nee,c105ee98a4be4f4daa7ce10742d2d13c,
6064993,201,,201,201__,Sauwerd - Delfzijl,Gn-Dz,Groningen - Delfzijl ,30.249005,"30,249005",Noord-Oost,NO,Groningen,37,KUNSTWERKEN,Wadden,249895.0655,594635.266125,53.3297014276054,6.81157567130075,KUNSTWERKEN,Noord-Oost,NO,Eemsdelta,G1979,bestaand,,52.989,283,1,gerealiseerd,2021/11/04 12:22:12+00,Nee,5138fe0af87147a29d6c086041557d0e,
6065038,,,,,,,,,,,,,,,,94120.078,473339.269543,52.2447379753199,4.49578585234784,,,,Zuid-Holland,P0028,bestaand,,156.894,283,1,gerealiseerd,2015/09/07 10:39:39+00,Nee,6ea36490bb384caba9382679b8b9e611,
6065054,,,,,,,,,,,,,,,,92746.451869,463845.733,52.1592667574419,4.47741846758736,,,,Leiden,G0546,bestaand,,26.25,283,1,gerealiseerd,2018/08/20 09:45:07+00,Nee,00424fa442ad478780f236239c1999cf,
