Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
&Maes;;;;;;;;1;;1
(FAILLISSEMENT) Sercon Foodtec B.V.;;;;1;;;;;;1
(NIET GEBRUIKEN) Bistro d'Ouwe Leeu;;;;;;;;1;;1
(NIET GEBRUIKEN) IBA Silk Screen Pr;;;;;;;;3;;3
(NIET GEBRUIKEN) K.I.V.O.;;1;;;;;;;;1
[S]Color;;;;;;;;1;;1
3M;;1;;;;;;1;;2
6X International;;;;;;;;1;;1
7Am;;;;;;;;1;;1
A. Dubois & Zonen vof;;1;;;;;;;;1
A. Hak West;;;;;;;;1;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;;;;;;;1;;1
A.J. Klein Technische Handelsonderneming & Adviesbureau;;;;;;;;1;;1
A.J. van der Linde BV;;;;;;;;1;;1
A.P.S.  (Aviation Patch Supplies);;1;;;;;;2;;2
AAF International;;;;;;;;1;;1
Aap Klimsportspecialist;;;;;;;;1;;1
Aata International;;;;;;;;1;;1
ABB;;;;;;;;1;;1
Aberkrom Service & Onderhoud Grafische Afwerking;;;;;;;;1;;1
Abiom;;;;;;;;1;;1
About Flowers;;;;;;;;1;;1
Abtronix;;;;;;;;2;;2
Acal BFI Nederland (vh BFi Optilas);;;;;;;;1;;1
Acco Brands (incl. GBC);;;;;;;;1;;1
Accres Apeldoorn;;;1;;;;;2;;2
ACD Shelter Techniek, Productie;;;;;;;;1;;1
Aces Direct (incl. Take It Now, Rackserver, Sessence);;;;;;;;1;;1
Acess Benelux;;;;;;;;1;;1
Actemium / Industrial Solutions Zuid Oost;;;;;;;;1;;1
Adams Orthopedische Schoentechnieke;;;;;;;;1;;1
Adecco Group (incl. Ajilon, Ajilon TTP, vh DNC);1;;;;;;;2;;2
Adiform;;;;;;;1;1;;1
ADO Hospitality & Events;1;;;;;;;;;1
Adola B.V.;;;;;;;;3;;3
AD-s & Co;;;;;;;;1;;1
Adventure King;;;;;;;;1;;1
AEG Eurolec;;;;;;;;1;;1
AGS Holland;;;;;;;;1;;1
AH-Boonstra;;;;;;;;1;;1
AIM Nederland;;;;;;;;1;;1
A-Industries B.V.;;;;;;;;1;;1
Air Liquide;;;;;;;;1;;1
Air Products Nederland;;;;;;;;1;;1
Airborne Museum;1;;;;;;;;;1
Airlet Continental BV;;;;;;;;2;;2
Akaha Nederland;;;;;;;;2;;2
AKB Bert Muller;;;;;;;;1;;1
Akkermans Infra;;;;;;;;1;;1
Aktiviteitenpark De Wilgenweard;;;;;;;;1;;1
Alberto Design;;;;;;;;2;;2
Albron Catering;;;;;;;;3;;3
Albyco;;;;1;;;;1;;1
Alert Management Consultants;;;;;;;1;;;1
Alfen;;;;;;;;1;;1
Al-Ko Kober B.V.;;;;1;;;;1;;1
All in Verhuur;;;;;;;;1;;1
All Risk;;;;;;;;1;;1
Allekabels;;;;;;;1;;;1
Allpa B.V.;;;;;;;;1;;1
Almelose Borstelindustrie;;;;;;;;1;;1
Altec Industriele Identificatie;;;;;;;;1;;1
Alteco Europe;;;;;;;;1;;1
Alternate;;;;;;;1;;;1
Altheris;;;1;;;;;;;1
Altrex;;;;;;;;1;;1
Amadore Hotels en Restaurants;;;;;;;;1;;1
Amarant;;;;;;;;3;;3
Ambutraining;;1;;;;;;;;1
Amero Compressoren;;;;;;;;1;;1
Amigo Produkties;;;;;;;;1;;1
Amstel Graphics;;;;;;;;1;;1
Amstelland Car Cleaning;;;;;;;;1;;1
Amsterdam Airport Schiphol;;;;4;;;;;;4
Analytical Solutions and Products;;;;;;;;1;;1
Andijk Scheepstechniek V.O.F.;;;;;;;;1;;1
Anette Brolenius Photography;;;;;;;;1;;1
Animo;;;;;;;;1;;1
Annehiel Rondhoutverwerking;;;;;;;;1;;1
Annelous van Toor Fotografie;;;;;;;;1;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;;;;1;;1
Anticimex (vh ISS Hygiene Services);;;1;;;;;;;1
Antonides;;;;;;;;1;;1
Apenheul;;;;;;;;1;;1
Apetito;;;;;;;;1;;1
Apex High Security;;;;;;;;3;;3
Aqua Mister (Aqua Active);;;;;;;1;;;1
Aquajogging De Buffel;;;;;;;;1;;1
AR Benelux;;;;;;;;1;;1
Aramex;;;;3;;;;;;3
Arca Printersupplies B.V.;;;;;;;;1;;1
ARLE Applied Research Laboratory Europe;;;;;;;;5;;5
Art of Events;;;;;;;;1;;1
Artihove;;;;;;;;1;;1
Arts Sportiek B.V.;;;;;;;;1;;1
Asfra;;;;;;;1;;;1
Asito;;;5;;;;;;;5
Askove Kunststof Industrie B.V.;;;;;;;;1;;1
Astrid Sportprijzen;;;;;;;;1;;1
Atal Meettechniek;;;;;;;;1;;1
Atelier van Kedoes;;;;;;;;1;;1
Athlon Car Lease;;;;7;;;;;;7
Atlas Copco;;;;;;;;1;;1
Auberge De Rousch;;;;;;;;1;;1
Audio Witgoed;;;;1;;;;;;1
Audion Elektro;;;;;;;;1;;1
Autajon Labels;;;;1;;;;;;1
Autec Hefbruggen;;;;;;;;1;;1
Autobedrijf A.G. Verbeek;;;;;;;1;;;1
Autobedrijf van Veen;;;;1;;;;;;1
Autodemontagebedrijf De Toekomst;;1;;;;;;;;1
Automatic Electric Europe B.V.;;;;;;;;1;;1
Automator;;;;;;;;1;;1
Automotive Equipment Security LTD;;;;;;;;1;;1
AutoRent Groep;;;;2;;;;;;2
Autosloperij Van den Bliek V.O.F.;;1;;;;;;;;1
Autoverhuur Bultman;;;;;;;;1;;1
Avantius.nl;;;;;;;1;;;1
Avcommit;;;;;;;;1;;1
Avex;;;1;;;;1;;;1
Aviquipo Holland B.V.;;;;;;;;2;;2
Avon Protection Systems;;;;;;;;5;;5
AVR-AVIRA;;;2;;;;;;;2
AVRI Bloem- en Tuincentrum B.V.;;;;;;;1;;;1
Axxicom Airport Caddy;;;;1;;;;;;1
B&G Catering Service;1;;;;;;;;;1
B&S Autoaanpassing en Research;;;;;;;;1;;1
B.V. Metaalwarenfabriek Umefa;;;;;;;;1;;1
B.V. Mytri;;;;;;;;1;;1
B.V. Uitgeverij De Bataafsche Leeuw;;;;;;;;2;;2
B55 Promotionele Artikelen;;;;;;;;1;;1
Backshop;;;;;;1;;1;;1
Badcare.nl;;;;;;;;1;;1
Bakker Handels- en Ingenieursbureau;;;;;;;;1;;1
Bakkerij Alkemade;1;;;;;;;;;1
Bakkerij Bart;1;;;;;;;;;1
Bakkerij Bos;;;;;;;;1;;1
Ballorig Den Helder;;;;;;;;1;;1
Balluff B.V.;;;;;;;;1;;1
Banketbakkerij Jan De Groot;1;;;;;;;;;1
BAS Truck;;;;1;;;;;;1
Bastion Hotels;;;;;;;1;1;;1
Batavus;;;;1;;;;1;;1
Batterij Import Nederland;;;;;;;1;;;1
Bavaria (Extinguisher);2;;;;;;1;;;2
Bax-Shop.nl;;;;;;;1;;;1
BB Office & Ergonomics;;;;;;1;1;1;;1
BCC Electro-Speciaalzaken;;;;;;;;1;;1
BCD Travel;;;;8;;;1;4;;8
BCK Holland B.V.;;;;;;;;1;;1
Bclean2.com Nederland B.V.;;;1;;;;;1;;1
BCU - Bergings Combinatie Utrecht;;;;3;;;;;;3
BDS Borsch Duikservice;;;;;;;;1;;1
Beauty V.o.F;;;;;;;;1;;1
Beauvert kunstflora;;;;;;;1;1;;1
Becton Dickinson;;;;;;;;1;;1
Beglobal;;;;;;;;1;;1
Beko Bakkerij Techniek;;;;;;;;1;;1
BEM Benzinestations Exploitatie Maatschappij;;;;;;;;1;;1
BEMA Kunststoffen B.V.;;;;1;;;;1;;2
Berendsen Textiel Service;;;;1;;;;1;;1
Bergh Brandkasten;;;;;;;;1;;1
Berlage Design;;;;;;;1;1;;1
Besbo Automaterialen;;;;1;;;;;;1
Besseling Vervoert;;;;1;;;;;;1
Besthoma Trading International;;;;;;;;1;;1
Bestolux B.V.;;;;;;;;4;;4
Betam Truck & Carwash;;;;1;;;;;;1
Beter Horen;;;;;;;;1;;1
Beuk Horeca;;;1;;;;1;;;1
Bever Zwerfsport;;;;;;;;2;;2
Bewin;;;;1;;;;;;1
Biardo Survival Suits;;;;;;;;2;;2
Biblionet;;;;;;;1;;;1
Biella Benelux;;;;;;;;1;;1
Biesheuvel Groep;;;;;;;;2;;2
Biga Groep (Sociale Werkgroep);;;;;;;;5;;5
Biggymanskleding;;;;;;;;1;;1
Bilderberg Hotels;1;;;;;;;1;;1
Billink;;;;;;;1;;;1
Binnen Grand Café-Restaurant;;;;;;;;1;;1
Birdland International B.V.;;;;;;;;3;;3
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);;;1;;;;1;1;;1
Bistro d'Ouwe Leeuw;1;;;;;;;1;;1
BJU Boom Juridische Uitgevers (incl. Sun);;;;;;;;3;;3
Black Box;;;;;;;;1;;1
Blanken Controls;;;;;;;;1;;1
Blickle Wielen;;;;;;;1;;;1
Bliss Hotel;;;;;;;;1;;1
Bloembinderij Cees van Eijck;;;;;;;;1;;1
Bloemen & Planten H. van Oest;;;1;;;;1;1;;1
Bloemen- en Plantenhandel Van Belze;;;;;;;;1;;1
Bloemenboutique Nicole;1;;;;;;;1;;1
Bloemenmagazijn Aan De Zeven Alleetjes;;;;;;;;1;;1
Bloemsierkunst Anneke Kapteyn;;;;;;;;1;;1
Bloemsierkunst Beimer V.O.F.;;;;;;;;1;;1
Bloemsierkunst De Klerk;;;;;;;;1;;1
Bloemsierkunst Irma Vissers;;;;;;;;1;;1
Bloom Horeca Slijperij;;;;;;;1;;;1
Blooming Art;;;;;;;;1;;1
Bn De Stem;;;;;;;;1;;1
Bobbe Abonnementen;;;;;;;;4;;4
Boels Verhuur (incl. HuurMax);1;;;;;;1;1;;1
Boerhof Projectinrichting Heeten;;1;;;;;;2;;2
Bokstijn Feestartikelen;;;;;;;;1;;1
