Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
&Talent;;;;;;1;;;;1
2 Facilitate 4 Best Results;;;;;;1;;;;1
2 Tact Theaterbureau;;;;;;2;;;;2
2Byte;;;;1;;;;;;1
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);;;4;;;1;;;;4
4foarút;;;;;;;1;;;1
5 Hart It Oracle Experts Opleidingen;;;;;;1;;;;1
7Am;;;;;;1;;;1;1
Aaaaha! The Actor Factory;;;1;1;;;;;;1
About Flowers;;;;1;;;;;;1
Abrona Hotel-Restaurant;;;;1;;;1;;;1
Absoluta Food and Facilities;;;1;1;;;;;;1
Acanthus Bloemen;;;;1;;;;;;1
Accor Hotel Operator;;;;;;;;;1;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;;1;;;;;;1
ACS Auditing & Consulting Services;;;;;;1;;;;1
Acte De Presence;;;;;;2;;;;2
Ad Bergsma;;;;;;1;;;;1
Ad Hosman Bloemsierkunst;;;;1;;;;;;1
Advocatenkantoor Kranendonk;;;;;;;;1;;1
Agile Consortium;;;;;;1;;;;1
Aktiviteitencentrum Poortershoes;;;;1;;;;;;1
Albert Heijn (incl. albert.nl);;;;1;;;;;;1
Albron Catering;;;;;;;1;;;1
Alexander Hotel;;;;;;1;;;1;1
All Prevent;;;;;;2;;;;2
Alliance Francaise De La Haye;;;;;;1;;;;1
Allianz Global Assistance (incl. Mondial Assistance);;;;;;;;;1;1
Alpina van Houwening & Ijsselstijn;1;;;1;;;;;;1
Always Green (Full Moon City);;;;;;;;;1;1
Amarantha Bloemsierkunst;;;;1;;;;;;1
Amazing Bread Company (incl. Mammomi);;;;1;;;;;1;1
AMI Consultancy;;;;;;2;;;;2
Amsterdam Airport Schiphol;;;;;;;;;2;2
Amsterdam Marketing;;;;1;;;;;;1
Amsterdam School of Real Estate;;;;;;1;;;;1
Anafora Parkrestaurant;;;;1;;;;;;1
Annemarie M.H.L. Willems Producties;;;;1;;;;;;1
AOG Contractonderwijs (incl. Academie voor Management);;;;;;3;;;;3
Appoint/Competence Factory;;;;;;1;;;;1
APS Algemeen Pedagogisch Studiecentrum (incl. Edukern, Sopo);;;;;;1;;;;1
Aqua Flor Bloembinders;;;;1;;;;;;1
Archipel Brasserie;;;;1;;;;;;1
ArchiXL;;;;;;2;;;;2
Ardis Management Development;;;;;;5;;;;5
Aristo Holding;;;;;;1;;;;1
Arpa Training & Consultancy;;;;;;1;;;;1
Arriva Openbaar Vervoer;;;;;;;;;2;2
Art & Dining;;;;1;;;;;;1
Artha Leiderschap in Ontwikkeling;;;;;;2;;;;2
Artihove;;;;1;;;;;;1
Artikel 461 Restaurant;;;;1;;;;;;1
Arval Bnp Paribas Group;;;;1;;;;;;1
Athene Palace Grieks Restaurant;;;;1;;;;;1;1
Athlon Car Lease;;;;;;;;;2;2
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;;;;;;;1;1
ATPS - Tijdregistratie- en Toegangscontrolesystemen;;;;;;1;;;;1
