Handelsnaam;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Manja - organiseert en produceert;;1;;;;1
7scenes B.V.;;;;1;;1
7U;;;;;1;1
A.J.M. van Roosmalen;;;;;1;1
A.P.F. Toonen Beheer B.V.;1;;;;;1
A.T.U. Beheer B.V.;;1;;;;1
A.W.M. Langedijk;;;;;1;1
Aad Hoogendoorn Fotografie;;;;;1;1
Aanmelder.nl B.V.;;;;;1;1
AAP;;;;;1;1
ABF Research B.V.;1;;;;;1
ABG Evenementen;;;;1;;1
Abonnementenland;1;;;;;1
Accountor Nederland B.V.;1;;;;;1
Ad Hosman;;1;;;;1
Adams Industriemontagengesellschaft mbH;1;;;;;1
ADC Archeologische Opgravingen B.V.;;;;1;;1
AdeHoon;;;;1;;1
Adfo Groep B.V.;1;;;;;1
Aerophoto-Schiphol.nl;;;;;1;1
Aeropicture.nl;;;;;1;1
afd. Duivendrecht vd Koninkl. Ned. Ver. EHBO;;;;;1;1
A'foortsche Bierbrouwerij De Drie Ringen B.V.;;;;1;;1
After Lascaux B.V.;;;;;1;1
AG Connect B.V.;1;;;;;1
Akebono Translation Service;;1;;;;1
AKZO Roeivereniging;;;;;1;1
Albertine B.V.;;;;;1;1
Alfa-college;;;;;1;1
Algemene Onderwijsbond;1;1;;;;1
Algemene Vereniging Schoolleiders;1;;;;;1
Alice Overmeer Scheepsarcheologie;;;;;1;1
Alvero Kantoormeubelverhuur B.V.;;;;1;;1
Amersfoortvergaderen.nl;;;;1;;1
Amigo Safety Nederland;1;;;;;1
Amsterdam Tour;;;;;1;1
Ander Licht;;;;1;;1
Anja Vink journalist;;;;1;;1
Ankone Erfgoedconsultancy;;;;;1;1
Anne Reitsma Fotografie;;;;;2;2
Anne Versloot;;;;;2;2
Annet van Essen;;;;;1;1
Aon Risk Solutions;;;;;1;1
Architectuurcentrum Aorta;;;;1;;1
Archivision Digital Imaging B.V.;;;;;1;1
Arenda Oomen Fotografie;;;;;1;1
Arrow Holding B.V.;1;;;;;1
Art Language;;;;;1;1
Arts and Antiques Group Holding B.V.;1;;;;;1
Assemblee Sprekersbureau B.V.;;;;1;;1
Atelier Minoli;;;;;1;1
Atelier Van Zijderveld;;;;;1;1
Auke Smits Publiciteit B.V.;;;;;3;3
Automotive Publishing B.V.;;;;;3;3
Aviodrome Exploitatie B.V.;;;;;1;1
Axe Kooi;;;;;1;1
Axiell ALM Netherlands B.V.;1;;;;;1
B.V.;;;1;;;1
B.V. Algemeen Nederlands Persbureau ANP;2;;;;1;2
B.V. Leerdam Crystal;;;;;1;1
B.V. Perscentrum Nieuwspoort;1;;;;1;1
B.V. Weekbladpers;1;;;;;1
B+B Vakmedianet B.V.;1;;;;;1
BAB-VIOS Touringcars B.V.;;;;1;;1
Balance B.V.;;2;;;;2
Balans;1;;;;;1
BandZoeker Music B.V.;;;;1;;1
Banketbakkerij Arnold Cornelis B.V.;;1;;;;1
Banketbakkerij Boheemen;;1;;;;1
Banketbakkerij van Beek & Specker B.V.;;1;;;;1
Bart Versteeg fotograaf;;;;;1;1
Baspartout;;;;;1;1
Bazelmans Audio Visual Rentals;;;;2;;2
BCL Archaeological Support;;;;;2;2
Beeldhouwatelier Het Vrije Vuistje;;;;;1;1
Being Frank;;;;;1;1
Bercoper Ondernemersvereniging;;;;1;;1
Besseling Travel B.V.;;;;1;;1
Beuk Travel Consultants B.V.;;;;1;;1
Beukers Scholma;;;;;1;1
Beursgebouw Eindhoven B.V.;;;;;1;1
Bex*communicatie;;;;;1;1
Bilderberg Grand Hotel Wientjes;;;;1;;1
BIM Media B.V.;1;;;;;1
