;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
September;;;1;;;1
10 punt 9;;;1;;;1
100 kilo;;;;;1;1
12 Flow B.V.;;;;1;;1
4 Seasons Events;;;1;1;;1
53 Graden Noord B.V.;;;1;;;1
A&K Groep;;;1;;;1
A.C.M. Products B.V.;;;1;;;1
A.N.W.B. Kampeercentrum 'aan Geul en Bos';;;;1;;1
About Flowers;;;1;;1;1
Ad Ballon Ballonvaarten B.V.;;;;1;2;3
ADO Hospitality & Events B.V.;;;;2;;2
Advance Leadership Development B.V.;;;;;1;1
Advising People & Organisations B.V.;;;;;3;3
AIB Nieuwsdienst;;1;;;;1
Alfabet B.V.;;;1;;;1
Algemene Vlaggenhandel Nederland;;;1;;;1
Amazing Flowers;;;1;;;1
Amstelborgh/Borchland B.V.;;;2;;;2
Amsterdamse Bloemenmarkt;;;1;;;1
Anna Vastgoed Beheer B.V.;;;;2;;2
anoniem_DEF_10;;;1;;;1
anoniem_DEF_1003;;;;1;;1
anoniem_DEF_1012;;;;;1;1
anoniem_DEF_1020;;;1;;;1
anoniem_DEF_1024;;;1;;;1
anoniem_DEF_1025;;;1;;;1
anoniem_DEF_1032;;;;1;;1
anoniem_DEF_1035;;;;1;;1
anoniem_DEF_1040;;;1;;;1
anoniem_DEF_1046;;;2;;;2
anoniem_DEF_1049;;;1;;;1
anoniem_DEF_1058;;;1;;;1
anoniem_DEF_1062;;;1;;;1
anoniem_DEF_1067;;;;2;;2
anoniem_DEF_1069;;;1;;;1
anoniem_DEF_1075;;;1;;2;2
anoniem_DEF_1084;;;1;;;1
anoniem_DEF_109;;;;;1;1
anoniem_DEF_1099;;;1;1;1;1
anoniem_DEF_1103;;;1;;;1
anoniem_DEF_1109;;;;;1;1
anoniem_DEF_1110;;;1;;;1
anoniem_DEF_113;;;1;;;1
anoniem_DEF_1135;;;;;1;1
anoniem_DEF_114;;;1;;;1
anoniem_DEF_1145;;;;;4;4
anoniem_DEF_1149;;;1;;;1
anoniem_DEF_115;;;1;;;1
anoniem_DEF_1152;;;2;;;2
anoniem_DEF_1160;;;;1;;1
anoniem_DEF_1164;;;1;;;1
anoniem_DEF_1180;;;;;;
anoniem_DEF_1182;;;;;1;1
anoniem_DEF_1192;;;1;;1;1
anoniem_DEF_120;;;;;1;1
anoniem_DEF_121;;;;;1;1
anoniem_DEF_1215;;;1;;;1
anoniem_DEF_1223;;;1;;;1
anoniem_DEF_1226;;;;1;;1
anoniem_DEF_1227;;;;1;;1
anoniem_DEF_1228;;;1;;;1
anoniem_DEF_123;;;1;;;1
anoniem_DEF_1231;;;1;;;1
