FID,id,dienst,objecttype,catalogusn,herkomst,omschrijvi,catalgnaam,se_anno_cad_data,gdb_geomattr_data,shape
historische_geografie.1,91,Limburg,Historische geografie,G41, , ,Roer en onregelmatige verkavelingen,,,POINT (197053.82499999925 354006.131000001)
historische_geografie.2,95,Limburg,Historische geografie,G45, , ,Helena- of Peelvaart,,,POINT (191980.62099999934 376653.8530000001)
historische_geografie.3,94,Limburg,Historische geografie,G44, , ,Verspreide bewoning,,,POINT (199357.0390000008 403580.0020000003)
historische_geografie.4,93,Limburg,Historische geografie,G43, , ,Kasteel/Buitenplaats Stein,,,POINT (180899.7410000004 330396.1079999991)
historische_geografie.5,92,Limburg,Historische geografie,G42, , ,Graften,,,POINT (189833.59800000116 321458.0240000002)
historische_geografie.6,11,Noord-Nederland,Historische geografie,G1,CultGIS,"Reitdiep, vergraven natuurlijke waterloop in het land van Sauwerd",Rietdiep en Land van Sauwerd,,,POINT (224058.65100000054 586341.9420000017)
historische_geografie.7,12,Noord-Nederland,Historische geografie,G2,CultGIS,Dijken en waterlopen in Noord-oost Groningen,Dijken en waterlopen,,,POINT (246517.0789999999 602519.3830000013)
historische_geografie.8,14,Noord-Nederland,Historische geografie,G4,CultGIS,Turfwinning en droge vervening bij Hoogeveen,Turfwinning en droge vervening,,,POINT (231123.26199999824 525876.8729999997)
historische_geografie.9,15,Noord-Nederland,Historische geografie,G5,CultGIS,Dorpsterp Easterlittens bij Zurich,Dorpsterp Easterlittens,,,POINT (155477.3740000017 569441.8110000007)
historische_geografie.10,13,Noord-Nederland,Historische geografie,G3,CultGIS,Regelmatige en onregelmatige blokverkavelingen bij Anderen,Regelmatige en onregelmatige blokverkavelingen,,,POINT (241979.26300000027 556270.7179999985)
historische_geografie.11,21,Oost-Nederland,Historische geografie,G6,CultGIS,Opstrekkende strokenverkaveling bij Staphorst/Roeveen,Opstrekkende strokenverkaveling,,,POINT (210101.40199999884 512815.1429999992)
historische_geografie.12,22,Oost-Nederland,Historische geografie,G7,CultGIS,Hoevenzwerm langs de vecht bij Arri?n,Hoevenzwerm,,,POINT (227063.26799999923 504779.1799999997)
historische_geografie.13,23,Oost-Nederland,Historische geografie,G8,CultGIS,Oude lanen bij Willemsoord,Oude lanen en arme sloebers,,,POINT (200693.4539999999 537942.5029999986)
historische_geografie.14,24,Oost-Nederland,Historische geografie,G9,CultGIS,Esdekken bij Mari?nberg,Esdekken,,,POINT (234066.52699999884 504597.5540000014)
historische_geografie.15,25,Oost-Nederland,Historische geografie,G10,Historische geografie,Baksteenindustrie langs de IJssel bij Wijhe,Baksteenindustrie,,,POINT (202962.7039999999 487418.93400000036)
historische_geografie.16,31,IJsselmeergebied,Historische geografie,G11, , ,Stevinsluizen,,,POINT (131869.22399999946 549768.2179999985)
historische_geografie.17,32,IJsselmeergebied,Historische geografie,G12, , ,Dijk Zuidelijk Flevoland,,,POINT (138787.26099999994 482506.76999999955)
historische_geografie.18,33,IJsselmeergebied,Historische geografie,G13, , ,Rationele verkaveling,,,POINT (149655.66699999943 487459.25499999896)
historische_geografie.19,34,IJsselmeergebied,Historische geografie,G14, , ,Noordoostpolder,,,POINT (184507.49500000104 516533.29199999943)
historische_geografie.20,35,IJsselmeergebied,Historische geografie,G15, , ,Beplanting,,,POINT (166175.92799999937 510778.05099999905)
historische_geografie.21,41,Utrecht,Historische geografie,G16, , ,Natte vervening en ontstaan Vinkeveense Plassen,,,POINT (126749.33100000024 472119.8819999993)
historische_geografie.22,42,Utrecht,Historische geografie,G17, , ,Bewonings- en verkavelingsvormen,,,POINT (123323.4459999986 441026.33199999854)
historische_geografie.23,43,Utrecht,Historische geografie,G18, , ,Stelling van Amsterdam en Fort Nigtevecht,,,POINT (129798.97199999914 476442.0159999989)
historische_geografie.24,44,Utrecht,Historische geografie,G19, , ,Wal Grebbelinie en kazematten,,,POINT (169454.16800000146 440166.3209999986)
historische_geografie.25,45,Utrecht,Historische geografie,G20, , ,Veerpont Schalkwijk,,,POINT (143283.6719999984 441520.2179999985)
historische_geografie.26,51,Noord-Holland,Historische geografie,G21, , ,Polder de Beemster,,,POINT (124798.63100000098 504032.8040000014)
historische_geografie.27,52,Noord-Holland,Historische geografie,G22, , ,Westfriese Omringdijk,,,POINT (131155.60799999908 529422.8209999986)
historische_geografie.28,55,Noord-Holland,Historische geografie,G25, , ,Lineaire bewoning,,,POINT (130816.35200000182 523979.5020000003)
historische_geografie.29,54,Noord-Holland,Historische geografie,G24, , ,Tuunwallen,,,POINT (123549.62299999967 545448.7210000008)
historische_geografie.30,53,Noord-Holland,Historische geografie,G23, , ,Muidertrekvaart,,,POINT (137956.0460000001 479788.7019999996)
historische_geografie.31,61,Zuid-Holland,Historische geografie,G26, , ,Rivierduinen en donken,,,POINT (106006.46700000018 429585.92599999905)
historische_geografie.32,62,Zuid-Holland,Historische geografie,G27, , ,Zeewaterkerende dijk,,,POINT (125955.25200000033 425918.2650000006)
historische_geografie.33,63,Zuid-Holland,Historische geografie,G28, , ,Wierickerschans,,,POINT (113612.19299999997 453172.11100000143)
historische_geografie.34,64,Zuid-Holland,Historische geografie,G29, , ,Delftlandse hoofden,,,POINT (70543.40900000185 449324.8660000004)
historische_geografie.35,65,Zuid-Holland,Historische geografie,G30, , ,Griend,,,POINT (57002.95499999821 426052.09099999815)
