OBJECTID,BEHEERCODE,VERHARDINGSGROEP,ONDERDEELTYPE,VERHARDINGSSOORT,OPPERVLAKTE,BEHEEROBJECTTYPE,WEGTYPE,GEBRUIKSFUNCTIE,BEHEERDER,GEBIED,WIJK,STRAAT,AANLEGJAAR,SHAPESTArea,SHAPESTLength
1,01063/20/514,Cementbeton,Drempel,Beton,3.23,drempel,Weg in woongebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zeegsingel,2003,3.2287035,11.7659748909062
2,01063/20/513,Cementbeton,Drempel,Beton,4.12,drempel,Weg in woongebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zeegsingel,2003,4.123654,8.17677075056512
3,00057/12/504,Betonsteen,Parkeervak,Betonsteen dikformaat,66.14,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bereklauwstraat,2012,66.14498775,36.6386403662558
4,00057/12/503,Betonsteen,Parkeervak,Betonsteen dikformaat,55.56,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bereklauwstraat,2012,55.55844705,32.8103384379764
5,00057/12/502,Betonsteen,Parkeervak,Betonsteen dikformaat,64.91,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bereklauwstraat,2012,64.9103405,36.2700458307297
6,01267/10/508,Betonsteen,Fietspad,Dubbelklinker 20x20,302.02,fietspad rechts,Fietspad,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Eimerssingel-Oost,2015,302.018983,233.676626827439
7,00373/110/507,Betontegels,Trottoir,Betontegels,101.18,trottoir links,Weg in woongebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Huissensestraat,2011,101.179218,110.172885521729
8,00373/110/505,Rood asfalt,Fietspad,Rood asfalt,2.94,fietspad rechts,Fietspad,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Huissensestraat,2012,2.935105,7.4772114236008
9,00373/110/504,Betonsteen,Fietspad,Dubbelklinker 20x20,459.36,fietspad rechts,Fietspad,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Huissensestraat,2011,459.359768795,323.398137471428
10,00451/17/507,Gebakken steen,In- uitrit,Klinker keiformaat,8.8,in- uitrit links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Keurvorstlaan,2012,8.8021105,14.3779447305953
