Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
(Niet Gebruiken) KPN B.V. Zie zp 2001453;;;;;;1;;1
A.B. Info;;;;;;;1;1
Aanmelder.nl B.V.;;;;;;;1;1
ABF Research B.V.;;;1;;;;;1
AG5 B.V.;;1;;;;;;1
Altec IndustriÃ«le Identificatie;1;;;;;;;1
A-Mac B.V.;1;;;;;;;1
Apple Distribution International WorldPay Ltd.;;;1;;;;;1
Aris B.V.;;1;;;;;;1
Arrow Holding B.V.;;;1;;;;;1
Assendelft Automatisering en Advisering;;;1;;;;;1
At Consultancy B.V.;;1;;;;;;1
Avex B.V.;;;1;;;;;1
Axway B.V.;1;;;;;;;1
BCT B.V.;;;1;;;;;1
Becton Dickinson;;;1;;;;;1
Bertin GmbH;;1;;;;;;1
Bizplay;;;1;;;;;1
bol.com B.V.;1;;;;;1;;1
Bose Products B.V.;1;;;;;;;1
Bvolve B.V.;;1;;;;;;1
Campai BV;;1;;;;;1;1
Cavalier International Air Freight B.V.;;;;;;;1;1
CCV Services B.V.;1;;;;;;;1
Cegeka Solutions and Projects B.V.;;1;;;;;;1
Centric Netherlands B.V.;;;;;;;1;1
CE-Real;;;1;;;;;1
Cleverbridge AG;;;1;;;;;1
CloudVPS;;1;;;;1;;1
CM International B.V.;;;;;;1;;1
CM Telecom B.V.;;;;;;1;;1
Cocoon Riskmanagement B.V.;;;1;;;;;1
Connected Information Systems B.V.;;;1;;;;;1
Conrad Electronic Benelux B.V.;1;;;;;;;1
CoolBlue BV PDAshop.nl/Smartphoneshop .nl;1;;;;;;;1
Coosto B.V.;;;1;;;;;1
Coosto Holding B.V.;;;1;;;;;1
Cruxin;;;;;;1;;1
Cytognos;1;;;;;;;1
De Wilt-Cyrox Groep B.V.;1;;;;;;;1
Dermatologie St. Antonius Ziekenhuis;;;;;;;1;1
Detron Telecom Enterprise;;;1;;;;;1
DGMR Raadgevende Ingenieurs B.V.;;1;;;;;;1
Disc B.V.;;;1;;;;;1
Discountoffice.nl B.V.;1;;;;;;;1
DNA Software Inc.;;;1;;;;;1
Dyzle Operations B.V.;;;;;;1;;1
Easy Ergonomics B.V.;1;;;;;;;1
Elinex Power Solutions B.V.;;1;;;;;;1
Entopic B.V.;;1;;;;;;1
E-Office B.V.;;1;;;;;;1
EuroFIR AISBL;;;1;;;;;1
ezCompany B.V.;;;1;;;;;1
E-Zorg;;;1;;;;1;1
Flash Services Nederland;;;;;;1;;1
For Conference B.V.;;;;;;1;;1
G10 B.V.;;;1;;;;;1
Game Solutions Lab;;;1;;;;;1
Geodan B.V.;;;1;;;;;1
GetApped;;1;;;;;;1
GitHub Inc.;;1;;;;;;1
Goudappel Coffeng B.V.;;;;;;;1;1
Greater Good;;;1;;;;;1
GS1 Nederland B.V.;;;;;;;1;1
GSM Repeater Shop B.V.;1;;;;;;;1
Gwenn Beheer B.V.;;1;;;;;;1
Haai B.V.;;;1;;;;;1
Handelsonderneming Kleine;;;1;;;;;1
Hecla Electronics B.V.;;1;;;;;;1
Hostnet B.V.;;;;;1;;;1
I & O Research B.V.;;;;;;;1;1
IBM Nederland B.V.;;;1;;;;;1
Ideaconsult Ltd.;;;;;;;1;1
Iforsites;;;;;;;1;1
Inconnect Faculty B.V.;;;1;;;;;1
ING Bank;;;1;;;1;;1
Innova Market Insights B.V.;;;;;;;1;1
Insiders Online B.V.;;1;1;;;;;1
Insight Enterprises Netherlands B.V.;1;;;;;;;1
Instant Magazine B.V.;;;1;;;;;1
International Safety Research Europe B.V.;;1;;;;;;1
Inventeers;;;1;;;;;1
ITM Components Ltd;1;;;;;;;1
iWelcome B.V.;;1;;;;;;1
J2 Global Ireland Ltd;;;;;;1;;1
Khonraad Software Engineering B.V.;;;;;;;1;1
Klinkhamer Conference Management B.V.;;1;;;;;;1
KNNS Business Solutions;1;;;;;;;1
KPN Business Service Desk;;;;;;1;;1
KPN Contact lokatie Eindhoven;;;;;;1;;1
KPN Mobile N.V.;;;;;;1;;1
KPN Telecom B.V. Utrecht;;;;;;1;;1
KPN Telecom Facturering Vast Telefonie;;;;;;1;;1
KPN XL;;;;;;1;;1
Lenovo Services B.V.;1;;;;;;;1
Light-Telecom;;;;;;1;;1
LimoenGroen B.V.;;1;;;;;;1
LinkTiger, Inc.;;;1;;;;;1
Linprofs B.V.;;;1;;;;;1
Logic Lines;1;;;;;;;1
Logilabel Nederland;1;;;;;;;1
Mabtech AB;1;;;;;;;1
Mansveld Projecten & Services B.V.;;;;;;1;;1
Manutan B.V.;1;;;;;;;1
Mavention Beheer en Producten B.V.;;;1;;;;;1
Mavim Holding B.V.;;;1;;;;;1
Medische Biobank Noord-Nederland B.V.;;;;;;;1;1
Microsoft Ireland Operations Limited;;1;1;;;;;1
Mproof Beheer B.V.;;1;;;;;;1
Network Innovations Services;;;;;;1;;1
