Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
A.B. Info;;;;;;;1;;1
Abbott Informatics Netherlands B.V.;;;;2;;;;2;2
Accenture B.V.;;;7;4;;;;;7
Adobe Systems Software Ireland;;;;2;;;;;2
Aenova B.V.;;;;1;;;;;1
Aiwos;;;;3;;;;;3
Alignment4Value;;;;2;;;;;2
Altec IndustriÃ«le Identificatie;;1;;;;;;;1
Alternate Computerversand Nederland;;1;;;;;;;1
Amainsolutions B.V.;;;1;;;;1;;2
Apple Distribution International WorldPay Ltd.;;;;1;;;;;1
Aris B.V.;;;1;;;;;;1
Arrow Holding B.V.;;;;1;;;;;1
Artax B.V.;;;;2;;;;;2
Atlassian B.V.;;1;;1;;;;;2
Atos Nederland B.V.;;;5;5;2;;;;6
Avanade Netherlands B.V.;;1;;;;;;;1
Avangate B.V.;;;;1;;;;;1
Avex B.V.;;2;;;;;;;2
Avic B.V.;;;;;;;1;;1
Axians;;;;;2;;;;2
Axians Comm. Solutions BV;;;1;;;;;;1
Axway B.V.;;1;;;;;;;1
B.&A. Services B.V.;;;1;;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;1;;;;;;;1
Basic and Smart B.V.;;;;1;;;;;1
BCT B.V.;;;2;1;;;;;2
Between B.V.;;;;;;;;1;1
Beun- de Ronde B.V.;;;;1;;;;;1
Bfarm - Paul-Erlich-Institut;;;;2;;;;;2
Billink B.V.;;1;;;;;1;;1
bioMÃ©rieux Benelux B.V.;;;;1;;;;;1
Bio-Rad Laboratories B.V.;;;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;1;;2;;;;;2
Bizz'co;;;;1;;;;;1
Black Bytes B.V.;;;;1;;;;;1
Bluedesk CRM B.V.;;;;2;;;;;2
bol.com B.V.;;1;;;;;1;;1
BPI Services B.V.;;;;1;;;1;;1
Brandenbarg Advies;;;;;;;;1;1
Bugter Consult;;;;1;;;;;1
Buyitdirect.com N.V.;;2;;;;;1;;2
CACI B.V.;;;2;1;;;;;2
Campai BV;;;;;;;;1;1
Canberra NV/SA;;;1;2;;;;;2
Capgemini N.V.;;7;;;;;;;7
Capgemini Nederland B.V.;;;;5;;;;5;6
Capgemini Nederland BV;;;;;;;;2;2
Cavalier International Air Freight B.V.;;;;;;;;2;2
Cegeka Solutions and Projects B.V.;;;1;;;;;;1
Cendris Dataconsulting voorheen Omnidata;;;;1;;;;;1
Central Point Nederland B.V.;;1;;;;;;;1
Centric Netherlands B.V.;;;;;;;;1;1
CE-Real;;;;1;;;;;1
CGI Nederland B.V.(Logica Ned.B.V.);;4;;1;2;;;;4
Cimsolutions;;;5;6;;;;;7
Cinnamon Interactive B.V.;;;;1;;;;;1
Circle Systems, Inc;;;;1;;;;;1
Cirquest B.V.;;;1;;;;;;1
Cloud Seven B.V.;;;3;2;;;;;3
CloudVPS;;;;;;;1;;1
CM International B.V.;;;;;;;1;;1
CM Telecom B.V.;;;;;;;1;;1
COMPAREX Nederland B.V.;;;5;7;;;1;;7
Conrad Electronic Benelux B.V.;;1;;;;;;;1
CoolBlue BV PDAshop.nl/Smartphoneshop .nl;;1;;;;;2;;2
Coosto B.V.;;;;1;;;;;1
Coosto Holding B.V.;;;;1;;;;;1
Ctac B.V.;;;1;2;;;;;2
CVIS International B.V.;;;2;;;;;;2
DDC Europe B.V.;;;;;;;;1;1
De Praktijk Index B.V.;;1;;;;;;2;2
De Webmakers;;;2;;;;;;2
Defacto Software B.V.;;;2;;;;;;2
