Gemeente;CBS gemeentecode;Stembureau of Afgiftepunt;Nummer stembureau of afgiftepunt;Naam stembureau of afgiftepunt;Gebruikersdoel het gebouw;Website locatie;Wijknaam;CBS wijknummer;Buurtnaam;CBS buurtnummer;BAG referentienummer;Straatnaam;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Plaats;Extra adresaanduiding;X;Y;Longitude;Latitude;Openingstijden 10-03-2021;Openingstijden 11-03-2021;Openingstijden 12-03-2021;Openingstijden 13-03-2021;Openingstijden 14-03-2021;Openingstijden 15-03-2021;Openingstijden 16-03-2021;Openingstijden 17-03-2021;Mindervaliden toegankelijk;Akoestiek;Auditieve hulpmiddelen;Visuele hulpmiddelen;Mindervalide toilet aanwezig;Kieskring ID;Hoofdstembureau;Tellocatie;Contactgegevens;Beschikbaarheid;Verkiezingen;ID;;;
Vlaardingen;GM0622;Stembureau;1;Stadskantoor;Kantoor;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Centrum;BU06220103;622.200.000.039.312;Westnieuwland;6;;;3131VX;Vlaardingen;;83023,986;436032,544;4,3412073802;51,9081319552;;;;;;2021-03-15T07:30:00 tot 2021-03-15T21:00:00;2021-03-16T07:30:00 tot 2021-03-16T21:00:00;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;2;Stadhuis Burgerzaal;Stadhuis;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Centrum;BU06220103;622.200.000.024.769;Mark;11;;;3131CV;Vlaardingen;;83077,455;436014,962;4,3419880393;51,9079808522;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;3;Stadsgehoorzaal;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Oostwijk;GM062204;Oostbuurt;BU06220402;622.200.000.041.771;Schiedamseweg;51;;;3134BB;Vlaardingen;;83449,215;436250,636;4,3473407306;51,9101467962;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;4;Pannekoekenhuis ?t Hofÿ;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Oostwijk;GM062204;Hofbuurt;BU06220401;622.200.000.015.691;Hofsingel;80;;;3134VH;Vlaardingen;;83630,800;436363,812;4,3499558587;51,9111872348;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;5;Het Spectrum Boslaan;Onderwijsfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Oostwijk;GM062204;Oostbuurt;BU06220402;622.200.000.005.907;Boslaan;1;;;3134XC;Vlaardingen;;84052,724;436070,728;4,3561473708;51,9086072192;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;6;Het Spectrum Wilhelminastraat;Onderwijsfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Oostwijk;GM062204;Oostbuurt;BU06220402;622.200.000.036.264;Wilhelminastraat;19;;;3134CR;Vlaardingen;;83681,085;436083,462;4,3507447248;51,9086741514;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;7;Kerkgebouw de Fontein;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Centrum;BU06220103;622.200.000.039.792;Groen van Prinstererstraat;65;A;;3131GD;Vlaardingen;;82949,336;436615,140;4,3400007295;51,1335811101;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;8;Rehobothkerk;Bijeenkomstfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Indische Buurt;BU06220101;622.200.000.038.630;Billitonlaan;104;;;3131LL;Vlaardingen;;82261,696;436542,551;4,3300233628;51,9126162859;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;9;CBS Het Visnet;Onderwijsfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Centrum;GM062201;Vettenoordse Polder Oost;BU06220102;622.200.000.031.509;Stationsstraat;117;;;3131PS;Vlaardingen;;83119,279;435581,012;4,3426862953;51,9040863288;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
Vlaardingen;GM0622;Stembureau;10;Wooncentrum De Bolder;Sportfunctie;https://maps.vlaardingen.nl/flamingo-portal-vlaardingen/page/open-data;Vettenoordse Polder;GM062203;Maasboulevard;BU06220307;622.200.000.008.289;Columbusstraat;5;;;3133BA;Vlaardingen;;83447,666;435184,859;4,3475397419;51,9005683875;;;;;;;;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;Ja;;;;;14;Dordrecht;Vlaardingen;Team Verkiezingen, verkiezingen@vlaardingen.nl, 010-248 4000, Gemeente Vlaardingen, Publiekszaken/Team Verkiezingen, Postbus 1002, 3130 EB Vlaardingen;https://www.vlaardingen.nl/;tweede kamer verkiezingen;NLODSGM0622stembureaus20210317008;;;
