Ministerie;Handelsnaam;9010 - GWW;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9510 - BZ Specifiek;9520 - BZK Specifiek;9530 - DEF specifiek;9540 - EZ Specifiek;9550 - FIN specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS Specifiek;Eindtotaal
BZ;Alliance Francaise de La Haye;;;;;;;;1;;;;;;;;;;1
BZ;ESL Taalreizen B.V.;;;;;;;;1;;;;;;;;;;1
BZ;GGN Mastering Credit N.V.;;;;;;;;1;;;;;;;;;;1
BZ;Maatschap Alingua;;;;;;;;1;;;;;;;;;;1
BZ;Stg. Inst. voor Nederlands Internetonderwijs;;;;;;;;1;;;;;;;;;;1
BZ;Stichting Ibid;;;;;;;;2;;;;;;;;;;2
BZ;Stichting NTC School De Boomkikker;;;;;;;;2;;;;;;;;;;2
BZ;'t Klokhuis;;;;;;;;2;;;;;;;;;;2
BZK;2Xplain V.O.F.;;;;;;;;;3;;;;;;;;;3
BZK;A. de Jong Installatietechniek B.V.;;;;;;;;;3;;;;;;;;;3
BZK;A.G. van de Scheur Onroerend Goed B.V.;;;;;;;;;1;;;;;;;;;1
BZK;A.G.M. van de Looi Longartsenpraktijk B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Aannemersbedrijf Gebroeders Horstink B.V.;;;;;;;;;6;;;;;;;;;6
BZK;Aannemersbedrijf Roseboom B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Aannemingsbedrijf Hoefakker B.V.;;;;;;;;;2;;;;;;;;;2
BZK;Aannemingsbedrijf Nico de Bont B.V.;;;;;;;;;3;;;;;;;;;3
BZK;ABC Bouwmanagement;;;;;;;;;2;;;;;;;;;2
BZK;Abma Schreurs Advocaten B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Accanto B.V.;;;;;;;;;2;;;;;;;;;2
