ZAAKNUMMER,ZAAKTYPECODE,KANAAL,OMSCHRIJVING,REGISTRATIEDATUM,STARTDATUM,EINDDATUM,GEPLANDE EINDDATUM,CASE_TYPE_ID,NIVEAU1CASE,NIVEAU2CASE,NIVEAU3CASE,STRAATNAAM,HUISNUMMER,POSTCODE,BUURTCODE,BUURT,WIJKCODE,WIJK,WOONPLAATS,LONGITUDE,LATITUDE,BAG_STRAATNAAM,PC6_BRON,PC6
445208,MLD0821,EMAIL,OV 1 lamp stuk,20180502123108,20180503,20180504,20180508,3981,Straatmeubilair,Straatverlichting,OV 1 lamp stuk,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek/Spaland,SCHIEDAM,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
478497,UA.01.10,EMAIL,Dode dieren in openbaar gebied/in water,20180801112020,20180802,20180809,20180806,4019,Reiniging,Op bestrating en in het groen,Dode dieren in openbaar gebied/in water,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek en Spaland/Sveaparken,Schiedam,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
499652,MLD0821,WEBFORM,OV 1 lamp stuk,20181002175833,20181003,20181005,20181008,3981,Straatmeubilair,Straatverlichting,OV 1 lamp stuk,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek/Spaland,SCHIEDAM,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
442072,MLD0822,TELEFOON,OV meer lampen stuk,20180423145358,20180424,20180423,20180430,3982,Straatmeubilair,Straatverlichting,OV meer lampen stuk,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek en Spaland/Sveaparken,Schiedam,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
285856,UB.13.02,TELEFOON,Markering; Markering ontbreekt,20161108141725,20161109,20170501,20161114,2071,Straatmeubilair,Markering,Markering ontbreekt,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek en Spaland/Sveaparken,Schiedam,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
267629,UD.01.08,TELEFOON,Asfalt - gat/gevaarlijke situatie,20160902103904,20160905,20161005,20160912,2118,Bestrating,Asfalt - gat/gevaarlijke situatie,,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek en Spaland/Sveaparken,Schiedam,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
371114,UD.01.11,TELEFOON,Asfalt - overig,20170908122257,20170911,,20170918,3053,Bestrating,Asfalt overig,,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek en Spaland/Sveaparken,Schiedam,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
468358,UB.13.02,WEBFORM,Markering; Markering ontbreekt,20180704150345,20180705,,20180710,4070,Straatmeubilair,Markering,Markering ontbreekt,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek/Spaland,SCHIEDAM,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
371118,UC.02.05,EMAIL,Beplanting; Beplanting hagen knippen,20170908122639,20170911,20170915,20170914,3027,Groen,Beplanting,Beplanting hagen knippen,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek en Spaland/Sveaparken,Schiedam,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
480528,UA.01.10,EMAIL,Dode dieren in openbaar gebied/in water,20180808084500,20180809,20180809,20180813,4019,Reiniging,Op bestrating en in het groen,Dode dieren in openbaar gebied/in water,Groeneweg,61,3124KA,99,Noordkethelpolder,90,Woudhoek/Spaland,SCHIEDAM,4.3743394485862,51.962094158012,Groeneweg,melding,3124KA
