Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
(Di)Air;;;;;;;;1;;1
Absoluta Food and Facilities B.V.;1;;;;;;;;;1
Abson C.V.;;;;1;;;;;;1
Adiform;;;;;;;1;;;1
AEB Exploitatie B.V.;;;;;;3;;;;3
Ahrend Nederland B.V.;;;;;;;7;;;7
Akoestiekfabriek B.V.;;;;;;;1;;;1
Albron Nederland B.V.;1;;;;;;;;;1
Alphatron Marine B.V.;;5;;;;;;;;5
American Express International Inc.;;;;;;;;;1;1
Antalis B.V.;;;;;;;;1;;1
Anticimex;;;2;;;;;;;2
ANWB B.V.;;;;;1;;;;;1
AO Core B.V.;;;;;;;;1;;1
Apis International B.V.;;;;;;;;1;;1
ASB Security B.V.;;1;;;;;;;;1
Asito Tilburg B.V.;;;2;;;;;;;2
Atir Schoonmaakstrategen;;;1;;;;;;;1
Audion Elektro B.V.;;;;;;;;1;;1
Automaterialen Centrum Zeist B.V.;;;;;;;1;;;1
AVR-Afvalverwerking B.V.;;;;;;2;;;;2
B.i.T. Netherlands B.V.;1;;;;;;;;;1
Badpunt.nl B.V.;;;;;;;1;;;1
Bar Restaurant Pavlov B.V.;1;;;;;;;;;1
b-autoclaaf.nl;;;;;;;;1;;1
BBWC B.V.;1;;;;;;;;;1
BCF-Products;;;;;;;1;;;1
Bedrijfs- en Milieurecherchebureau BMR;;;;;;1;;;;1
Berging Regio Leiden;;;;1;;;;;;1
Berki Brandbeveiliging B.V.;;2;;;;;;;;2
bol.com B.V.;;;;;;;1;;;1
Bolt V.O.F.;;;;2;;;;;;2
Bouwcombinatie DUO2 V.O.F.;5;1;2;;;;;;;5
Bredox B.V.;;;;;;4;;;;4
Brezan Automaterialen B.V.;;;;;;;1;;;1
Broodjeslijn;1;;;;;;;;;1
Camera Tools B.V.;;;;;;;;2;;2
Canon Nederland;;;;;;;;7;;7
CataloniÃ« Glas Verpakkingen B.V.;;;;;;;;1;;1
Catch;;;;;;;1;;;1
CCV Holland B.V.;;;;;;;;1;;1
Chubb Fire & Security B.V.;;4;;;;;;;;4
Commissie van Beheer Rijkskantoren;2;;;;;;;;;2
Compass Group Nederland B.V.;1;;;;;;;;;1
Compliment.nl;1;;;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;1;1;;1
Construct Bedrijfspsychologie;;;;;3;;;;;3
Correct Systems;;;;;;;;1;;1
CSU B.V.;;;3;;;;;;;3
