Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;1;;;;1
010-Haptotherapie & Coaching;;1;;;;;;;1
123RF B.V.;;;;1;;;;;1
'1e Klas' Grand Café Restaurant;;;1;;;;;;1
2 Know How;;;;;1;;;;1
2rent 4you Party Service;;;1;;;;;;1
2toGrow;;;;;1;;;;1
3K Horeca B.V.;;;1;;;;;;1
50+ Beurs & Festival;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;1;;;;1
7AM B.V.;;;;;1;;;2;2
A. Imouhdine h.o.d.n. Bakker Bart;;;1;;;;;;1
A. Merkelbach;;;;;1;;;;1
A. van der Velde;;;;;1;;;;1
A.A. Nijhuis Taxi- en Rijwielbedrijf;;;1;;;;;;1
A.L. Mertens;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;1;;;1
AanZetGroep;;1;;1;;;;;1
ABC de Cirkel;;;;1;;;;;1
ABN AMRO Bank N.V.;;;;;1;;;;1
About Flowers;;;1;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;2;;;;2
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;1
Academie voor Medezeggenschap B.V.;;;;;2;;;;2
Academie voor Psychodynamica;;;;;1;;;;1
Academie voor Psychologica;;;;;1;;;;1
Academie voor Vastgoed B.V.;;;;;2;;;;2
Academy for Leadership B.V.;;;;;2;;;;2
Accenture B.V.;;;;;3;;;;3
Accountantskantoor Durenkamp B.V.;;;1;;;;;;1
Achterkamp Bedrijfsopleidingen B.V.;;;;;1;;;;1
Aconitum;;;;;1;;;;1
ACT Management B.V.;;;;;2;;;;2
Acte De Présence;;;;;2;;;;2
ACTEME BV;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;2;;2;;;;2
Action Learning Business School Europe B.V.;;;;;1;;;;1
Ad Maas Kookinspiratie;;;1;;;;;;1
Ad Slotenmaker;;;1;;;;;;1
'A'dam Ports Assoc.' v/h de Amsterdamse Haven;;;1;;;;;;1
Ad-Just Bouwman Comedy Cowboys;;;;;1;;;;1
Adminds;;;1;;;;;;1
AdOnline;;;1;;;;;;1
Advies en Opleidingen Kloosterman B.V.;;;;;1;;;;1
Adviesbureau Atim B.V.;;;;;1;;;;1
Adviesbureau Context;;1;;;;;;;1
Adviesburo mr. Kees Broos;;;;;1;;;;1
Adviesgroep Pauw;;;;1;;;;;1
Advocatenkantoor Dijkgraaf B.V.;;;2;;;;;;2
Agile Consortium (AC);;;;;;;1;;1
Agripers B.V.;;;1;;;;;;1
Ahoy Rotterdam N.V.;;;1;;;;;;1
Ai-Opener;;;;;1;;;;1
Akihito Sushi;;;1;;;;;;1
Ale House B.V.;;;2;;;;;;2
Alex Bloemsierkunst;;;1;;;;;;1
Alex van Assen;;;1;;;;;;1
Algemene Amsterdamse Studenten Roeivereniging Skoll;;;;;;1;;;1
Algemene Vereniging van Belastingdeurwaarders;;;;;1;;;;1
Alimentatieservice;;1;;;;;;;1
Allround Zeilcharter Oxalex B.V.;;;1;;;;;;1
Alphatron Marine B.V.;;1;;;;;;;1
Alternate Computerversand Nederland;;;;;1;;;;1
Altijd Gezel-Li;;;1;;;;;;1
Alve Stêden Skûtsjefertier;;;1;;;;;;1
Amaze Escape Events;;;;;;1;;;1
Amazicsoft;;;;;1;;;;1
AMB Import;;;1;;;;;;1
Ambt. Sp.- en Ontspanningsver. 'De Wolven';;;;;1;;;;1
Amer Taxi;;;;;;;;1;1
Amisni B.V.;;;1;;;;;;1
Amsterdam Experience;;;1;;;;;;1
Amsterdam University Press AUP B.V.;;;;;1;;;;1
Amsterdamse Watertaxi Centrale B.V.;;;;;;;;1;1
Anac Self Storage B.V.;1;;;;;;;;1
Ana's Kuzin;;;1;;;;;;1
Ander Leven;;4;;3;1;;;;5
Andriessen & Partners B.V.;;;;;4;;;;4
Annemarie Prein People Management;;;;;1;;;;1
AOB Compaz;;;;;1;;;;1
AOG Contractonderwijs B.V.;;;;;2;;;;2
Apenheul;;;2;;;1;;;2
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;;1
ARAG Legal Services;;;1;;;;;;1
Arbeidskundig Adviesbureau Rijnsburger;;;;;1;;;;1
ArboDirect;;1;;1;1;;;;2
Archeon Novum;;;1;;;;;;1
Ardis Opleidingen B.V.;;;;;3;;1;;3
Ardis Organisatieontwikkeling B.V.;;;;;3;;;;3
Areda International B.V.;;;1;;;;;;1
Aristo Amsterdam B.V.;;;;;1;;;;1
Arnauld Geschenken B.V.;;;1;;;;;;1
Art 2 Advance;;;;;1;;;;1
Art Handling Services B.V.;;1;;;;;;;1
Art to Art;;;1;;;;;;1
Artihove Regina B.V.;;;1;;;;;;1
Arts & Dennissen Catering;;;;;;;;1;1
Asia Vietnamees Spec. Rest.;;;1;;;;;;1
Ass. Autofauteuils B.V.;;1;;;;1;;;1
Atlantic Hotel Exploitatie B.V.;;;;;1;;;2;2
Atlas Reizen B.V.;;;;;;;;1;1
ATOL TCP;;;;;1;;;;1
Atos Nederland B.V.;;;;;2;;;;2
Auberge de Rousch;;;1;;;;;;1
Auberge Navet V.O.F.;;;1;;;;;;1
Audio Electronics Mattijsen B.V.;;;;;1;;;;1
Augustus Connect;;;;;;;1;;1
Aureus;;;;;1;;;;1
Ausems en Kerkvliet Arbeidsmed. Adv. B.V.;;1;;1;;;;;1
Auto Poppe Terneuzen;;1;;;;;;;1
Automotive Publishing B.V.;;;;;4;;;;4
Auxilium Adviesgroep B.V.;;;;;1;;;;1
Avans Hogeschool B.V.;;;;;1;;;;1
Aventus Carrière en Employability Centre;;;1;;1;;;;1
Aviste B.V.;;;1;;;;;;1
AVR-Afvalverwerking B.V.;;;;;1;;;;1
Awec Sandur B.V.;;;1;;;;;;1
AWVN (Algemene Werkg.ver. Nederland);;;;;1;;;;1
Axiell ALM Netherlands B.V.;;;;;1;;;;1
Axus Nederland B.V.;;;;;1;;;;1
AyniSpirit;;;;;1;;;;1
