Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
anoniem 2650;2;;;;;;;;2
anoniem 2652;;;;;;1;;;1
anoniem 2654;;;;;;1;;;1
anoniem 2655;;;;1;;;;;1
anoniem 2657;;;;;;;1;;1
anoniem 266;;;;;;;1;;1
anoniem 2662;;;;;;1;;;1
anoniem 2663;;;;;;2;;;2
anoniem 2668;;;;;1;;;;1
anoniem 2673;;;;;;;1;;1
anoniem 2681;;;;;;;1;;1
anoniem 269;;;;;;1;;;1
anoniem 2694;;;;;;1;;;1
anoniem 2695;;;;;;2;;;2
anoniem 2696;;;;;;1;;;1
anoniem 2697;;;;;;;1;;1
anoniem 2704;;;;1;;;;;1
anoniem 2709;;;;1;;;;;1
anoniem 2712;;;;;;1;;;1
anoniem 2716;;;;;;1;;;1
anoniem 272;;;1;;;;;;1
anoniem 2720;;;;1;;;;;1
anoniem 2722;;;;1;;;;;1
anoniem 2723;;;;1;;;;;1
anoniem 2725;;;;1;;;;;1
anoniem 2728;;;;;;1;;;1
anoniem 273;;;;1;;;;;1
anoniem 2730;;;;;;;1;;1
anoniem 2734;;;;;;1;;;1
anoniem 2738;;;;;;;1;;1
anoniem 2746;;;;;;;1;;1
anoniem 2749;;;;1;;;;;1
anoniem 2750;;;;;1;;;;1
anoniem 2762;;;;;;1;;;1
anoniem 2764;;;;1;;;;;1
anoniem 2767;;;;;2;;;;2
anoniem 277;;;;;;2;;;2
anoniem 2771;;;;;;1;;;1
anoniem 2776;;;;;;;1;;1
anoniem 2777;;;;;;;1;;1
anoniem 2781;;;;;1;;;;1
anoniem 2782;;;1;;;;;;1
anoniem 2785;;;;;;1;;;1
anoniem 2786;;;;;;2;;;2
anoniem 2792;;;;;;1;;;1
anoniem 2793;;;;;;;1;;1
anoniem 2795;;;;;;1;;;1
anoniem 2798;;;;;;1;;;1
anoniem 28;;;;;;1;;;1
anoniem 2801;;;1;;;;;;1
anoniem 2802;;;;;;;1;;1
anoniem 2806;;;1;;;;;;1
anoniem 2807;;;;;;1;;;1
anoniem 2821;;;;;;;1;;1
anoniem 2831;;;;1;;;;;1
anoniem 29;;;;1;;;;;1
anoniem 299;;;;1;;;;;1
anoniem 30;;;1;;;;;;1
anoniem 306;;;;;;;1;;1
anoniem 311;;2;;;;;;;2
anoniem 314;1;;;;;;;;1
anoniem 327;;;;;;;1;;1
anoniem 329;;;;;;1;;;1
anoniem 33;;;;;;1;;;1
anoniem 34;;;;;;1;;;1
anoniem 343;;;;1;;;;;1
anoniem 350;;;;;;1;;;1
anoniem 358;;;;;;2;;;2
anoniem 363;;;;;;1;;;1
anoniem 372;;;;;;1;;;1
anoniem 373;;;1;;;;;;1
anoniem 39;;;;;;4;;;4
anoniem 397;;;;;;;1;;1
anoniem 406;;;1;;;;1;;1
anoniem 41;1;;;;;;;;1
anoniem 417;;;;;;4;;;4
anoniem 43;;;1;;;;;;1
anoniem 434;;2;;1;;;1;;2
anoniem 443;3;2;;;;;;;3
anoniem 453;;;;;;1;;;1
anoniem 456;;;;;;2;;;2
anoniem 466;;;;1;;1;;;1
anoniem 472;;;;1;;;;;1
anoniem 477;;;;;;1;;;1
anoniem 48;;;;;;1;;;1
anoniem 482;;;;1;;;;;1
anoniem 49;;;;;;2;;;2
anoniem 493;;;;;4;1;;;4
anoniem 494;;;;;;;1;;1
anoniem 500;;;;;;2;;;2
anoniem 505;;;;1;;;;;1
anoniem 515;;;;;;1;;;1
anoniem 52;;;;;;1;;;1
anoniem 523;;;;;;5;;;5
anoniem 525;;;;;;3;;;3
anoniem 528;1;;;;;;;;1
anoniem 53;1;;;;;;;;1
anoniem 533;;;1;;;;;;1
anoniem 538;;;;;;1;;;1
anoniem 543;3;;;;;;;;3
anoniem 546;;;;;;1;;;1
anoniem 556;;;;;;;1;;1
anoniem 563;;;;;;;1;;1
anoniem 57;;;;1;;;;;1
anoniem 579;;;;1;;;;;1
anoniem 591;;;;;;;1;;1
anoniem 598;;;;;;3;;;3
anoniem 60;;;;;1;;;;1
anoniem 604;;;;;;;;1;1
anoniem 616;;;;1;;;;;1
anoniem 621;;;;1;;;;;1
anoniem 647;;;;;;;1;;1
anoniem 657;;;;;;1;;;1
anoniem 662;;2;;;;;;;2
anoniem 676;;;;;1;;1;;1
anoniem 688;;;;1;;;1;;1
anoniem 698;2;2;;1;;;1;;2
anoniem 70;;;;;;;1;;1
anoniem 706;;;;;;2;;;2
anoniem 713;;;;;;1;;;1
anoniem 718;;;1;;;;;;1
anoniem 723;;;;;;;1;;1
anoniem 728;;;1;;;;;;1
anoniem 764;1;;;;;;;;1
anoniem 767;;;;;;2;;;2
anoniem 775;;;;;;;1;;1
anoniem 790;;;;;;;1;;1
anoniem 792;;;;;;;1;;1
anoniem 8;;;;;;;1;;1
anoniem 804;;1;;;;;;;1
anoniem 809;;;;;;;1;;1
anoniem 82;;;;;1;;;;1
anoniem 820;;;;;;;1;;1
anoniem 827;2;;;;;;;;2
anoniem 829;;1;;;;;;;1
anoniem 833;;;;1;;;;;1
anoniem 835;;1;;;;;;;1
anoniem 842;;;;;;1;;;1
anoniem 848;;;;;;;1;;1
anoniem 850;;;;;;;1;;1
anoniem 854;;;;1;;;;;1
anoniem 856;;;;;2;;;;2
anoniem 859;;;;1;;;;;1
anoniem 86;;;;;;1;;;1
anoniem 862;;;;1;;;;;1
anoniem 864;;;;1;;;;;1
anoniem 876;;;;;;1;;;1
anoniem 882;;;;;;;1;;1
anoniem 891;;;;;;1;;;1
anoniem 896;;;;;;3;;;3
anoniem 898;;;;;;1;;;1
anoniem 90;;;;;;;1;;1
anoniem 901;;;;1;;;;;1
anoniem 91;;;;1;;;;;1
anoniem 917;;;;1;;;1;;1
anoniem 92;;;;4;;;;;4
anoniem 923;;;;1;1;;;;1
anoniem 931;;;;;1;;;;1
anoniem 936;;;;;;1;;;1
anoniem 942;;;;1;;;1;;1
anoniem 948;2;2;;;;;;;2
anoniem 951;;;;;;1;;;1
anoniem 952;;;;;;;1;;1
anoniem 954;;;;;;1;;;1
anoniem 959;;;;;;2;;;2
anoniem 960;;;1;;;;;;1
anoniem 971;;;;;1;;;;1
anoniem 979;;;;;;2;;;2
anoniem 985;;;;;;1;;;1
anoniem 997;;;;1;;;;;1
anoniem 998;;;;1;;;;;1
anoniem 999;;;;1;;;;;1
Anthurium Venlo;;;;1;;;;;1
ANWB B.V.;;;;1;;;;;1
ANWB-Rijopleiding;;;;;;4;;;4
AOG Contractonderwijs B.V.;;;;;;2;;;2
Apeldoornse Ren- en Toerist.veren. De Adelaar;;;1;;;;;;1
Apotheek A15 B.V.;;;2;;;;;;2
Aqua Flor Bloembinderij;;;;1;;;;;1
Arbode B.V.;;;;;;1;;;1
Arbody B.V.;;;;;;1;;;1
Arehbo (Service & Advies);;;;;;1;;;1
Arkiva Horeca B.V.;;;;1;;;;;1
Arnhemse Borduurcentrale B.V.;;;;;;;1;;1
Arq Psychotrauma Onderzoek;;;;;;1;;;1
Art Pattern Kalkman B.V.;;;;1;;;;;1
Art Workshop;;;;1;;;;;1
Artiestenverloningen B.V.;;;;;;;1;;1
Artihove Regina B.V.;;;;1;;;;;1
Artistic Vice;;;;;;1;;;1
Ascent Safety B.V.;;;;;;2;;;2
ASP Adventure B.V.;;;;;;;1;;1
Assemblee Sprekersbureau B.V.;;;;;;1;;;1
At Computing B.V.;;;;;;2;;;2
ATG Audiovisueel B.V.;;;;1;;;;;1
Athletic Skills Model (ASM) B.V.;;;;;;1;;;1
ATO-Bedrijfstrainingen B.V.;;;;;;2;;;2
Atos Nederland B.V.;;;;5;;;;;5
ATP Business Travel B.V.;;;;;;;;2;2
Attractie Verhuur Moonen B.V.;1;;;;;;1;;1
Aurobindo;;;1;;;;;;1
AutiTalent B.V.;;;;;4;;;;4
Auto Hobby Club 'De Peel';;;1;;;;;;1
Autorijschool Kruidhof;;;;;;1;;;1
Autoservice Van Zundert;;;;;;;1;;1
Avans Hogeschool B.V.;;;;;;3;;;3
AVC Support;;;;1;;;;;1
Avex B.V.;;;;2;;;;;2
Axitraxi B.V.;;;;;;;1;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;;;;1;;1
az media B.V.;;;;1;;;;;1
B.G.L. & Partners B.V.;;;;;;1;;;1
B.V. Auberge de Rousch;;;;1;;;;;1
B.V. Princeville Exploitatie;;;;;;1;1;;1
B.V. Sport;;;1;1;;;;;1
B.V. Tilb. Uniformkleermakerij;;;;;;1;;;1
B+B Vakmedianet B.V.;;;;;;2;;;2
Bémar B.V.;;;;;;1;;;1
Baan Bedrijfskleding B.V.;;;1;;;;;;1
Backshop B.V.;;;1;;;;;;1
Badges Unlimited;;;;1;;;;;1
Bakker Albert;;;;1;;;;;1
Bakker Brandstoffen;;;;;;1;;;1
Bakker Geluidsverhuur;;;;1;;;;;1
Bakkerij Bergman;;;;1;;;1;;1
Bakkerij Dunselman;;;;;;;1;;1
Bakkers Brigade B.V.;;;;1;;;;;1
BakWerk Holding B.V.;;;1;;;;;;1
Bakx & Meijer catering en organisatie;;;;;;;1;;1
Balans & Impuls B.V.;;;;;;1;;;1
Banketbakkerij Jan de Groot;;;;1;;;;;1
Banketbakkerij Jurjus;;;;;;;2;;2
Banketbakkerij Maison Kelder B.V.;;;;1;;;1;;1
Banketbakkerij Teurlings B.V.;;;;;;;1;;1
Barbarossa Beach B.V.;;;;;;;1;;1
Bar-Beton;;;;;;;1;;1
Barista Cafe Njoy;;;;;;2;;;2
Barthen Exploitatie Maatschappij B.V.;;;;1;;;;;1
Basko Healthcare;;;1;;;;;;1
BastaCosi;;;;;;;1;;1
Baston Service B.V.;;;;;;;1;;1
Bauerfeind Benelux B.V.;;;1;;;;;;1
Bava Verlichtingsindustrie B.V.;;;;1;;;;;1
Bax-shop.nl B.V.;;;;;1;2;1;;2
BBQ-Buffet Restaurant De Opschepper;;;;;;;1;;1
BCD Travel B.V.;;2;;;;1;;6;6
BCD Travel Nederland B.V.;1;;3;;;4;;7;7
BDUmedia;;;;1;;;;;1
Be Smarter;;;;1;;;;;1
Beachclub Copacabana B.V.;;;;;;;1;;1
Beachclub Sunrise;;;;;;;2;;2
Bedrijfs EHBO-Vereniging;;;;;;1;;;1
Bedrijfsveiligheid Tiel en Omstreken B.V.;;;;;;1;;;1
BeGlobal Relatiegeschenken;;;;;;1;;;1
Beker- en Biljarthuis Lambregts V.O.F.;;;;1;;1;;;1
BeleefBreda;;;;;;;1;;1
Beleving aan zee;;;;;;;1;;1
Belgisch Biercaf� Olivier B.V.;;;;;;;1;;1
Bellezza Nuova Lijsten & Restauratie Atelier;;;;;;1;;;1
Bemet International B.V.;;;;;;1;;;1
Ber.ver. Advis. Belonings- en Format.managem.;;;;;1;;;;1
Berends Bloemsierkunst;;;;1;;;;;1
Bergh Delisse Events;;;;;;2;;;2
Beroepsopleiding Grootkeuken Personeel;;;;;;1;;;1
Beroepsopleiding Makelaars B.V.;;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;1
Beursbegeleiding.nl;1;;;;;;;;1
Bever B.V.;;;;;;1;1;;2
BHV Centrale B.V.;;;;;;1;;;1
BHVstore.nl;;;;;;1;;;1
Bierbrouwerij De Koningshoeven B.V.;;;;;;;1;;1
BigBusinessPublishers;;;;;1;;;;1
bijzonderdruk B.V.;;;;;1;;1;;1
BijzonderStrafrecht B.V.;;;;;;1;;;1
Bilderberg Hotel Klein Zwitserland;;;;;;1;;;1
Bilderberg Hotel 't Speulderbos;;;;;;;1;;1
Bilderberg Wolfheze B.V.;;;;;;1;;;1
Bio-Racer;;;1;;;;;;1
Bipharma Diagnostics B.V.;;;1;;;;;;1
Bison Bowling;;;;;;;1;;1
bisou B.V.;;;;;;1;;;1
Bistro 't Kannetje B.V.;;;;;;;1;;1
blaasmaarop.nl;;;;;;;1;;1
Blanchard International B.V.;;;;;;4;;;4
Blankestijn & Partners B.V.;;;;;;2;;;2
Blauw Research B.V.;;;;;2;;;;2
Blauwe Vinvis, Militaire Duik Vereniging;;;;;;;1;;1
Bleekemolen Indoor Kart Planet B.V.;;;;;;;1;;1
Blickle Wielen B.V.;;;;;;1;;;1
Bloembinderij De Kelk;;;;1;;;;;1
Bloembinderij de Korenschoof;;;;1;;;;;1
Bloembinderij de Vuurdoorn;;;;1;;;;;1
Bloembinderij Koningskruid;;;;1;;;;;1
Bloemenboetiek Panhuis;;;;1;;;;;1
Bloemenboutique Nicole V.O.F.;;;;1;;;;;1
Bloemenhuis Duivenvoorden;;;;1;;;;;1
Bloemenkas Eindhoven;;;;1;;;;;1
BloemenNoord;;;;1;;1;;;1
Bloemisterij Gaal;;;;1;;;;;1
Bloemisterij Labberton B.V.;;;;1;;;;;1
Bloemsierkunst Beimer;;;;1;;;;;1
Bloemsierkunst BLOEM;;;;1;;;;;1
Bloemsierkunst De Klerk B.V.;;;;1;;;;;1
Bloemsierkunst De Roozelaar;;;;1;;;;;1
Bloemsierkunst HE-AS;;;;1;;;;;1
Bloemsierkunst 't Roosje;;;;1;;;;;1
Blom Opleidingen;;;;1;;1;;;2
Blomberg Instituut B.V.;;;;;;1;;;1
blooming hotel en conferentielandgoed B.V.;;;;;;1;;;1
BLOSSOM bloemisterij;;;;1;;;;;1
BMN Bouwmaterialen;;;;;;1;;;1
Bob B.V.;;;;;;1;;;1
Boek- en Kantoorboekhandel Plukker B.V.;;;;;;1;;;1
Boeken Bonen & Blaadjes;;;;;;1;;;1
Boeketcadeau.nl;;;;1;;;;;1
Boeketterie Binnenweg;;;;;;;1;;1
Boekhandel en Drukkerij Van den Munckhof B.V.;;;;;1;;;;1
Boekhandel Van der Velde B.V.;;;;1;;;;;1
Boels Verhuur;;;;1;1;1;;;1
Boels Verhuur Eindhoven;;;;1;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;1;6;;;6
bol.com B.V.;;;;1;;;;;1
Bollenstreekwijnen;;;;1;;;;;1
Bonanza Verhuur;1;;;;;;;;1
Bonappetit Internet Services B.V.;;;;1;;;;;1
Bookx B.V.;;;;;;;2;;2
Boom uitgevers Amsterdam B.V.;;;;;2;1;;;2
Borduren & meer;;;;1;;;;;1
Borduurstudio Ricky's Fashion;;;;;;;1;;1
Boryse B.V.;;;;;;1;;;1
Bos en Ven;;;;;;1;;;1
Bosch Rexroth B.V.;;;;;;2;;;2
Botenverhuur De Rijnstroom;;;;;;;1;;1
Bouwcenter Filippo B.V.;;;;1;;;;;1
Bouwmarkt 2015 Hoogeveen B.V.;;;;;1;;;;1
Bowlen & Zo B.V.;;;;;;;1;;1
Bowling Administratie;;;;;;;1;;1
Bowling en Party Centrum Breda;;;;;;;1;;1
Bowling- en Partycentrum Westerpark B.V.;;;;;;;1;;1
Bowling Harderwijk B.V.;;;;1;;;;;1
Bowling Kartcentrum Westfriesland B.V.;;;;;;;2;;2
Bowling Overhees B.V.;;;;;;;1;;1
Brabant Expres B.V.;;;;;;1;;;1
Braint;;;;;;1;;;1
Brandpreventie Academy B.V.;;;;;;1;;;1
Brandweertrainingscentrum Kleefse Waard B.V.;;;;;;3;;;3
Brandwijk Sales B.V.;;;;1;;;;;1
Brasserie De Drie Vissen;;;;;;;1;;1
Brasserie de Rosmolen;;;;1;;;;;1
Brasserie 't Zusje Uden B.V.;;;;;;;1;;1
Brasserie Vuur B.V.;;;;1;;;1;;1
Break-Out Gruno Park B.V.;;;;;;;1;;1
Bredemeijer Group B.V.;;;;1;;;1;;1
Brezo-Elan B.V.;;;1;1;1;1;1;;1
Bright Day B.V.;;;;;4;;;;4
Broekhuizen;;;;;;1;;;1
Brood- en Banketbakkerij Vreugdenhil B.V.;;;;1;;;;;1
Brouwerij Stollenberg;;;;1;;;;;1
Brouwhuis Breda B.V.;;;;1;;;1;;1
BROZE;;;;;;1;;;1
Bruna B.V.;;;;1;;;;;1
Bruna Marsdijk B.V.;;;;;;;1;;1
Brunel Nederland B.V.;;;;;;1;;;1
BSI Group The Netherlands B.V.;;;;;;2;;;2
Budget Tie;;;;1;;;;;1
Buijtendijk B.V.;;;1;;;1;;;1
Buitenomme;1;;;1;;;;;1
Buitensportavontuur;;;;;;;1;;1
Bullit House;;;;1;;;1;;1
Bureau Helderder;;;;;;5;;;5
Bureau Personal Development B.V.;;;;;;1;;;1
Bureau Scholing Op Maat;;;;;;1;;;1
Bureau Tromp B.V.;;;;;;3;;;3
Bureau voor Interculturele Evaluatie B.V.;;;;;;2;;;2
Bureau Zuidema B.V.;;;;;;1;;;1
BURO2010 B.V.;3;;;1;;;1;;3
Burrata Turfmarkt B.V.;;;;;;;1;;1
Business Fundamentals B.V.;;;;;;3;;;3
BUVOO;;;;;;1;;;1
Buxus Bloemenatelier;;;;1;;;1;;1
BV&T Opleiding & Advies;;;;;;1;;;1
BVO Opleidingen B.V.;;;;;;1;;;1
BVTF Bureau voor toegepaste Filosofie;;;;;;2;;;2
C & F Sporting B.V.;;;;;;;1;;1
C.I.V.A.S. B.V.;;;;;;1;;;1
Cable Waterskicenter Brabant B.V.;;;1;;;;;;1
CACI B.V.;;;;;;3;;;3
Cadeau Concepten B.V.;;;;1;;;;;1
Cadeaubonnen.nl B.V.;;;;;;;1;;1
Cadettencorps;;;;;;1;;;1
Cadmes;;;;;;1;;;1
Caesar Cons. - Ris.beoord. Chemische Stoffen;;;;;;1;;;1
Caf?? Corenmaet;;;;;;1;;;1
Café Bom dia;;;;;;;1;;1
Café Rest. Slijterij 'De Vergulde Leeuw';;;;1;;;;;1
Café Restaurant Luchthaven Lelystad;;;;;;1;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;1
Café Restaurant 't Binnenhof;;;;1;;;1;;1
Café Vlietzicht V.O.F.;;;;1;;;;;1
CafÃ©-Restaurant De Westerbouwing B.V.;;;;;;;2;;2
CAI-Advies B.V.;;;;;;4;;;4
Caiway;;;1;;;;;;1
Campie B.V.;;;;;;1;;;1
Canast B.V.;;;;;1;;;;1
Canon Nederland N.V.;;;;;;1;;;1
Caparis N.V.;;;;;2;;;;2
Capgemini Educational Services B.V.;;;;;;1;;;1
Capgemini Nederland B.V.;;;;;2;2;;;2
Cardio Solutions B.V.;;;;;;1;;;1
Care Training Group B.V.;;;;;;1;;;1
Carnavalsland;;;;;;;1;;1
Cater Concept B.V.;;;;1;;;;;1
Catering Culinair;;;;1;;;1;;2
Catering- en Partyservice J. Breet;;;;1;;;;;1
Cauberg-Huygen Raadgevende Ingenieurs B.V.;;;1;;;;;;1
Caught on Tape;;;;;;1;;;1
CCB Groep B.V.;;;;;;2;;;2
Center Parcs Netherlands N.V.;;;;;;;3;;3
Centraal Boekhuis B.V.;;;;;;1;;;1
Centraal Invorderings Bureau B.V.;;;;;;;1;;1
Central Point Nederland B.V.;;;;;;2;1;;2
Centrale Wapenhandel Dorhout Mees B.V.;;;;1;;;;;1
Centralpoint Nijmegen B.V.;;;;;1;;1;;1
Centric Netherlands B.V.;;;;;;2;;;2
Centrum voor Conflicthantering B.V.;;;;;;3;;;3
Challenge Coins;;;;2;;;;;2
Chameleon Associates B.V.;;;;;;1;;;1
Chassé Theater N.V.;;;;;;;1;;1
Chat.hot.-Rest. Havesathe De Havixhorst B.V.;;;;2;;;;;2
China Relations;;;;;;1;;;1
Chinees Indisch Restaurant Mei Wah;;;;;;;1;;1
Chocoladebezorgd;;;;1;;;;;1
Chocolaterie Alberdeco;;;;;;;1;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;1
CIMAC Nat. Members Association Netherlands;;;;;;1;;;1
Cirkel Cleaning B.V.;;;;;;1;;;1
City Tax B.V.;;;;;;;;1;1
Cleaning Limpens Maastricht B.V.;;;;;;1;;;1
CM Partners B.V.;;;;;;2;;;2
C-Mark B.V.;;;1;;;;;;1
CMB Badhoevedorp;;;;;;1;;;1
CMB Holding B.V.;;;;;;1;;;1
CMedia B.V.;;;;;;1;;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;;2;;;2
Coöperatie Topfit Fysiotherapie & Fitness UA;;;;;1;;;;1
Coöperatieve Vereniging 'Esonstad' UA;;;;;;;1;;1
COBBS Industries B.V.;;;;;;2;;;2
CollÃ© Sittard Verhuur B.V.;;;;1;;;;;1
Colonie Breda;;;;;;1;;;1
CombiCraft;;;1;;;;;;1
CommITment B.V.;2;;;;;;;;2
COMPAREX Nederland B.V.;;;;;5;;;;5
Compumatica Secure Networks B.V.;;;;;;1;;;1
Compu'Train;;;;;;2;;;2
Computrain Opleidingen;;;;;;2;;;2
Con Fuego;;;;1;;;1;;1
Conclusion Core Business B.V.;;;;;3;3;;;4
Concorde Group B.V.;;;;;;2;;;2
Conducto Opleidingen B.V.;;;;;;2;;;2
Conrad Electronic Benelux B.V.;;;1;;;1;;;1
Constructor Dexion Holland B.V.;;;;;;1;;;1
Cooking Adventure;;;;;;;1;;1
Coolblue B.V.;;;1;1;2;1;;;2
Copy Time;;;;;;1;;;1
Copyshop De Haan;;;;;;1;;;1
Core Quality B.V.;;;;;;2;;;2
Coronel Kartracing B.V.;;;;2;;;;;2
Corporate Communication Centre B.V.;;;;;;2;;;2
Cortex B.V.;;;;;;3;;;3
Cose della Vita;;;;2;;;;;2
CoThink B.V.;;;;;;2;;;2
Crazy Air;;;;;;;1;;1
Crazy Pianos B.V.;;;;;;;1;;1
Creative Kids Concepts B.V.;;;;;;1;;;1
CTG Group B.V.;;;;1;;;1;;1
Cuperus Natuursteen Bouw & Interieur B.V.;;;;1;;;;;1
D Hosting;;;;;;1;;;1
D&F Consulting B.V.;;;;;;3;;;3
D.H.T.C. Den Helder Training Centre B.V.;;;;;;2;;;2
D.I.A. Licht & Geluid;;;;;1;;;;1
D: Dreamhal;;;;;2;;;;2
Daedalus B.V.;;;;;;3;;;3
Dansschool Corma;;;;;;1;;;1
Dansstudio Linda;;;;;;;1;;1
DatAction;;;;;;1;;;1
Datema-Delfzijl B.V.;;;;;;1;;;1
Dazelaar Bewindvoering B.V.;1;;;;;;;;1
'De 4 Azen' 's-Hertogenbosch B.V.;;;;;;;1;;1
De Aalbertshoeve V.O.F.;;;;;;;1;;1
De Agile Testers B.V.;;;;;;1;;;1
De Argumentenfabriek B.V.;;;;;3;;;;3
De Baak Administratie;;;;;;1;;;1
De Baak B.V.;;;;;;1;;;1
De Baak Noordwijk B.V.;;;;;;1;;;1
De Bananenplant;;;;;;1;;;1
De Bergse Bossen;;;;;;1;;;1
de Bierderij;;;;;;;1;;1
De Bloemenplantage B.V.;;;;1;;;;;1
De Blomster;;;;1;;;;;1
De Bonte Bever;;;;1;;;;;1
De Bootsmannen B.V.;;;;;;1;1;;1
De Brasserij Partycentrum;;;;;;;1;;1
De Carrièrebus B.V.;;;;;2;;;;2
De Correspondent B.V.;;;;;;;1;;1
De Dames IJssalon & Chocolaterie;;;;1;;;1;;1
De Dukdalf - MBSOV;;;;1;;1;2;;2
De Dwarsdenkerij;;;;1;;;;;1
De Eerste Verdieping;;;;;;1;;;1
De Efteling B.V.;;;;;;;2;;2
De Gouden Ton;;;;;;;1;;1
De Graaf Intersport B.V.;;;;;;1;;;1
De Grote Keizer B.V.;;;;;;;1;;1
De Hazelaar Art Supplies;;;;;;1;;;1
De Heidebrouwerij B.V.;;;;;;;1;;1
De heren van de Rechter B.V.;;;;;;;1;;1
De Japanse Watertuin B.V.;;;;1;;;1;;1
De Jongens uit Schoorl;;;;;;;1;;1
De Kleine Wereld;;;;;;1;;;1
De Kleyne Sint Jacob;;;;;;;1;;1
De Kookfabriek Utrecht B.V.;;;;;;;1;;1
De Kurenpolder B.V.;;;;;;;1;;1
De Leemskuilen Uden B.V.;;;1;;;;;;1
De Levensboom;;;;;;1;;;1
De Librije B.V.;;;;1;;;;;1
De Lisdodde;;;;1;;;;;1
De Meesterproef;;;;1;;;;;1
De Mobiele Filmcrew;;;;1;;;;;1
De Nationale Taptoe;1;;;;;1;;;2
De Nieuwe Yogaschool B.V.;;;;;;3;;;3
De Pastorij;;;;1;;;1;;1
de Persgroep Nederland B.V.;;;;1;;1;;;1
De Prins Buren V.O.F.;;;;1;;;;;1
De Reuselhoeve B.V.;;;;;;;1;;1
De Rosier Vught B.V.;;;;;;;1;;1
De Rotterdam B.V.;;;;;;;1;;1
De Sallandse Berg B.V.;;;;;;;1;;1
De Schenker B.V.;;;;1;;;;;1
De Schildkamp B.V.;2;;;;;;;;2
De Smickel Pannenkoeken Boerderij B.V.;;;;1;;;;;1
De Stickerkoning B.V.;;;;;;;1;;1
De Stijlacademie voor kleur & kleding;;;;;1;;;;1
De Stolp B.V.;;;;;;;1;;1
De Utrechtse Haven B.V.;;;;;;;1;;1
De Uytdhaaging;;;;;;1;;;1
De Watertuin Schiedam B.V.;;;;1;;;;;1
De Wilgenweard;;;;;;;1;;1
De Wolf Maritime Safety;;;;;;1;;;1
De Ysbreker B.V.;;;;;;;1;;1
De Zuiderzon V.O.F.;;;;;;1;;;1
Debatacademie;;;;;;1;;;1
Deco Sign & Code B.V.;;;;;;;1;;1
Deen Winkels B.V.;;;;1;;;;;1
Defenture B.V.;;;;;;2;;;2
Delft Congress Support B.V.;;;;;;1;;;1
Delicio B.V.;;;;;;;1;;1
Deloitte Accountants B.V.;;;;;3;;;;3
Deloitte Consulting B.V.;;;;;;1;;;1
Deloitte Group Support Center B.V.;;;;;;2;;;2
Delta International Promotioneel B.V.;1;;;3;1;;1;;3
Delta International Uniformuitrustingen B.V.;;;;1;1;;;;1
Delta Park Neeltje Jans B.V.;;;;;;;1;;1
DELTA Safety Training;;;;;;2;;;2
Den Besten Kerst- en Relatiegeschenken B.V.;;;;1;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;;;4;;;1;;;4
Denios B.V.;;;;;;1;;;1
Denk Producties B.V.;;;;;;2;;;2
Dental Union B.V.;;;;1;;;;;1
Depasse Organisatie & Informatie;;;;1;;;;;1
Dept Holding B.V.;;;;;1;;;;1
Dertronics B.V.;;;;;;1;;;1
Destiny Management Consultancy;;2;;;;;;;2
Detafors B.V.;;;;;2;;;;2
Detron ICT Rental Solutions;;;;;;1;;;1
Deventrade B.V.;;;4;;;1;;;4
Devon India-NL B.V.;;;;;;1;;;1
DGM Netherlands B.V.;;;;;;1;;;1
Dialoc ID Products B.V.;;;;;;1;;;1
DialogueTrainer B.V.;;;;;;2;;;2
Dickens Horecabedrijven B.V.;;;;;;1;1;;1
Diederik Shirts;;;1;;;;;;1
DiEx B.V.;;;;;;2;;;2
Digital Action;;;;;;2;;;2
Digital Revolution B.V.;;;;;;2;;;2
Digitransfer B.V.;;;;1;;;;;1
Dijkhuizen Verhuurt;;;;1;;;;;1
Dijkstra-Piest B.V.;;;;;1;;1;;1
Dinee Cafe De Kempen;;;;;;;1;;1
DIOR Opleidingen;;;;;;4;;;4
Dirksen Bedrijfsopleidingen B.V.;;;;;;4;;;4
Dirksen Opleidingen B.V.;;;;;;1;;;1
DISC Factor B.V.;;;;;;1;;;1
Discountoffice.nl B.V.;;;;;;1;;;1
Distinguished;;;;;;2;;;2
Divoza Ruitersport B.V.;;;;;1;;;;1
DK Horeca B.V.;;;;1;;;;;1
DML Sound V.O.F.;;;;;;1;;;1
D'n Oesterham;;;;;;;1;;1
DNV GL Business Assurance;;;;;;4;;;4
DNV GL Netherlands B.V.;;;;;;2;;;2
Doenederland.nl B.V.;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;1;1;;;;;1
Dolfi Laser;;;;1;;;1;;1
Donconsult;;;;1;;;;;1
