Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
&Maes B.V.;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
.bos ontwikkeling in organisatie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1e Arnhemse Wegen-/Sleepdnst v Amerongen B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
21 The Netherlands;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2CoolMonkeys B.V.;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
4KELVIN;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
7AM B.V.;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2
A. Booth B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.F.J. Savenije;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
A.V. Webwinkels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aanbestedingskalender B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Aannemersbedrijf J. ter Horst;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemersbedrijf Van de Sande B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abeln Advocaten;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABF Research B.V.;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
Aboma;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Abonnementenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Academy for Leadership B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accenture B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;4
Acmaa Group B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Acteursbureau Kapok B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;2
Actys Wonen B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
AD NieuwsMedia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Adelijn van Huis Kunstkijken;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adventure Vlaardingen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advies Talent B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Adviesbureau Di-Mensie B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aeclipse;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aenova B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1
Aeres Trainingscentrum B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
