Handelsnaam;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
!pet Groningen;;;;;;;;1;;1
123Accu B.V.;;1;;;;;;1;;1
123TOP;;;;;1;;;;;1
1-Line Safety & Security Intermediairs B.V.;;2;;;;;;;;2
2Essence;;;;;;;;1;;1
3K Horeca B.V.;;;;;1;;;;;1
3M Nederland B.V.;;4;;;;;1;4;;5
4b-Plus B.V.;;;;;;;;1;;1
7AM Den Haag B.V.;;;;;1;;;;;1
A & P Investments B.V.;2;1;1;1;1;1;3;2;;4
A. Beverwijk en Zonen B.V.;;;;;;;1;;;1
A. Kentie & Zoon;;;;1;;;;;;1
A. Rietveld Boekbinderij;;;;;1;;;;;1
A. Timmerman's IJzerhandel B.V.;;;;;;;;1;;1
A. Tufi t.h.o.d.n. Supervlaai;;;;;1;;;;;1
A. van Gaal B.V.;;;;;1;;;;;1
A. van Helden Relatiegeschenken B.V.;;;;;2;;;1;;2
A.M.I. Complete Project Interieurs;;;;;;;2;1;;2
A.P.S. Nieuwegein;1;;;1;1;;;;;1
Aaaaha! The Actor Factory B.V.;;;;;1;;;;;1
AAB Beveiligingen B.V.;;2;;;;;;;;2
aadesign;;1;;;;;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;1;;1
Aannemersbedrijf M.J. Teunissen B.V.;;;;;;;1;1;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;1;;;;;3;1;;3
Aannemingsmaatschappij P.A. Wiersma B.V.;;;;;;;1;;;1
AAP Klimsportspecialist B.V.;;;;;;;;1;;1
AAS Opleiding en Training;;2;;;;;;;;2
Abalco Service B.V.;;;1;;;;;;;1
ABC American Buffet Corner B.V.;1;;;;;;;;;1
ABC Winkelinrichting V.O.F.;;;;;;;;1;;1
Abiom Communication Systems (A.C.S.) B.V.;;;;;;;;4;;4
ABO Opleidingen V.O.F.;;1;;;;;;;;1
About Time Institute People Investors (ATIP);;;;;;;;;1;1
Abrikoos Utrecht B.V.;;;;;1;;;;;1
Absoluta Food and Facilities B.V.;1;;;;;;;;;1
Absolute Delicious;;;;;1;;;;;1
ABV Haukes Inspectiediensten B.V.;;;;;;;1;;;1
Acato;;;;;;;1;;;1
Acces Toegangstechniek;;;;;;;1;;;1
Accor Hospitality Nederland N.V.;;;;;1;;;;;1
Achterkamp Bedrijfsopleidingen B.V.;;1;;;;;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;1;;;;;;;;;1
ACM Opleidingen B.V.;;1;;;;;;;;1
ACN Chemical Water Treatment B.V.;;;;;;;1;;;1
