Leverancier;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
&Samhoud Nederland B.V.;;2;;;2;;;2
2Participate Deekens Advies B.V.;;;;;1;;;1
5hart-IT Opleidingen B.V.;;;;;1;;;1
A.J.M. van der Horst;;3;;;;;;3
A5tien B.V.;;;;;1;;;1
Aaaaha! The Actor Factory B.V.;;1;;;;;;1
Aanmelder.nl B.V.;;;;;1;;;1
Abbey Tours ICIC20;;;;;1;;;1
ABC van Meditatie;;;;;1;;;1
Absoluta B.V.;;;1;;;;;1
Absoluta Food and Facilitie BV;1;;;;;;;1
Academic Software Consulting;;;;;1;;;1
Academie Amsterdam;;;;;1;;;1
Accelerate in Experience;;;;;2;;;2
Acteursbureau Kapok B.V.;;;;;2;;;2
Add Fuel Training & Coaching;;;;;2;;;2
AdFoPack;;;;;1;;;1
Advies en Begeleiding Een Helder Hoofd;;;;;1;;;1
Agile Scrum Group B.V.;;;;;1;;;1
Ai-Opener;;;;;1;;;1
AKO B.V.;;;1;;;;;1
Albron Nederland B.V.;;;1;;;;;1
Amaze Escape Events;;;1;;;;;1
Ambius B.V.;;;2;;;;;2
Amplooi;;2;;;;;;2
Andermanskeuken;;;1;;;;;1
Anita Verdonk consultancy;;;;;3;;;3
Anoniem_VWS_1;;1;;;;;;1
Anoniem_VWS_3;;;;;;;1;1
Anoniem_VWS_4;;;;;1;;;1
APG Service Partners B.V.;;1;;;;;;1
ARA Groep B.V.;;;;2;;;;2
Architectuurcentrum Aorta;;;1;;;;;1
Ardis Opleidingen B.V.;;;;;1;;;1
Ardis Organisatieontwikkeling B.V.;;1;;;2;;;2
Artige B.V.;;;1;;;;;1
ArtiWorld;;;1;;;;;1
Assist Verzuim Utrecht B.V.;;;;1;;;;1
Ataraxia Lichaamswerk;;1;;;;;;1
Atelier Creatief Biej de Tant;;;1;;;;;1
Athene Palace B.V.;;;1;;;;;1
Atos Nederland B.V.;;1;;;1;;;1
ATP Business Travel B.V.;;;;;;;1;1
ATP Den Haag;;;;;;;1;1
August;;;1;;;;;1
Aurora ATC;;2;;;;;;2
Avanteers B.V.;;;;;1;;;1
AWAREWAYS;;;;;1;;;1
B.G.L. & Partners B.V.;;;;;1;;;1
B+B Vakmedianet B.V.;;;;;1;;;1
B2Bakery B.V.;;;1;;;;;1
Baars Consultancy;;2;;;;;;2
Babel B.V.;;;;4;3;;;5
Bank.bak. Chocolaterie van Straaten V.O.F.;;;1;;;;;1
Banketbakkerij Lentz;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;;;;;;1
Banketbakkerij, Chocolaterie Van Ingen;;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;;1
Barlot B.V.;;;1;;;;;1
Beach Club WOW;;;1;;;;;1
Beachclub Copacabana B.V.;;;1;;;;;1
Beachclub Indigo B.V.;;;1;;;;;1
BedrijfsMotivaties B.V.;;;;;1;;;1
Belevenisboerderij Oosthoek;;;1;;;;;1
Berenschot B.V.;;;;;1;;;1
Berenschot Groep B.V.;;;;1;;;;1
Berg & Boer Coaching en Training;;;;;1;;;1
Berlage B.V.;;;1;;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;1
Betalingen Binnenland;;;;;1;;;1
Bigalletshop;;;1;;;;;1
Bij Kees De food specialist;1;;;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;1
Bilthoven Biologicals B.V.;;1;;4;;;;4
Biocheck B.V.;;2;;;;;;2
BioMed Central Limited;;1;;;;;;1
BitesWeLove B.V.;1;;1;;;;;1
BK Onderwijsadvies;;1;;;;;;1
BLEND leren;;;;;1;;;1
Blended Communication B.V.;;;;;2;;;2
Bloemenboutique Fonville;;;2;;;;;2
Blommestein Groep B.V.;;;;;1;;;1
Bloomgift B.V.;;;1;;;;;1
BLOSSOM bloemisterij;;;1;;;;;1
BloteVoetenPark;;;1;;;;;1
BlueFlow Management B.V.;;;;;1;;;1
BMC Advies B.V.;;;;2;1;;;2
Bme Utrecht B.V.;1;;1;;;;;1
Boerderij Dichtbij;;;1;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;3;;;3
Bold Move B.V.;;;;1;;;;1
Boulevard Utrecht B.V.;;;1;;;;;1
Bouwen met Bob;1;;;;;;;1
Bowling Scheveningen B.V.;;;1;;;;;1
Brain Box Mediatraining B.V.;;;;;1;;;1
Brasserie Mijn Streek B.V.;;;1;;;;;1
Brasserie Soho B.V.;;;1;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;1
Brasserie Vrienden;;;1;;;;;1
Brasserie WW;;;1;;;;;1
Break Free Fun Company;;;1;;;;;1
Bright Events;;;1;;;;;1
Brockmeyer Vacaturemarketing B.V.;;;;;1;;;1
Broers Utrecht B.V.;1;;1;;;;;1
Bruinsma Holding B.V.;;;;;1;;;1
BSA Schaderegeling B.V.;;1;;1;;;;1
BSI Group The Netherlands B.V.;;;;;1;;;1
Bubbles and Blessings B.V.;;;1;;;;;1
Buckaroo B.V.;;;;;1;;;1
BUNK Hotel Utrecht B.V.;;;1;;;;;1
Bureau Bartels B.V.;;1;;;;;;1
Bureau Dons;;;;1;;;;1
Bureau HanSei;;1;;;;;;1
Bureau Spraakwater;;;;;1;;;1
Bureau Ten Napel;;;;2;;;;2
Bureau Tromp B.V.;;;;;1;;;1
Bureau Veritas Industrial Services;;;;;1;;;1
Bureau Vogelzang;;;;;1;;;1
BUREAU VOLZIN B.V.;;1;;;;;;1
Bureau Zuidema B.V.;;;;;2;;;2
Bureau Zuidema Rotterdam B.V.;;;;;2;;;2
Bureau Zuijdgeest Beter Schrijven;;;;;1;;;1
BureauTaal B.V.;;;;;1;;;1
Burgers Beheer B.V.;;;;;1;;;1
Burgundy Street B.V.;1;;1;;;;;1
BuroEvent;;;1;;;;;1
Burrata Turfmakt B.V.;;;1;;;;;1
Burrata Turfmarkt B.V.;;;1;;;;;1
BVO Opleidingen B.V.;;;;;2;;;2
BVP Organisatie-advies;;;;;1;;;1
Cadeau Concepten B.V.;1;;2;;;;;2
Café de BieB;;;1;;;;;1
Café Restaurant Rootz B.V.;;;1;;;;;1
Café van Miltenburg;;;2;;;;;2
Café Vredenburg;;;1;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;1
Café-Restaurant Amier;;;1;;;;;1
Capgemini Educational Services B.V.;;;;;1;;;1
Capgemini N.V.;;;;;1;;;1
Capgemini Nederland B.V.;;;;;2;;;2
Capgemini Nederland BV;;;;;1;;;1
Capo Cucina;;;1;;;;;1
Carochange;;;;1;;;;1
Caseon;;;;;1;;;1
Catering Utrecht B.V.;1;;;;;;;1
CAZUL - Management Consulting;;;;;1;;;1
Centrum Heartwork;;;;;1;;;1
Centrum Integrale Therapie;;;;1;;;;1
Centrum Media & Gezondheid (CMG);;1;;;;;;1
Chiyoda Corp. The Hague Representative Office;;;;1;;;;1
Chocoladebezorgd;;;1;;;;;1
Chocoladeverkopers;;;1;;;;;1
Chocolate Company Retail B.V.;;;1;;;;;1
Chocolaterie Pierre;1;;;;;;;1
Chocstar B.V.;;;1;;;;;1
Choy en Partners Holding B.V.;;;;;1;;;1
Chris Dorna e-Learning;;;;;1;;;1
Christelijke Hogeschool Windesheim;;;;;2;;;2
Ciao! Ciao! B.V.;;;1;;;;;1
Clockwork Egg;;;1;;;;;1
Cloose;;;1;;;;;1
CNV Jongeren;;;;;1;;;1
CoÃ¶peratie De Betekenaar UA;;;;;1;;;1
Coaching Nederland B.V.;;;;;1;;;1
Cognicum B.V.;;;;;1;;1;1
Coincide B.V.;;;;;;;1;1
Collective Talent Company;;;;;1;;;1
Common Eye B.V.;;1;;;;;;1
Compabox B.V.;;;1;;;;;1
Compabox BV - Digiborrel.nl;1;;;;;;;1
Company Sandwich;;;1;;;;;1
Compass Group Nederland B.V.;;;1;;;;;1
Compass Group Nederland Holding B.V.;;;2;;;;;2
Competence Factory;;;;;1;;;1
Compu'Train;;;;;1;;;1
Concept Heidelberg;;;;;1;;;1
Concept Heidelberg GmbH;;;;;2;;;2
Congres- en Organisatiebureau Interactie B.V.;;;;;1;;;1
Connectis WE.ID;;;;1;;;;1
Connexxion Taxi Services B.V.;;;;;;;1;1
Content Strategy B.V.;;;;;1;;;1
Cookcoaching;;;;;1;;;1
Coolblue B.V.;;1;;;;;;1
Coöp. Land. Beheer Prenatale Screening U.A.;;5;;;;;;5
Corinor Organisatieontwikkeling B.V.;;;;;1;;;1
CQT Zorg & Gezondheid B.V.;;;;;1;;;1
Croissanterie Antoine Bezorging-Catering B.V.;;;1;;;;;1
Cross Media Nederland B.V.;;;;1;;;;1
Ctac B.V.;;;;;1;;;1
Culpepper B.V.;;;1;;;;;1
D3P Adviseurs;;;;;1;;;1
Dagelijks Lekker B.V.;;;1;;;;;1
DAMN, HONEY;;;;;1;;;1
DataExpert B.V.;;;;;1;;;1
De ADHDacademie;;1;;;;;;1
De Baak Administratie;;;;;3;;;3
De Baak B.V.;;;;;1;;;1
De Bel & Co;;;;;1;;;1
De Berenkuil B.V.;;;1;;;;;1
De Bilthuijsen;;;1;;;;;1
De Borrel B.V.;;;1;;;;;1
De Branding Utrecht B.V.;;;1;;;;;1
De Eekhoeve;1;;;;;;;1
De Eetmevrouw;;;;;1;;;1
De Feed Fabriek;1;;2;;;;;2
De Galan Groep B.V.;;;;;2;;;2
De Griffel V.O.F.;;;1;;;;;1
De Hart Advies, Coaching & Ondersteuning;;;;;1;;;1
De Javaanse Vlam;;;1;;;;;1
de Koekfabriek Wageningen B.V.;;;1;;;;;1
De Kookfabriek Utrecht B.V.;1;;;;;;;1
De Korenbeurs Utrecht B.V.;;;1;;;;;1
De Nonnen in Vught;;;;;2;;;2
De Pomp Utrecht;1;;;;;;;1
De Roos Bloemenspeciaalzaak;2;;;;;;;2
De Succesvolle Introvert;;;;;1;;;1
De Tombe Consultancy B.V.;;;;;1;;;1
De tuin van de smid;;;1;;;;;1
De Utrechtse Watertoren B.V.;;;1;;;;;1
De Veldkeuken Bakkerij & Keuken B.V.;;;1;;;;;1
De Winkel van Sinkel B.V.;;;1;;;;;1
Dechesne & Boertje Business Events B.V.;;;;;1;;;1
Dekkers & van Amersfoort B.V.;;;1;;;;;1
Delft Congress Support B.V.;;;;;2;;;2
DeLimes Advies;1;;;;;;;1
Deloitte Accountants B.V.;;2;;;;;;2
Depok B.V.;;;1;;;;;1
Development Works;;;;;1;;;1
DIA Europe B.V.;;;;;1;;;1
Diakonessenhuis Utrecht;;1;;;;;;1
Die Akademie Fresenius GmbH;;;;;1;;;1
Diemen & Van Gestel Select B.V.;;;;2;;;;2
Diemen & Van Gestel Talentontwikkeling;;1;;;;;;1
Diner Thuis;;;1;;;;;1
Direction Briefings for Business Leaders;;;;;1;;;1
D'Javas;;;1;;;;;1
DNV GL France;;;;;1;;;1
Domstad Evenementen B.V.;1;;;;;;;1
Down Under BEACH B.V.;;;1;;;;;1
