objectid;url;domein;proces;ntig_nummer;x_coordinaat;y_coordinaat;plaatsaanduiding;plaatsnaam;serienummer_modem;modemsoftwareversie;modemhardwareversie;offsetmodem;wakeupinterval;maaiveldhoogte;referentievlak;sb_bovenkant;sb_onderkant_peilbuis;compensatieoffset;onderkant_filter;bovenkant_filter;bovengrens_weergave;ondergrens_weergave;compensatiestraal;offset_tcn;plaatsing_meetpunt;lengte_peilbuis;serienummer_logger;meetinterval;zendstart;detailfoto;overviewfoto;kenmerkblad;dwarsprofiel;aanmeetschets;geo_shape;geo_point_2d
1;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B-01;eindhoven;ESENSE_PEILBUIS_MANUAL;B-01;158053.0;386603.0;HOV3 A. Fokkerweg;Eindhoven;--;--;--;--;--;1849;cmNAP;1881.0;1310.0;1381.0;1310.0;1410.0;1881.0;1381.0;5;1381.0;;571;AU673;60;--;--;--;--;--;--;"{""coordinates"": [5.431137248171715, 51.46848092167951], ""type"": ""Point""}";51.46848092167951, 5.431137248171715
2;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B-01A_F1;eindhoven;ESENSE_PEILBUIS_MANUAL;B-01A_F1;158053.0;386603.0;HOV3 A. Fokkerweg;Eindhoven;--;--;--;--;--;1849;cmNAP;1875.0;600.0;1275.0;600.0;700.0;1875.0;1275.0;5;1275.0;;1275;AU243;60;--;--;--;--;--;--;"{""coordinates"": [5.431137248171715, 51.46848092167951], ""type"": ""Point""}";51.46848092167951, 5.431137248171715
6;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B-02A-F2;eindhoven;ESENSE_PEILBUIS_MANUAL;B-02A-F2;158181.0;386776.0;HOV3 A. Fokkerweg;Eindhoven;--;--;--;--;--;1836;cmNAP;1830.0;300.0;1236.0;300.0;400.0;1830.0;1236.0;5;1236.0;;1536;AU579;60;--;--;--;--;--;--;"{""coordinates"": [5.432980943454185, 51.47003524539279], ""type"": ""Point""}";51.47003524539279, 5.432980943454185
13;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51B1833;eindhoven;ESENSE_PEILBUIS_MANUAL;B51B1833;156608.0;387670.0;Achtseweg Noord nabij rotonde;Gemeente Eindhoven;--;--;--;--;--;1813;cmNAP;1822.0;1512.0;1514.0;1502.0;1602.0;1822.0;1514.0;-1;1514.0;2007-10-22;320;BN542;720;--;B51B1833_d.jpg;B51B1833_o.jpg;--;--;--;"{""coordinates"": [5.410346173505479, 51.478077839472945], ""type"": ""Point""}";51.478077839472945, 5.410346173505479
24;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51D2047;eindhoven;ESENSE_PEILBUIS_MANUAL;B51D2047;157608.0;386482.0;Achtseweg Noord (v.d Heijden);Gemeente Eindhoven;--;--;--;--;--;1826;cmNAP;1821.0;1487.0;1519.0;1477.0;1577.0;1821.0;1519.0;-1;1519.0;1999-03-15;344;56468;720;--;B51D2047_d.jpg;B51D2047_o.jpg;--;--;--;"{""coordinates"": [5.424732059362772, 51.46739554526566], ""type"": ""Point""}";51.46739554526566, 5.424732059362772
25;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51D2048_001;eindhoven;ESENSE_PEILBUIS_MANUAL;B51D2048_001;158142.0;387030.0;Haspelslaan, Kees 9 (plantvak);Gemeente Eindhoven;--;--;--;--;--;1760;cmNAP;1756.0;1564.0;1562.0;1552.0;1756.0;1756.0;1562.0;-1;1562.0;1999-03-15;204;BM175;720;--;B51D2048_001_d.jpg;B51D2048_001_o.jpg;--;--;--;"{""coordinates"": [5.432421913820298, 51.47231858168283], ""type"": ""Point""}";51.47231858168283, 5.432421913820298
27;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51D2049_001;eindhoven;ESENSE_PEILBUIS_MANUAL;B51D2049_001;156369.0;386508.0;Oirschotsedijk thv Mispelhoef;Gemeente Eindhoven;--;--;--;--;--;1876;cmNAP;1868.0;1758.0;1758.0;1756.0;1856.0;1868.0;1758.0;-1;1758.0;1999-05-31;111;R0886;720;--;B51D2049_001_d.jpg;B51D2049_001_o.jpg;--;--;--;"{""coordinates"": [5.40690132408069, 51.46763366769069], ""type"": ""Point""}";51.46763366769069, 5.40690132408069
28;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51D2049_002;eindhoven;ESENSE_PEILBUIS_MANUAL;B51D2049_002;156369.0;386508.0;Oirschotsedijk thv Mispelhoef;Gemeente Eindhoven;--;--;--;--;--;1876;cmNAP;1856.0;1412.0;1402.0;1364.0;1464.0;1856.0;1402.0;-1;1402.0;1999-06-14;492;R0900;720;--;B51D2049_002_d.jpg;B51D2049_002_o.jpg;--;--;--;"{""coordinates"": [5.40690132408069, 51.46763366769069], ""type"": ""Point""}";51.46763366769069, 5.40690132408069
31;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51D2052;eindhoven;ESENSE_PEILBUIS_MANUAL;B51D2052;158691.0;381236.0;Eimerick 54 (voorkant);Gemeente Eindhoven;--;--;--;--;--;1855;cmNAP;1843.0;1574.0;1575.0;1561.0;1661.0;1843.0;1575.0;-1;1575.0;2014-12-19;282;S7655;720;--;B51D2052_d.jpg;B51D2052_o.jpg;--;--;B51D2052_AS.jpg;"{""coordinates"": [5.440263021649896, 51.42023492369615], ""type"": ""Point""}";51.42023492369615, 5.440263021649896
34;https://grondwater.webscada.nl/eindhoven/index.php?loc_code=B51D2055;eindhoven;ESENSE_PEILBUIS_MANUAL;B51D2055;159036.0;380829.0;Geleenhof 15 (zijkant);Gemeente Eindhoven;--;--;--;--;--;1834;cmNAP;1822.0;1522.0;1549.0;1548.0;1648.0;1822.0;1549.0;-1;1549.0;1999-02-10;274;P1326;720;--;B51D2055_d.jpg;B51D2055_o.jpg;--;--;--;"{""coordinates"": [5.44521824540363, 51.416574159385945], ""type"": ""Point""}";51.416574159385945, 5.44521824540363
