Rijlabels;6110 - Aanschaf hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
BIJ12;;;;;2;2
Buyitdirect.com B.V.;;;;2;1;2
Cannock Chase;;;;1;;1
Centralpoint Amstelveen B.V.;2;;;4;;4
Centralpoint Nijmegen B.V.;1;;;2;;2
Cimsolutions;;;4;;;4
CM.COM Netherlands B.V.;;;;2;;2
COMPAREX Nederland B.V.;;;;;2;2
Complex E-Techniek B.V.;;;;;1;1
De Staffing Groep Nederland B.V.;;;7;;2;7
Fast Flex B.V.;;;5;;;5
HeadFirst B.V.;;;7;;;7
InsightsWorld B.V.;;;;;1;1
ItaQ;;;6;;;6
KPN B.V.;;;;1;;1
LINKIT B.V.;;;7;;;7
Orcavoice B.V.;;;;1;;1
Ordina Nederland B.V.;;;5;;;5
Protinus IT B.V.;3;;2;6;1;6
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;1;1
Siteimprove B.V.;;;;;2;2
Sogeti Nederland B.V.;;;6;;;6
Staples Nederland B.V.;;;;1;;1
T&T Compet&t.b.v.;;;;;1;1
UnifiedPost B.V.;;;;;1;1
Vodafone;;;;5;;5
Webservices.nl B.V.;;;;;1;1
AB Sciex Netherlands B.V.;1;;;;;1
Qiagen Benelux B.V.;;;;;2;2
DataExpert B.V.;2;;;;2;2
Schippers IT B.V.;;;;1;;1
Life Technologies International B.V.;1;;;;;1
Waters Chromatography B.V.;;;;;1;1
Yokogawa Europe Solutions B.V.;;;;;1;1
Thermo Fisher Scientific B.V.;;;;;1;1
PerkinElmer Nederland B.V.;;;;;1;1
Agrovision B.V.;;;;;1;1
BioAware SA N.V.;;;;;3;3
CLS-Collecte Localisation Satellites;;;;4;;4
PointLogic HR B.V.;;;;;2;2
CHEMDOX GmdH;;;;;1;1
Rotfox;;;;;1;1
Quintiq Applications B.V.;;;;;1;1
Inkesta B.V.;;1;;;;1
Yes Telecom Netherlands B.V.;;;;1;;1
Biomatters Ltd;;;;;2;2
Paraben Corporation;;;;;1;1
AST Marine Sciences Ltd;;;;1;;1
Trots Solutions B.V.;;;;1;;1
Bert Petersen Consultancy;;;;;1;1
Stichting NatuurBank Nederland;;;;;1;1
Appical B.V.;;;;;2;2
Improven B.V.;;;5;;;5
Coosto Holding B.V.;;;;;1;1
Schiphol Telematics B.V.;;;;1;;1
Observator Instruments B.V.;;;;1;;1
R-Biopharm AG;;;;;1;1
Centenna Electronics;;;;1;;1
Arrow Holding B.V.;;;;;1;1
Schiphol Connect B.V.;;;;1;;1
iTZiT B.V.;;;;;1;1
Deloitte Belastingadviseurs B.V.;;;;;3;3
Inmarsat Solutions B.V.;;;;4;;4
Eindtotaal;4;1;8;7;5;8
