FID,id,rmi,lokatie,watersyste,wgs84_x_gm,wgs84_y_gm,type,wgs84_x_dg,wgs84_y_dg,se_anno_cad_data,gdb_geomattr_data,shape
meetnet.1,1,A121,A12 Platform,Noordzee,55 25 00.0N,03 49 00.0E,platform,55.416667,3.816667,,,POINT (551697.6112000002 6141462.646500001)
meetnet.2,1a,A122,A12 Platform - boei,Noordzee,55 25 00.0N,03 49 00.0E,boei,55.416667,3.816667,,,POINT (551697.6112000002 6141462.646500001)
meetnet.3,2,ANA1,Anasuria,Noordzee,57 15 17.1N,00 48 05.9E,platform,57.25475,0.801639,,,POINT (367381.5673000002 6347884.3796999995)
meetnet.4,4,D151,D15 Platform,Noordzee,54 19 00.0N,02 56 00.0E,platform,54.316667,2.933333,,,POINT (495663.2419999996 6018757.1669)
meetnet.5,5,F161,F16 Platform,Noordzee,54 07 00.0N,04 01 00.0E,platform,54.116667,4.016667,,,POINT (566454.4908999996 5996979.9296)
meetnet.6,6,F31,F-3 Platform,Noordzee,54 51 00.0N,04 43 00.0E,platform,54.85,4.716667,,,POINT (610216.4053999996 6079449.983899999)
meetnet.7,7,J61,J6 Platform,Noordzee,53 48 59.9N,02 57 00.0E,platform,53.816639,2.95,,,POINT (496708.13680000044 5963122.3016)
meetnet.8,8,K131/K132,K13-Alpha Platform,Noordzee,53 13 01.2N,03 13 08.1E,platform,53.217,3.218917,,,POINT (514617.8245000001 5896432.7974)
meetnet.9,8a,K133,K13-Alpha Platform - boei,Noordzee,53 12 17.2N,03 13 10.1E,boei,53.204785,3.219475,,,POINT (514659.2527999999 5895074.048)
meetnet.10,9,K141,K14 Platform,Noordzee,53 16 00.0N,03 38 00.0E,platform,53.266667,3.633333,,,POINT (542240.6288000001 5902122.8048)
meetnet.11,10,P111,P11 Platform,Noordzee,52 21 31.0N,03 20 29.0E,platform,52.358611,3.341389,,,POINT (523248.7701000003 5800980.0142)
meetnet.12,11,L91,L9 Platform,Noordzee,53 37 00.0N,04 58 00.0E,platform,53.616667,4.966667,,,POINT (630088.0048000002 5942670.9300999995)
meetnet.13,12,Q11,Q1 Platform (Hoorn),Noordzee,52 55 31.2N,04 09 01.3E,platform,52.925333,4.150361,,,POINT (577332.8586999997 5864583.9222)
meetnet.14,12a,Q12,Q1 Platform (Hoorn) - boei,Noordzee,52 55 31.2N,04 09 01.3E,boei,52.925333,4.150361,,,POINT (577332.8586999997 5864583.9222)
meetnet.15,13,EPL1/EPL2,Europlatform,Noordzee,51 59 52.1N,03 16 30.3E,platform,51.997806,3.275083,,,POINT (518885.50380000006 5760829.913699999)
meetnet.16,13a,EPL3,Europlatform - boei,Noordzee,51 59 52.1N,03 15 59.3E,boei,51.997808,3.266466,,,POINT (518293.9138000002 5760827.9333)
meetnet.17,14,LEG1/LEG2,Lichteiland Goeree,Noordzee,51 55 32.7N,03 40 11.5E,platform,51.92575,3.669861,,,POINT (546062.1157 5752991.9395)
meetnet.18,15,SPY1,IJgeul Stroommeetpaal,Hollandse kust,52 27 49.5N,04 31 02.5E,meetpaal,52.46375,4.517361,,,POINT (603084.7242 5813702.3541)
meetnet.19,16,SPM1,Maasmond Stroommeetpaal,Hollandse kust,51 59 32.0N,04 00 29.9E,meetpaal,51.992222,4.008306,,,POINT (569231.892 5760653.1336)
meetnet.20,17,DWE1,Eurogeul DWE,Noordzee,51 56 54.0N,03 00 01.0E,boei,51.948333,3.000278,,,POINT (500019.1069 5755291.6874)
meetnet.21,18,E51,Eurogeul E5,Noordzee,51 59 04.0N,03 25 36.0E,boei,51.984444,3.426667,,,POINT (529301.0088999998 5759393.9855)
meetnet.22,19,E131,Eurogeul E13,Noordzee,52 00 33.1N,03 44 30.5E,boei,52.009194,3.741806,,,POINT (550914.6094000004 5762320.5594999995)
meetnet.23,20,IJGL (IJ7),IJgeul,Noordzee,52 28 51.2N,04 19 58.7E,boei,52.480889,4.332972,,,POINT (590523.3597999997 5815361.5033)
meetnet.24,21,SCHB,Schouwenbank,Noordzee,51 44 36.2N,03 18 23.9E,boei,51.743389,3.306639,,,POINT (521171.0641000001 5732542.318600001)
meetnet.25,21a,SCB2,Schouwenbank2,Noordzee,51 44 37.7N,03 18 22.3E,boei,51.743797,3.306202,,,POINT (521140.70189999975 5732587.5688000005)
meetnet.26,22,MUN1,IJgeul Munitiestortplaats 1,Noordzee,52 33 45.0N,04 03 49.0E,boei,52.5625,4.063611,,,POINT (572097.6736000003 5824135.441)
meetnet.27,22a,MUN2,IJgeul Munitiestortplaats 2,Noordzee,52 33 30.0N,04 03 30.0E,boei,52.558333,4.058333,,,POINT (571746.7093000002 5823666.690400001)
meetnet.28,23,AWG1,AWG Platform,Waddenkust,53 29 29.9N,05 56 28.3E,platform,53.49164,5.94114,,,POINT (695106.5806999998 5930990.218900001)
meetnet.29,24,ELD1,Wadden Eierlandse Gat,Waddenkust,53 16 34.3N,04 39 37.3E,boei,53.276194,4.660361,,,POINT (610710.6679999996 5904281.4584)
meetnet.30,25,SMN1,Schiermonnikoog Noord,Waddenkust,53 35 41.4N,06 09 55.4E,boei,53.594833,6.165389,,,POINT (709467.9101 5943103.0952)
meetnet.31,26,SMWG,Schiermonnikoog Westgat,Waddenkust,53 31 13.0N,06 00 00.0E,boei,53.520278,6,,,POINT (698875.9699999997 5934337.772600001)
meetnet.32,27,STM1,Stortemelk,Waddenkust,53 19 21.9N,04 59 20.9E,boei,53.32275,4.989139,,,POINT (632486.6536999997 5910019.5481)
meetnet.33,27a,STMO,Stortemelk Oost,Waddenkust,53 19 16.7N,05 06 07.5E,boei,53.32131,5.10209,,,POINT (640013.5332000004 5910074.8639)
meetnet.34,28,HUIB,Huibertgat,Waddenkust,53 34 25.5N,06 23 54.4E,meetpaal,53.57375,6.398444,,,POINT (724997.0640000002 5941470.3050999995)
meetnet.35,29,TERS,Terschelling Noordzee,Waddenkust,53 25 40.6N,05 19 59.5E,meetpaal,53.42794,5.33319,,,POINT (655016.2517999997 5922412.476)
meetnet.36,30,TEXE,Texel Noordzee,Waddenkust,53 06 53.4N,04 45 03.8E,meetpaal,53.11483,4.75106,,,POINT (617197.1818000004 5886477.149700001)
meetnet.37,31,WIER,Wierumergronden,Waddenkust,53 30 57.0N,05 57 29.7E,meetpaal,53.515833,5.95825,,,POINT (696129.5442000004 5933727.667300001)
meetnet.38,32,BG2,Brouwershavense Gat 02,Voordelta-Kust,51 45 59.5N,03 37 18.3E,meetpaal,51.766528,3.62175,,,POINT (542904.9733999996 5735254.1719)
meetnet.39,33,HA10,Haringvliet 10,Voordelta-Kust,51 51 46.1N,03 51 38.4E,meetpaal,51.862806,3.860667,,,POINT (559265.1838999996 5746129.4022)
meetnet.40,34,VR,Vlakte v/d Raan,Voordelta-Kust,51 30 13.4N,03 14 31.4E,meetpaal,51.503722,3.242056,,,POINT (516800.3903999999 5705870.877599999)
meetnet.41,35,DEUR,Deurloo,Voordelta-Kust,51 30 09.7N,03 14 31.3E,boei,51.502694,3.242028,,,POINT (516798.8250000002 5705756.5441)
meetnet.42,36,DORA,Domburger Rassen,Voordelta-Kust,51 37 10.0N,03 23 56.6E,boei,51.619444,3.399056,,,POINT (527627.0524000004 5718788.4869)
meetnet.43,37,NC1,North Cormorant,Noordzee,61 20 17.5N,01 09 58.0E,platform,61.338188,1.166099,,,POINT (401877.2424999997 6801835.303399999)
