OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,REF_TUNNELBUIS_PUIC,ROTATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1,954d5dc8-6d83-42d7-98aa-6fdab2c6ed6e,,60,Bestaand,0,,26,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.599461,"49,599461",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155545.358,390510.406,51.50361131,5.39505433
2,fbe5174d-7471-42f8-9537-6632d45cc142,,60,Bestaand,-1,,30,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,48.656983,"48,656983",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155054.539,391317.715,51.5108682,5.38798538
3,86073ce1-f4f2-4391-af0a-df4b782a986f,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.315187,"39,315187",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97373.832,430135.194,51.85680031,4.55070992
4,26aa2f02-b5c7-453a-bc22-a83ec135140b,,283,Onbekend,-1,,140,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,48.367598,"48,367598",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92666.068,437842.302,51.92556073,4.48098547
5,c983224a-ad2e-4510-81cd-d0b5e6987cba,,283,Onbekend,-1,,215,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.108584,"46,108584",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94176.537,436142.688,51.91045278,4.50324297
6,af570dbd-8926-40c9-86b7-80a365668689,,283,Onbekend,-1,,310,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.497332,"49,497332",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155482.183,390592.374,51.50434815,5.39414456
7,2851ffc7-ddd5-4886-8ae7-94c8daf07502,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.242498,"49,242498",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155367.112,390820.497,51.50639876,5.39248745
8,55ad9aac-3826-4104-9074-c03fe41054da,,283,Onbekend,-1,,120,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,49.088594,"49,088594",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155269.468,390942.359,51.50749419,5.39108112
9,6b8c710d-08ef-4c9c-acd0-8863eacd0fb0,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.062508,"210,062508",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97430.966,430021.415,51.85578362,4.55155816
10,1556e927-c0b4-4993-b789-3aa65676285e,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.692369,"39,692369",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97205.699,430474.555,51.85983293,4.54821275
11,7e4d2481-c8f9-4640-839a-e84074490888,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.630867,"39,630867",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97254.547,430429.726,51.85943509,4.54892929
12,832f3e48-6b4a-4993-9d72-1035866f9c5b,,283,Onbekend,-1,,300,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,48.954504,"48,954504",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155215.724,391066.465,51.50860976,5.39030708
13,83950cb9-fd84-4e1b-9d84-f190bccceddd,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.005315,"39,005315",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97534.305,429870.24,51.85443559,4.5530832
14,e7797fbb-e018-426f-9749-0449ef94bd16,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.135513,"173,135513",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115778.128,492815.736,52.42174519,4.81061957
15,94f04e62-34e6-48bd-895d-fc09ec029756,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.253287,"39,253287",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97414.904,430085.925,51.85636175,4.55131428
16,8d09fbe2-085f-424e-b52a-2fb68e52cea1,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.571149,"210,571149",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97713.266,429597.828,51.8520057,4.55572578
17,68cc8159-f43a-471d-b9a5-bba7cb11502a,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.378733,"39,378733",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97372.744,430206.883,51.85744451,4.55068216
18,833702ba-e967-4841-ab86-93cb64d19bbf,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.553726,"46,553726",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93905.873,436494.841,51.91358809,4.49924724
19,42552677-161e-434b-830f-65a623f51668,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.442317,"39,442317",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97333.231,430257.677,51.85789694,4.55010016
20,34045443-199a-44d5-ba22-99c0a303f253,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.429283,"38,429283",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97901.324,429425.099,51.85047258,4.55848361
21,53ac6b94-d7ea-49dd-adfa-25a8aa03e1d5,,283,Onbekend,-1,,105,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,16.503928,"16,503928",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,110461.925,479086.25,52.29795092,4.73429142
22,a0a5da5d-aecc-451c-94ed-7aac587f02ac,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.297421,"38,297421",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97993.412,429330.521,51.84963198,4.55983564
23,50574bd2-2709-4fe2-98f0-451760bd4f10,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.867777,"172,867777",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115885.605,493060.462,52.42395225,4.81217092
24,596d8705-d57f-45df-95d0-a027fb7291f3,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.488938,"30,488938",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227630.022,487091.716,52.36689716,6.45360637
