Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9520 - BZK Specifiek;9540 - EZ Specifiek;9-Dienstspecifiek
123Accu B.V.;;;;;1;1
4Service;;;;;1;1
A&S Advocaten;;;;;1;1
A. De Jong T.H.;1;2;;;;2
A.H. Hebinck en M.E.J. Hebinck-Bolder;;;;;1;1
A.R.J. van Ingen Dierenarts;;;;;2;2
A.S. Watson (Health & Beauty Continental       Euro.e) B.V.;;;1;;;1
A.W.A. Schreurs Dierenarts;;;;;3;3
A3 Products B.V.;;;1;;;1
AAP, Opvang voor Uitheemse Dieren, stichting;;;;;2;2
Aarts Conserven B.V.;;;1;;;1
Aartsenfruit;;;1;;;1
AB Sciex;;6;;;;6
ABAB Belastingadviseurs en Juristen;;;;;1;1
ABBEoptics;1;;;;;1
Abn-Amro Bank (incl. Fortis);;;;;1;1
Absyrtus Someren;;;;;1;1
Abus Kraansystemen;;1;;;;1
Acal BFI Nederland (vh BFi Optilas);1;1;;;;1
ACCS Active Collecting Control & Services;;;;;1;1
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;;;1;1
AD-Autobedrijf Slettenhaar Almen;;;;;1;1
Adegeest Notariskantoor;;;;;1;1
Administratie- en Inkoopcentrum Correct Group B.V.;;;1;;;1
Administratiekantoor F. Hanken;;;;;1;1
Adri en Zoon Schaal- en Schelpdierenhandel;;;1;;;1
Adriaanse Van der Weel Advocaten;;;;;1;1
Adure Advocaten;;;;;1;1
Adviesbureau De Vallei;;;;;1;1
Advocatenkantoor Zoetmulder-Hoekstra;;;;;1;1
Aedcompany.nl;;;;;1;1
AGF Overtoom Groothandel en Horecaleverancier;;;1;;;1
AGF Siere;;;1;;;1
Agilent Technologies;2;2;;;;3
Agrico Research;;;1;;;1
Agrifirm;;;;;1;1
Agro de Arend;;;;;1;1
Agterberg Vleeswaren;;;1;;;1
Air Cargo Netherlands;;;;;1;1
Air Products Nederland;2;;;;;2
Airbrush Services Almere;1;;;;;1
AKCE Food;;;1;;;1
AKD Prinsen van Wijmen Advocaten;;;;;1;1
Albert Heijn (incl. albert.nl);;;1;;;1
Aldi;;;1;;;1
Alfa Accountants en Adviseurs;;;;;1;1
Alla Marca Food;;;1;;;1
Allen & Overy;;;;;1;1
Allers Bedrijfswagens;;;;;1;1
Alliance B.V.;;;1;;;1
Alltech / Applied Science;1;;;;;1
Aloys Roemaat Transport;;;;;1;1
Alwafa Levensmiddelen;;;1;;;1
Amboina Import- en Exportonderneming;;;1;;;1
Anna Jonkhoff Advocaat;;;;;1;1
Anthonie Verwijs;;;1;;;1
Antonides;1;;1;;;1
Aon Nederland;;;;;1;1
Apotheker Groothandel in Groenten en Fruit;;;1;;;1
Aqui Fruit & Greens;;;1;;;1
AR Benelux;;2;;;;2
Ara Groep (incl. HFM\Bovaco);;;;;1;1
ARAG Rechtsbijstand;;;;;1;1
Asecos;1;1;;;;1
Asia Express Food;;;1;;;1
