Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
!Pet;;;1;;;;;;;1
&Talent B.V.;;;;;;1;;;;1
2 Beren;;;1;1;;;;;;1
2Byte;;;;1;;;;;;1
2engage.nu organisatieadvies;;;;;;1;;;;1
2LEAD4US B.V.;;;;;;1;;;;1
2-Tact;;;;;;1;;;;1
4-FEET Services;;;;1;;;;;;1
4Meetings B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;2;;;;2
7AM B.V.;;;;;;1;;;1;1
7AM Den Haag B.V.;;;;;;;1;;;1
A Feike Card;;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;;1;;;;;;1
A.P.F. Toonen Beheer B.V.;;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;;;1;1
Aandacht & Compassie Amersfoort;;;;;;1;;;;1
Aardevuur Yoga en Coaching;;;;;;1;;;;1
Abis Nederland;;;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;1;1;;;;;1;1
ABVAKABO FNV;;;1;;;;;;;1
Achmea Inkomensverzekeringsdiensten B.V.;;;;;;;;;1;1
Acte De Présence;;;;4;;1;;;;4
Acteursbureau Kapok B.V.;;;;;;2;;;;2
Actief Veenhuizen;;;;;;;;;1;1
Ad Hosman;;;;1;;;;;;1
AD NieuwsMedia B.V.;;;;;;;;;1;1
Adecco Personeelsdiensten B.V.;;;;;;1;;;;1
Advyt coaching training Advies motiv. inspir.;;;;;;1;;;;1
Agaath Brink;;;;;;1;;;;1
Ahoy' Horeca B.V.;;;;1;;;;;;1
Ai-Opener;;;;;;1;;;;1
Albert Heijn;;;;1;;;;;1;1
Alfabeta Tekst & Training;;;;;;1;;;;1
Algemene Vereniging Schoolleiders;;;;;;1;;;;1
Alheel (Training & Coaching);;;;;;1;;;;1
Alice Overmeer Scheepsarcheologie;;;;;;;;;1;1
All Prevent B.V.;;;;;;1;;;;1
Alliance Francaise de La Haye;;;;;;2;;;;2
Allianz Global Assistance;;;;;;;;;1;1
Aloha ! Productions;;;2;;;;;;;2
Alpha Webdesign;1;;;;;;;;;1
Altura Nederland;;;;;;2;;;;2
Amazing Steakhouse;;;;1;;;;;;1
Amaziq B.V.;;;;;;2;;;;2
Ameland Adventure;;;;1;;;;;;1
Amersfoortvergaderen.nl;;;;;;1;;;;1
Ami Consultancy B.V.;;;;;;2;;;;2
Anafora Parkrestaurant;;;;1;;;;;;1
Andersson Advies B.V.;;;;;;1;;;;1
Andriessen & Partners B.V.;;;;;;4;;;;4
Anker & Kompas;;;;;;1;;;;1
Annemarie Willems Producties;;;;1;;;;;;1
anoniem;;;;;;;1;;1;1
AO Contact Group;;;;;;1;;;;1
AOB Compaz B.V.;;;1;;;;;;;1
AOG Contractonderwijs B.V.;;;;;;4;;;;4
AON Ned. Makel. in Assurant.-Risico-Adviser.;;;1;;;;;;;1
ArboDirect;;;;;;1;;;;1
ArboNed Holding B.V.;;;5;;;3;;;;5
Ardis Opleidingen B.V.;;;;;;6;;;1;6
Arnoldy Enterprises;;;;1;;;;;;1
Array Media B.V.;;;;;;1;;;;1
Arriva Personenvervoer Nederland B.V.;;;;;;;;;1;1
Art Salvage B.V.;;;;;;1;;;;1
Artihove Regina B.V.;;;;1;;;;;;1
arvato Finance B.V.;;;;;;1;;;;1
Atos Nederland B.V.;;;;;;1;;;;1
Autobusbedrijf Doornbos B.V.;;;;;;;;;1;1
Autogrill Nederland B.V.;;;;;;1;;;;1
Automotive Publishing B.V.;;;;;;1;;;;1
Autoverhuur Doesburg B.V.;;;;;;;;;1;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avex B.V.;;;;1;;;;;;1
AVR Vision Consult B.V.;;;;;;1;;;;1
Ayers Rock Island B.V.;;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;;;;1;;;;1;1;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
Baas & Co.;;;;;;2;;;;2
Babbels;;;;1;;;;;;1
BAB-VIOS Touringcars B.V.;;;;;;;;;1;1
Bacco Perbacco;;;;1;;;;;;1
