FID,nwbversie,nwbwvkid,netwerkcategorie,netwerkschakelcode,netwerkschakelnaam,systeemdeelnr,systeemdeelnaam,systeemdeelpositie,vkwegvaknaam,vkwegvakwegcat,vkwegvakfunctie,vkwegvakobjectnaam,nwbwegnummer,nwbwegdeellttr,nwbhectoletter,nwbrpecode,nwbbstcode,nwbbeginkm,nwbeindkm,nwbgmenaam,nwbdistrnaam,nwbdienstnaam,nwbwvklengte,nwbwegnraw,nwbwegnrhmp,vkwegvakeersteinstdl,vkwegvaklaatsteinstdl,vkwegvakmaatgevendint,vkwegvakknooppunt,vkwegvakhmbegin,vkwegvakhmeind,vildtrajectnaam,weg,last_update,se_anno_cad_data,verkeerskundigwegvakcode,kleurcodeverkeerskundigwegvak,gdb_geomattr_data,shape
hwn_verkeerskundige_wegvakken.11,202210,600145034,C,015-0093,A15 Valburg - KP Ressen (v.v.),015-0093-R,Valburg - KP Ressen (R),3,KP Ressen,asw,hoofdrijbaan,,015,R,j,R,PST,162.141,162.185,Lingewaard,ON District Zuid,RWS Oost-Nederland,43,RW15,A15,0,1,0,1,161523,163174,A15 Nijmegen - Zevenaar,A15R,2022-12-01T08:38:12,,015-0093-R_003,015-0093_003,,"LINESTRING (188055.91160000116 434340.2248999998, 188085.68569999933 434341.0159999989, 188090.6581000015 434341.559799999, 188098.67969999835 434341.8344999999)"
hwn_verkeerskundige_wegvakken.12,202210,600140367,A,006-0050,A6 Lelystad - KP Emmeloord v.v.,006-0060-L,Urk - Lelystad-Noord,1,Swifterbant(12) - Lelystad-Noord(11),asw,hoofdrijbaan,,006,R,h,L,PST,97.799,97.696,Dronten,MN District Noord,RWS Midden-Nederland,107,RW6,A6,0,1,1,0,97797,87351,A6 Emmeloord - Lelystad,A6L,2022-12-01T08:38:12,,006-0060-L_001,006-0050_001,,"LINESTRING (171960.35649999976 513449.1898000017, 171949.11560000107 513446.90989999846, 171933.8035000004 513434.0170999989, 171926.0161000006 513427.74340000004, 171906.34010000154 513412.31980000064, 171873.9103000015 513387.3814999983)"
hwn_verkeerskundige_wegvakken.13,202210,166182030,B,058-0060,A58 KP De Stok - KP Zoomland v.v.,058-0060-L,KP Zoomland - KP De Stok,3,KP Zoomland - Heerle(26),asw,hoofdrijbaan,,058,R,#,L,HR,101.146,101.109,Bergen op Zoom,ZN District West,RWS Zuid-Nederland,38,RW58,A58,0,0,0,0,103517,100750,A58 Bergen op Zoom - Breda,A58L,2022-12-01T08:38:12,,058-0060-L_003,058-0060_003,,"LINESTRING (83249.7501000017 391274.37370000035, 83285.07250000164 391287.8792999983)"
hwn_verkeerskundige_wegvakken.14,202210,600136135,C,015-0060,A15 KP Gorinchem - KP Deil,015-0060-L,KP Deil - KP Gorinchem,4,KP Deil (districtgrens ON/WNZ),asw,hoofdrijbaan,,015,R,#,L,HR,116.43,116.374,West Betuwe,WNZ District Zuid,RWS West-Nederland Zuid,57,RW15,A15,1,0,0,1,116429,114222,A15 Nijmegen - Gorinchem,A15L,2022-12-01T08:38:12,,015-0060-L_004,015-0060_004,,"LINESTRING (145123.1933999993 429990.25, 145065.84299999848 429989.7109000012)"
hwn_verkeerskundige_wegvakken.15,202210,284223048,B,059-0105,A59 KP Hooipolder - KP Empel v.v.,059-0105-R,KP Hooipolder - KP Empel,9,Heusden(42) - Nieuwkuijk(43),asw,hoofdrijbaan,,059,R,b,R,PST,125.197,125.285,Heusden,ZN District Midden,RWS Zuid-Nederland,82,RW59,A59,0,0,0,0,123302,125285,A59 Zonzeel - s-Hertogenbosh,A59R,2022-12-01T08:38:12,,059-0105-R_009,059-0105_009,,"LINESTRING (142087.4748999998 411685.4248000011, 142105.7974999994 411681.7520000003, 142168.64609999955 411674.9642999992)"
hwn_verkeerskundige_wegvakken.16,202210,600123354,B,007-0010,A7 Purmerend-Noord - KP Zaandam,007-0010-L,Purmerend-Noord - KP Zaandam (L),2,KP Zaandam,asw,hoofdrijbaan,,007,R,f,L,PST,4.706,4.671,Zaanstad,WNN District Noord,RWS West-Nederland Noord,35,RW7,A7,0,0,0,1,5322,4380,A7 Hoorn - Zaanstad,A7L,2022-12-01T08:38:12,,007-0010-L_002,007-0010_002,,"LINESTRING (117714.31069999933 496811.11349999905, 117682.34389999881 496826.1363000013)"
hwn_verkeerskundige_wegvakken.17,202210,600140801,B,030-0010,A30 KP Maanderbroek - Barneveld (v.v.),030-0020-L,Barneveld - KP Maanderbroek (L),4,KP Barneveld,asw,hoofdrijbaan,,030,R,#,L,HR,24.489,24.172,Barneveld,ON District Noord,RWS Oost-Nederland,316,RW30,N30,1,0,0,1,24896,24175,A30 Barneveld - Ede,A30L,2022-12-01T08:38:12,,030-0020-L_004,030-0010_004,,"LINESTRING (167222.43100000173 464179.0390000008, 167228.44170000032 464121.6634000018, 167228.76060000062 464101.6261, 167228.81060000136 464081.3669000007, 167228.563000001 464061.35229999945, 167227.63060000166 464043.25189999864, 167226.82030000165 464023.2635000013, 167226.9717000015 464004.88109999895, 167227.7335000001 463984.9054000005, 167228.6464000009 463966.2065999992, 167231.13190000132 463926.5262000002, 167232.0813000016 463906.5417999998, 167232.32939999923 463890.0128999986, 167230.73800000176 463863.71599999815)"
hwn_verkeerskundige_wegvakken.18,202210,600129082,C,002-0050,A2 KP Deil - KP Everdingen v.v,002-0050-L,Beheersgrens MNZ - KP Everdingen,5,KP Deil (beheergrens) - Geldermalsen(15),asw,hoofdrijbaan,,002,R,n,L,PST,89.234,89.145,West Betuwe,MN District Zuid,RWS Midden-Nederland,89,RW2,A2,1,0,1,0,89315,88151,A2 s-Hertogenbosch - Utrecht,A2L,2022-12-01T08:38:12,,002-0050-L_005,002-0050_005,,"LINESTRING (143499.59050000086 430960.08469999954, 143470.0073999986 431012.2637999989, 143451.2613000013 431034.6272)"
hwn_verkeerskundige_wegvakken.19,202210,380509009,A,032-1010,A32 Beheergrens Oost-Nederland - KP Heerenveen v.v.,032-1010-L,KP Heerenveen - Beheergrens Oost-Nederland (A32),7,KP Heerenveen,asw,hoofdrijbaan,,032,R,s,L,PST,48.984,48.83,Heerenveen,NN District West,RWS Noord-Nederland,155,RW32,A32,1,0,1,1,48983,47577,A32 Heerenveen - Meppel,A32L,2022-12-01T08:38:12,,032-1010-L_007,032-1010_007,,"LINESTRING (190031.4840000011 554775.9945, 190043.01619999856 554758.4277000017, 190067.3365000002 554736.6339999996, 190098.83549999818 554707.8586999997, 190124.52699999884 554684.0896999985, 190141.9263000004 554667.368999999)"
hwn_verkeerskundige_wegvakken.20,202210,205339030,C,004-0040,A4 Beheergrens WNN - KP Burgerveen,004-0040-L,Beheergrens WNN - KP Burgerveen (L),2,Ringvaart Aquaduct (beheergrens WNZ/WNN) - Nieuw Vennep(4),asw,hoofdrijbaan,Ringvaart Aquaduct,004,R,#,L,HR,21.792,21.617,Kaag en Braassem,WNN District Zuid,RWS West-Nederland Noord,181,RW4,A4,1,0,1,0,21793,19228,A4 Den Haag - Amsterdam,A4L,2022-12-01T08:38:12,,004-0040-L_002,004-0040_002,,"LINESTRING (102931.5661999993 469603.9373999983, 102946.99390000105 469640.8425000012, 102962.15179999918 469677.8603999987, 102984.36450000107 469733.6061999984, 102999.35110000148 469772.189100001)"
hwn_verkeerskundige_wegvakken.21,202210,600151267,A,036-0010,N36 Wierden - Vriezenveen  (v.v.),036-0010-M,Wierden - Vriezenveen (M),4,Aadorp - Almelo-Noord,aw,hoofdrijbaan,,036,R,#,L,HR,12.232,11.977,Twenterand,ON District Oost,RWS Oost-Nederland,252,RW36,N36,0,0,0,0,9810,12480,N36 Dedemsvaart - Ommen,N36,2022-12-01T08:38:12,,036-0010-M_004,036-0010_004,,"LINESTRING (240222.6235000007 491474.13430000097, 240254.46489999816 491382.00279999897, 240260.77650000155 491363.06540000066, 240266.90630000085 491344.0225000009, 240272.85229999945 491324.9268000014, 240278.60649999976 491305.77149999887, 240282.4294999987 491292.4012000002, 240287.46269999817 491273.0436999984, 240291.8632999994 491254.3447000012, 240299.7349999994 491234.34600000083)"
hwn_verkeerskundige_wegvakken.22,202210,600152895,A,007-1100,A7 KP Euvelgunne - KP Zuidbroek v.v.,007-1110-L,KP Zuidbroek - Westerbroek,5,KP Zuidbroek - Zuidbroek(43),asw,hoofdrijbaan,,007,R,#,L,HR,223.3,222.209,Midden-Groningen,NN District Oost,RWS Noord-Nederland,1088,RW7,A7,0,0,0,0,223301,222208,A7 Bremen - Westerbroek,A7L,2022-12-01T08:38:12,,007-1110-L_005,007-1100_005,,"LINESTRING (255123.38080000132 576937.1561000012, 255085.0170999989 576931.567499999, 255040.8728 576925.4673999995, 254961.58680000156 576914.9857000001, 254921.89499999955 576909.9659000002, 254862.3187999986 576902.6986999996, 254806.37420000136 576896.1442999989, 254766.63109999895 576891.6013000011, 254706.9673999995 576885.2542999983, 254658.5700000003 576880.4155000001, 254598.82880000025 576874.8478000015, 254259.60209999979 576844.9668999985, 254100.22989999875 576830.7846000008, 254041.4796999991 576825.3951000012)"
hwn_verkeerskundige_wegvakken.23,202210,235370042,D,010-0040,A10 Haarlem N200 - KP De Nieuwe Meer,010-0040-R,KP De Nieuwe Meer - Haarlem (N200) (R),2,Amsterdam-Slotervaart(7) - Osdrop(6),asw,hoofdrijbaan,,010,R,a,R,PST,22.957,23.041,Amsterdam,WNN District Zuid,RWS West-Nederland Noord,86,RW10,A10,0,0,0,0,22365,23776,A10 KP De Nieuwe Meer - Coenplein,A10R,2022-12-01T08:38:12,,010-0040-R_002,010-0040_002,,"LINESTRING (117904.23649999872 485313.92170000076, 117911.42170000076 485333.188099999, 117911.62799999863 485343.13749999925, 117912.42599999905 485358.1169000007, 117915.84699999914 485398.4935999997)"
hwn_verkeerskundige_wegvakken.24,202210,600125179,B,027-0040,A27 KP Brug over de Merwede - Beheersgrens WNZ/MN,027-0040-L,Noordeloos (beheersgrens MN/WNZ) - KP Gorinchem,1,Noordeloos(25) - KP Gorinchem,asw,hoofdrijbaan,,027,R,#,L,HR,40.158,39.346,Molenlanden,WNZ District Zuid,RWS West-Nederland Zuid,814,RW27,A27,0,1,0,0,43229,37621,A27 Utrecht - Gorinchem,A27L,2022-12-01T08:38:12,,027-0040-L_001,027-0040_001,,"LINESTRING (125967.67570000142 431856.81010000035, 125929.00600000098 431757.9941000007, 125914.65630000085 431720.65630000085, 125893.44399999827 431664.5311000012, 125853.79879999906 431557.86879999936, 125682.4571999982 431094.4360000007)"
hwn_verkeerskundige_wegvakken.35,202210,600115364,D,015-0030,A15 KP Benelux - KP Ridderkerk-Noord,015-0030-L-par,parallelbaan KP Ridderkerk-Noord - KP Benelux,104,parallelbaan KP Vaanplein,asw,parallelbaan,,015,R,h,L,VBS,61.227,60.416,Barendrecht,WNZ District Zuid,RWS West-Nederland Zuid,842,RW15,A15,0,0,0,1,61310,58835,A15 Gorinchem - Rotterdam Maasvlakte,A15L,2022-12-01T08:38:12,,015-0030-L-par_104,015-0030_104,,"LINESTRING (96447.44629999995 430949.77710000053, 96422.5577000007 430947.4888000004, 96397.63159999996 430945.5678000003, 96362.81509999931 430943.4406999983, 96332.84409999847 430942.1061999984, 96307.85460000113 430941.3553000018, 96281.73600000143 430940.9477000013, 96256.73470000178 430940.8082999997, 96226.73589999974 430941.09380000085, 96201.73910000175 430941.7115999982, 96175.59679999948 430942.6374000013, 96145.63610000163 430944.1873999983, 96120.68589999899 430945.7683000006, 96097.1966000013 430947.6004999988, 96067.31469999999 430950.2958999984, 96022.5839000009 430955.21599999815, 95991.44189999998 430959.3077000007, 95966.69170000032 430962.8370000012, 95941.9926000014 430966.7082999982, 95918.8396999985 430970.6748000011, 95894.23710000142 430975.1209000014, 95859.90029999986 430981.90630000085, 95855.00259999931 430982.91589999944, 95846.0095999986 430985.1746000014, 95841.0725999996 430986.02749999985, 95816.65819999948 430991.49599999934, 95797.19339999929 430996.1220000014, 95768.08060000092 431003.3786999993, 95739.0903000012 431011.09640000015, 95713.70549999923 431018.2093000002, 95684.9422999993 431026.73699999973, 95667.96669999883 431032.00079999864, 95639.4279000014 431041.2727999985, 95617.73470000178 431048.5245999992)"
hwn_verkeerskundige_wegvakken.36,202210,197263002,D,016-0010,A16 KP Terbregseplein - KP Ridderkerk-Noord,016-0010-R-par,parallelbaan KP Terbregseplein - KP Ridderkerk-Noord,5,parallelbaan KP Ridderkerk-Noord,asw,parallelbaan,,016,R,x,R,VBR,24.892,25.194,Ridderkerk,WNZ District Zuid,RWS West-Nederland Zuid,308,RW16,A16,0,1,0,1,23246,25953,A16 Rotterdam - Breda,A16R,2022-12-01T08:38:12,,016-0010-R-par_005,016-0010_005,,"LINESTRING (98825.8376000002 431987.07239999995, 98857.23050000146 431940.9239999987, 98876.27419999987 431912.3328999989, 98892.62799999863 431887.1810999997, 98908.0736999996 431862.2193999998, 98917.58669999987 431845.73849999905, 98929.41699999943 431823.7558999993, 98943.5465000011 431796.50079999864, 98976.25310000032 431732.3504000008, 98982.29800000042 431721.69110000134)"
hwn_verkeerskundige_wegvakken.37,202210,600139574,B,030-0010,A30 KP Maanderbroek - Barneveld (v.v.),030-0020-R,KP Maanderbroek - Barneveld (R),1,Lunteren(3) - Scherpenzeel(4),asw,hoofdrijbaan,,030,R,#,R,HR,19.225,19.506,Barneveld,ON District Zuid,RWS Oost-Nederland,278,RW30,A30,1,0,1,0,15544,19506,A30 Ede - Barneveld,A30R,2022-12-01T08:38:12,,030-0020-R_001,030-0010_001,,"LINESTRING (167355.56969999894 459021.1838000007, 167339.58819999918 459061.74069999903, 167325.3407999985 459099.11930000037, 167311.0133999996 459137.55519999936, 167297.34789999947 459175.1425999999, 167283.95219999924 459212.8332000002, 167270.82059999928 459250.6165000014, 167260.16420000046 459282.3407999985)"
