OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,OP_TALUD,Shape__Area,Shape__Length
1,2613417be9166803e05332a1e90a7128,2018/03/20 15:36:16+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,a,801,801_a,Moerdijk Industrieterrein,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,8.95147,"8,951470",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,99543.6845,409107.669649,51.66803129,4.58556622,470.09883,283,,Nee,470.09883,192.810955176062
2,2613417bc9956803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,open verharding,801,r,801,801_r,Moerdijk Industrieterrein,Vlw-Cihn,Vlasweg - Centrale Insteekhaven Noord ,950.066315,"950,066315",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,100571.95854,411781.008,51.69215958,4.60001103,63.087872,283,,Nee,63.087872,36.7626956609001
3,1164654589d2707ae054001a4b095384,2017/05/01 12:51:58+00,G1948,Schijndel,bestaand,0,groenvoorziening: gras- en kruidachtigen,213,,213,213__,Boxtel - Uden,Btl-Veg,Boxtel - Veghel ,14.253653,"14,253653",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,163062.822,402498.074295,51.61130616,5.50360428,118.778742,283,,Nee,118.7787425,127.213519924463
4,116465458a6e707ae054001a4b095384,2021/07/05 11:33:23+00,G1948,Schijndel,bestaand,0,groenvoorziening,213,,213,213__,Boxtel - Uden,Btl-Veg,Boxtel - Veghel ,14.113333,"14,113333",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,162925.366698,402466.436,51.61102374,5.50161913,382.647178,283,,Nee,382.66682614,562.310482361746
5,2613417bc9906803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,b,801,801_b,Moerdijk Industrieterrein,Mdk-Ostlrw,Moerdijk (Racc.) - Oostelijke Randweg ,101.592455,"101,592455",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,101525.281,410852.812378,51.68390896,4.61394028,1005.519004,283,,Nee,1005.334182385,606.803067230475
6,2613417c48286803e05332a1e90a7128,2021/01/14 13:51:50+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,l,801,801_l,Moerdijk Industrieterrein,Ostlrw-Vlw,Oostelijke Randweg - Vlasweg ,800.11346,"800,113460",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,101116.895716,411649.1745,51.69102738,4.60791215,175.257339,283,,Nee,175.2573395,69.7595000761689
7,2613417be63d6803e05332a1e90a7128,2022/07/19 13:47:04+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,a,801,801_a,Moerdijk Industrieterrein,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,7.632259,"7,632259",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,100686.130869,409771.757,51.67411189,4.60197557,123.723047,283,,Nee,123.722380415,47.9888937407964
8,2613417be28e6803e05332a1e90a7128,2021/01/14 13:51:50+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,k,801,801_k,Moerdijk Industrieterrein,Ostlrw-Apw,Oostelijke Randweg - Apolloweg ,775.237366,"775,237366",Zuid,Z,n.v.t.,,,n.v.t.,,n.v.t.,,Strukton Rail Short Line,101210.592383,411302.84,51.68792359,4.60932065,100.110987,283,,Nee,100.110987,57.4759380651353
9,2613417bb4246803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,a,801,801_a,Moerdijk Industrieterrein,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,9.596047,"9,596047",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,98984.24,408800.938216,51.66521882,4.57752938,90.214335,283,,Nee,90.214335,55.0395748514201
10,2613417b953a6803e05332a1e90a7128,2015/12/06 19:44:30+00,G1709,Moerdijk,bestaand,0,groenvoorziening,801,l,801,801_l,Moerdijk Industrieterrein,Ostlrw-Vlw,Oostelijke Randweg - Vlasweg ,800.439774,"800,439774",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,100800.227421,411739.019,51.69180433,4.60331872,196.452801,283,,Nee,196.452801,120.732947503696
