Leveranciers;6110 Aanschaf hardware;6120 Beheer en onderhoud hardware;6210 Aanschaf programmatuur & software;6220 Beheer, onderhoud programmatuur & software;6310 Aanschaf, beheer en onderhoud infrastructuur;6410 Spraak en dataverbindingen;6510 Uitbesteding ICT;6-ICT
40Fingers Web Solutions;;;1;;;;;1
42 Solutions;;;3;;;;;3
Acknowledge ICT Group;;4;;;;;;4
Action Events;1;;;;;;;1
ADLIB Information Systems (inc Axiell);;;2;1;;;;2
Alphatron Communicatie, Observatie, Navigatie;;;;;;1;;1
Ambrac;;;2;;;;;2
Amsterdam Airport Schiphol;;;3;;;;;3
Asp4All Hosting;;;;;;;4;4
Atos;;;;2;2;;1;2
Autotelex;;;;;;2;;2
Balance Ervaring op Projectbasis;;;;;;2;;2
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;1;;;;1
Bilderberg Hotels;;;;;1;;;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);7;;;;;;;7
BMS Assurance;;;;1;;;;1
Bright Alley Knowledge & Learning;1;;;;;;;1
Brightwave Consulting;;;;;;;2;2
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);1;;;;;8;;8
Btsoftware;;;;4;;;;4
Cadac Group;;;;1;;;;1
CameraTools.nl;1;;;;;;;1
Canon (incl. Océ Nederland);;4;;1;;;;4
Caseware;;;1;;;;;1
CGI Group (incl. Logica CMG);;;;;;;4;4
CLIPPER;1;;;;;;;1
Com Connect;;;2;;;;;2
Comfort Audio B.V.;;;;;;1;;1
Comparex (incl. PC-Ware);8;6;2;7;2;;;9
Contact Valley bv;;;;;;3;;3
Cuna International;;;;;;1;;1
Davilex Business;;;;1;;;;1
Denit Internet Services;;;1;;;;;1
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;;;;;7;;7
Document Dialog B.V.;;;;3;;;;3
Dot To Dot;;;;;;1;;1
DPS Digital Photo Systems;;;;1;;;;1
Duitman Hengelo;;;1;;;;;1
Duo2;;;;;;1;;1
Dynafix Care;;;;;;1;;1
EIKELBOOM & DE BONDT IT SERVICES BV;;;;3;;;;3
Escherware BV;;;;1;;;;1
Escrow Europa;;;1;1;;;;1
EuroNet Internet;;;;;;1;;1
Filtercommunicatie;;;;;;1;;1
Flash Services Nederland;;;;;;1;;1
Flexwebhosting;;;;1;;1;;1
Fortune Factory;;;1;;;;;1
FORUM MARKETING RESEARCH;;;;;;2;;2
Frama Nederland;;1;;;;;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);;;4;9;;;;9
Green Valley;;;1;;;;;1
Groningen Airport Eelde;;;1;;;;;1
HBS Software;;;;2;;;;2
Hoekstra Portofoons;;;;;;1;;1
Hostnet;;;;;;1;;1
