Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
0IS4;;;;;1;;;;1
2 Know How;;;;;1;;;1;1
2D3D - Bureau Voor 2- en 3-Dimensionale Vormgeving;;;1;;;;;;1
3Khoreca;;;1;;;;;;1
4impro;;;;;1;;;;1
5 Hart It Oracle Experts Opleidingen;;;;;2;;;;2
7Am;;;2;;1;;;;2
A. van Helden Relatiegeschenken, Reclameartikelen;;;1;;;;;;1
A.B. Geluidstechniek;;;1;;;;;;1
A15 Wereldresataurant;;;1;;;;;;1
A1-City;;;1;;;;;;1
Aaaaha! The Actor Factory;;;1;;;;;;1
AAFM FACILITY MANAGEMENT;;;;;3;;;;3
AAGJE 1 B.V.;;;1;;;;;;1
Aal Restaurant & Wijnlokaal;;;1;;;;;;1
Aalsmeers Bloemenhuis;;;1;;;;;;1
Aan Ut Water;;;1;;;;;;1
Aas Opleiding en Training;;;;;2;;;;2
Abdij van Dokkum;;;;;;;;1;1
Abrikoos Mediterraans en Tapas Restaurant;;;1;;;;;;1
ABS INTERIM;;;;;1;;;;1
Academie Voor De Rechtspraktijk;;;;;1;;;;1
Acquire Publishing;;;;;1;;;;1
ACS Auditing & Consulting Services;;;;;1;;;;1
ACTing People;;;;;1;;;;1
Ad Hogerdijk Wijnen;;;1;;;;;;1
ADSE (incl. MovingDot);;;;;;;;1;1
Adviesdienst Mens & Veiligheid B.V.;;;;;1;;;;1
Aerozone;;;1;;;;;;1
AFHAAL DE PALMBOOM;;;1;;;;;;1
Agrip Advies;;;1;;;;;;1
Aktant Trainingen;;;;;1;;;;1
Albert Heijn (incl. albert.nl);;;1;;;;;1;1
Albron Catering;;;2;;;;;;2
Albyco;;;1;;;;;;1
Alex van Groningen Corporate & Finance Training;;;;;1;;;;1
Alida;;;1;;;;;;1
Allure Restaurant;;;1;;;;;;1
Almere City Marketing;;;1;;;;;;1
Almere Restaurant Boathouse;;;1;;;;;;1
Alpha Catering Lunchline;;;1;;;;;;1
Alpha Tours Hem;;;;;;;;1;1
Alpina van Houwening & Ijsselstijn;;;1;;;;;;1
Altro Restaurant Bar;;;1;;;;;;1
Always Sunshine;;;1;;;;;;1
Amadore Hotels en Restaurants;;;1;;;;;1;1
Amazing Bread Company (incl. Mammomi);;;1;;;;;;1
Ambachtsbakker Smolders;;;1;;;;;;1
AMBROSYA HORECA;;;1;;;;;;1
AMDS Chauffeursdiensten;;;1;;;;;;1
American Roadhouse;;;1;;;;;;1
AMF NETHERLANDS B.V.;;;1;;;;;;1
Amrath Hotel;;;1;;;;;1;1
Amsterdam Airport Schiphol;;;1;;1;;;2;2
Amsterdam Ports Association;;;1;;;;;;1
Amsterdam School of Real Estate;;;;;1;;;;1
Amsterdamse Watertaxi Centrale;;;1;;;;;;1
Amuse Restaurant;;;1;;;;;;1
Anac Indoorkarting;;;1;;;;;;1
Anak Dèpok Indonesisch Restaurant;;;1;;;;;;1
Andringa Bakkerij;;;1;;;;;;1
Anna Caspari Hotel-Restaurant;;;;;;;;1;1
Anoniem;;2;4;;6;1;;3;6
Antea (vh Oranjewoud, Save);;;;;1;;;;1
Anybody Health Center;;1;;;;;;;1
AOG Contractonderwijs (incl. Academie voor Management);;;;;1;;;;1
Apartt Rotterdam Horeca;;;1;;;;;;1
Apeldoorn & Bloemzaad Verkeersopleiding;;;;;1;;;;1
Aperitivo Café-Restaurant;;;1;;;;;;1
Apollo13;;;;;1;;;;1
Applaus Restaurant Grand Café;;;1;;;;;;1
Apply Opleidingen;;;;;1;;;1;1
APPM Management Consultants;;;;;1;;;;1
Appoint/Competence Factory;;;;;1;;;;1
Aqua Vision;;;;;1;;;;1
Aquarius Hotel-Restaurant;;;;;;;;1;1
Ara Hotel;;;1;;;;;;1
Arbo Nederland Opleidingsinstituut;;;;;1;;;;1
Arbo Unie;;1;;;1;;;;1
Arbode Maritiem;;;;;1;;;;1
Arcadis (incl. Prc./Bouwcentrum, Alkyon);;;;;1;;;;1
Archipel Brasserie;;;1;;;;;;1
Ardis Management Development;;;1;;5;;;;5
AREDA INTERNATIONAL;;;1;;;;;;1
Arnhems Meisje Grand Café;;;1;;;;;;1
Art For More;;;1;;;;;;1
Artige;;;1;;;;;;1
Artihove;;;1;;;;;;1
Artusi Restaurant;;;1;;;;;;1
Assi Safety Ned;;1;;;;;;;1
AT Computing;;;;;1;;;;1
Atim Adviesbureau;;;;;1;;;;1
ATLANTIC MARINE AND OFFSHORE;;;;;1;;;;1
Atlas Contact Uitgeverij;;;;;1;;;;1
Auberge De Smockelaer;;;1;;;;;;1
Augusta Hotel & Restaurant;;;1;;;;;1;1
AUGUSTE;;;1;;;;;;1
AutomotiveNL;;;;;1;;;;1
Avans;;;;;1;;;;1
Avex;;;1;;1;;;;1
Avifauna Vogelpark en HCR;;;1;;;;;;1
Aviodrome;;;;;1;;;;1
Avis Autoverhuur (incl. Budget rent a car);;;;;;;;1;1
AVK Adviesgroep voor Kantoorinnovatie;;;;;1;;;;1
Avnet Technology Solutions;;;;;1;;;;1
Avontuurfabriek;;;1;;;;;;1
Ayers Rock Evenementencentrum;;;1;;;;;;1
A-Z Barbecue & Gourmet Party;;;1;;;;;;1
B. Knol Verkeersschool;;;;;1;;;;1
B+B Vakmedianet;;;;;1;;;;1
BaanBaan;;;;;4;;;;4
Babel Taleninstituut;;;;;1;;;;1
Bagsandboxes;;;1;;;;;;1
Baker Tilly Berk Accountancy en Belastingadvies Specialist;;;;;2;;;;2
Bakker & Schnabel Training;;;;;1;;;1;1
Bakker Floor van Lieshout;;;1;;;;;;1
Bakker Hilvers;;;1;;;;;;1
Bakker Travel;;;;;;;;1;1
Bakker Wim BV;;;1;;;;;;1
BAKKERIJ DIETEREN B.V.;;;1;;;;;;1
BAKKERIJ SCHOT;;;1;;;;;;1
Bakkerij Schuurmans;;;1;;;;;;1
