X,Y,OBJECTID,IDENTIFICATIE,AANDUIDINGOBJECT,GEOGRAFISCHELIGGING,KUNSTENAAR,MATERIAAL,OMSCHRIJVING,ONDERGROND,PLAATSINGSDATUM,URL
4.77873847988679,51.5899163281048,693,BK-05-029,De Begijntjes,Begijnhof,Hans Bayens,"Brons, natuursteen","Twee bronzen begijntjes die met elkaar in gesprek zijn, staande op een sokkel van natuursteen.",Sokkel van natuursteen gefundeerd in de grond,1971/01/01 00:00:00+00,https://gis.breda.nl/documenten/sierende-elementen/BK-05-029.jpg
4.78335306433237,51.5815631397295,694,UB-05-204,"Fontein; Wilhelminapark",Wilhelminapark,,"water, ijzer (leidingwerken, pomp)",Een fontein in het water van de vijver van het Wilhelminapark,Vijver,,https://gis.breda.nl/documenten/sierende-elementen/UB-05-204.jpg
4.76879568341876,51.5903460652198,695,BK-05-050,"Sierlantaarn, chocolade blok",middellaan,Zalme,"Kunststof, ijzer",Een kunststoflantaarn in de vorm van een chocoblok,op de stoep,,https://gis.breda.nl/documenten/sierende-elementen/BK-05-050.jpg
4.79706451231402,51.6084825077443,696,BK-14-114,Kindvriendelijke route,Tilman Suysstraat,Ruth Verraes,"Steen, emaillen bordje","Een route van 45 stenen met emaillen plaatjes die tezamen een route door de verschillende deelwijken in Breda Noord voeren. De route is speciaal voor, en met kinderen gemaakt door de kunstenaar.",plantsoen,,https://gis.breda.nl/documenten/sierende-elementen/BK-14-114.jpg
4.78024853669503,51.6115425377387,697,BK-14-130,Kindvriendelijke route,Grimmingestraat,Ruth Verraes,"Steen, emaillen bordje","Een route van 45 stenen met emaillen plaatjes die tezamen een route door de verschillende deelwijken in Breda Noord voeren. De route is speciaal voor, en met kinderen gemaakt door de kunstenaar.",plantsoen,,https://gis.breda.nl/documenten/sierende-elementen/BK-14-130.jpg
4.82552569523011,51.5688992109474,698,BW-05-212,HH beeld ,"Kerkstraat; Bavel",H v/d Geld (1919 's-Hertogenbosch),Natuursteen en gips,Een H.H. Beeld op een witte sokkel.,Een witgeschilderde natuurstenen sokkel.,,https://gis.breda.nl/documenten/sierende-elementen/BW-05-212.jpg
4.77844800515592,51.5891517577965,699,BK-05-006,"Ruiter te paard; Merkxtuin",Willem Merkxtuin,,Brons,Een vrij smal bronzen beeld met de beeltenis van een geabstraheerd paard met ruiter.,gefundeerd in de Willem Merkxtuin,,https://gis.breda.nl/documenten/sierende-elementen/BK-05-006.jpg
4.78958926854984,51.6060805164572,700,BK-14-137,Kindvriendelijke route,Molstraat,Ruth Verraes,"Steen, emaillen bordje","Een route van 45 stenen met emaillen plaatjes die tezamen een route door de verschillende deelwijken in Breda Noord voeren. De route is speciaal voor, en met kinderen gemaakt door de kunstenaar.",plantsoen,,https://gis.breda.nl/documenten/sierende-elementen/BK-14-137.jpg
4.79723738898539,51.5513799323583,701,BW-05-218,Ulvense uil,Dorpstraat (ulvenhout),,"Brons, natuursteen, kinderkopjes",Een bronzen uil (karikatuur) staande op een sokkel van Kinderkopjes met een hardstenen bovenplaat,De sokkel staat in de grond gefundeerd,1999/02/07 00:00:00+00,https://gis.breda.nl/documenten/sierende-elementen/BW-05-218.jpg
4.80330774306171,51.5846759925374,702,BK-05-207,Tournooi vechter,Topaasstraat,E. Claus,"Brons, natuursteen",Bronzen beeld van een tournooi vechter. Het is niet natuur getrouw.,Het beeld staat op een natuurstenen sokkel  in een plantsoen staat bij een sportcomplex.,1967/01/01 00:00:00+00,https://gis.breda.nl/documenten/sierende-elementen/BK-05-207.jpg
