;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal;
&Samhoud Nederland B.V.;;;;;1;;;;1;
2 Facilitate 4 Best Results;;;;;1;;;;1;
2KNOWHOW, art of change B.V.;;;;;1;;;;1;
5hart-IT Opleidingen B.V.;;;;;4;;;;4;
7AM Den Haag B.V.;;;1;;;;;;1;
A. van Helden Relatiegeschenken B.V.;;;;;;1;;;1;
A.V. Webwinkels;;;1;;;;;;1;
A1-City B.V.;;;1;;;;;;1;
A5tien B.V.;;;;;1;;;;1;
ABAB Belastingadviseurs B.V.;;;;;;;;1;1;
Abel. Grand Café Restaurant B.V.;;;1;;;;;;1;
ABGL B.V.;4;;;;;;;;4;
ABN AMRO Bank N.V.;;;;;;;;1;1;
Academie voor Organisatiecultuur B.V.;;;;;1;;;;1;
Academie voor Vastgoed B.V.;;;;;1;;;;1;
Academy for Leadership B.V.;;;;;1;;;;1;
Academy of European Law;;;;;1;;;;1;
ACE Integraal Netwerk;;;;;1;;;;1;
Achmea Pensioen- en Levensverzekeringen N.V.;;;;;;;;1;1;
A'DAM Six Senses B.V.;;;;;;;;2;2;
AdessoTu;;;;;1;;;;1;
Adviesbureau Kleywegt B.V.;;;;;1;;;;1;
Aeclipse;;;;1;;;;;1;
AECM A.s.b.l;;;;;1;;;;1;
Aelmans Agrarische Advisering;;;;;;;;1;1;
Aenova B.V.;;;;;1;;;;1;
Aeres;;;;;1;;;;1;
AerialMedia;;;;;;1;;;1;
Aeroports de Lyon Service Comptabilite Aeroports Saint Exupery;;;;;;;;1;1;
AEVES B.V.;;;;;;;;1;1;
Agency for Agricultural Markets and Rural Development (AKTRP);;;;;;;;2;2;
Agnita Twigt B.V.;;;;;1;;;;1;
Ago Psychologenpraktijk;;;;;1;;;;1;
Agrip Advies;;;;;;1;;;1;
Ahau;;;;;1;;;;1;
AIM Group International;;;;;1;;;;1;
AimAtArt;;;;;2;;;;2;
AIMPECT;;;;;2;;;;2;
Ai-Opener;;;;;1;;;;1;
Akkervarken;;;;;1;;;;1;
Albron Nederland B.V.;;;;;;1;;1;1;
Alert Management Consultants;;;;;1;;;;1;
Alliance FranÃ§aise d'Amsterdam;;;;;1;;;;1;
Aloha Bar & Restaurant B.V.;;;;;;1;;;1;
Alpha Talen;;;;;1;;;;1;
Altuition B.V.;;;;;;;;1;1;
Always Green B.V.;;;1;;;;;;1;
Amaze Escape Events;;;1;;;;;;1;
Amier Restaurant B.V.;;;1;;;;;;1;
AMR Insights;;;;;;;;1;1;
Amsterdams ADR Instituut B.V.;;;;;1;;;;1;
Analysecentre;;;;;;;;1;1;
Anna Vastgoed & Cultuur;;;;;1;;;;1;
Annage Skûtsjesilen;;;;;;1;;;1;
Anne Boertien;;;;;1;;;;1;
Annemijn de Kort;;;;;1;;;;1;
AOG Contractonderwijs B.V.;;;;;2;;;;2;
