Staatscourant indeling,Tariefclustering,Omschrijving,Eenheid,Tarief
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning gasinstallatie,WP,"369,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning APK,KI,"430,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning BCT (Boordcomputer Taxi),WP /MAE,"418,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Inrichtingen bij mobiele keuringseenheid, mobiele onderzoekseenheid of mobiele activeringseenheid erkenninghouder",STK,"120,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning TA (tachograaf),WP,"299,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Erkenning bedrijfsvoorraad, BV",VE / NVE,"209,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Handelaarskenteken, HKB",STK,"209,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Bevoegdheid tot het melden dat tot de bedrijfsvoorraad behorende voertuigen voorgoed buiten gebruik worden gesteld, ORAD",VE / NVE,"58,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Bevoegdheid tot het versneld melden dat tot de bedrijfsvoorraad behorende voertuigen voorgoed buiten Nederland worden gebracht, OREH",VE / NVE,"58,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Bevoegdheid tot het versneld aanvragen van de inschrijving van voertuigen, VI",VE / NVE,"58,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Erkenning exportdienstverlening, ED",VE / NVE,"58,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Bevoegdheid om in geval van verkoop van een voertuig uit eigen bedrijfsvoorraad, namens de aanvrager, een aanvraag van een tenaamstelling in te dienen, TV",VE / NVE,"175,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Erkenning tenaamstelling, Kentekenloket",VE / NVE,"1.608,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Aanvraag registratie als EETS-aanbieder,VE / NVE,"7.205,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,RTL,VE / NVE,"59,50"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,"Erkenning voor de afgifte en inname van kentekenplaten, GAIK",VE / NVE,"416,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning voor het aanbrengen waarmerk in blanco kentekenplaten,VE / NVE,"416,00"
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Erkenning GWC,WP,uurtarieven artikel 3
"BIJLAGE I. AANVRAAG EN TOEZICHT ERKENNINGEN, BEVOEGDHEDEN EN HANDELAARSKENTEKENS",Aanvragen erkenningen en bevoegdheden,Verklaring van overeenstemming t.b.v. GWC,STK,"169,00"
