"Jaar","Programma","Product","Aanvrager","Doelstelling","Subsidieregeling / beleidsnota","Beleidsnota","Verleend bedrag","Vastgesteld bedrag","Verklaring lagere vaststelling"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren Dak & Vloerisolaties","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","1167000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren Doorstroming Scheef Wonen","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","55000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren Geluid","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","1328000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren Glasisolaties","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","198000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren Groene Daken","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","160000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren verhuiskosten premie","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","85000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Stadsvernieuwing woningen","Particulieren verkoop nieuwbouw middensegment","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Onderhoud particuliere woningverbetering","","50000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Wonen","Woonbeleid","IKW Steunpunt Wonen","Het realiseren van een aantrekkelijk woonklimaat voor de huidige en nieuwe bewoners van onze stad","Woonklimaat in de stad","","164000.00","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Werk en Inkomen","Werkgelegenheid","Haags Werk Bedrijf","Rentegratie naar werk","Loonwaardesubsidie (LWS)","","807492.55","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Werk en Inkomen","Werkgelegenheid","Nederland Werkt","Rentegratie naar werk","Loonwaardesubsidie","","754173.51","","Vastgesteld bedrag is niet online beschikbaar"
"2012","Werk en Inkomen","Werkgelegenheid","Schroeder vd Kolk","Rentegratie naar werk","LWS, afbouw IDG8, gewitte ID-banen en ontwikkelingskosten Schroederbanen","","2106636.82","","Vastgesteld bedrag is niet online beschikbaar"
