Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Abiom Communication Systems (A.C.S.) B.V.;;;;;;;4;;4
AC Analytical Controls B.V.;;1;;;;;;;1
Accent Interactive B.V.;;;;;;;1;;1
Actis B.V.;;2;;;;;;;2
Advanced Encryption Technology Europe B.V.;;;;2;;;;;2
Agilent Technologies Netherlands B.V.;;2;;;;;;;2
Alphatron Marine B.V.;;2;;;;;;;2
Altadis Luxembourg S.A.;;;;;1;;;;1
Anoniem_FIN_62;;;;;;;1;;1
Anton Paar Benelux BVBA;;2;;;;;;;2
Applied Biosystems;;2;;;;;;;2
Asperion Hosting;;;;;;;;1;1
Atal B.V.;;1;;;;;;;1
Autotelex B.V.;;;;2;;;;;2
Avast Software B.V.;;;;1;;;;;1
AVEQ Creatieve Producties B.V.;;;;;2;;;;2
Avetica B.V.;;;;;;;2;;2
B.V.D.A. International B.V.;;1;;;;;;;1
Böwe Systec Nederland B.V.;;6;5;;;;;;7
BatchGeo LLC;;;;1;;;;;1
Bax-shop.nl B.V.;;1;;;;;;;1
Bis;;2;;;;;;;2
BIS Econocom;;9;;;;;;;9
BIT B.V.;;;;;;;1;;1
Boom uitgevers Amsterdam B.V.;;;;1;;;;;1
Bos Incasso B.V.;;;;;;;1;;1
BPI Services B.V.;;;;1;;;;;1
Brabants Lederwarenhuis s Gravenhage B.V.;;1;;;;;;;1
Btsoftware B.V.;;;;2;;;;;2
Buyitdirect.com B.V.;;3;1;;;;6;;6
Bwise B.V.;;;;2;;;;;2
CAM Tools B.V.;;;;1;;;;;1
Cargonaut Nederland B.V.;;;;;3;;;;3
CASRA;;;;1;;;;;1
CBizz B.V.;;;;;;;1;;1
Central Point Nederland B.V.;;2;;;;;;;2
CM Telecom B.V.;;;;;;;2;;2
COMPAREX Nederland B.V.;;;;8;7;;;;9
Computacenter;;8;;;;;;;8
Conrad Electronic Benelux B.V.;;1;;;;;;;1
Coolblue B.V.;;1;;;;;;;1
Cornelese Technical Systems B.V.;;4;;;;;;;4
CreditProfessionals B.V.;;;;;;;1;;1
DataExpert B.V.;;5;;5;4;;;;6
De Klantcontact Monitor B.V.;;;;;;;;1;1
Dell Benelux Call Centre;;8;2;;;;;;8
Detron Communication Solutions;;1;1;2;;;6;;6
DifferentLab B.V.;;;;1;;;;;1
Digitale Opsporing B.V.;;;;;2;;;;2
Document Dialog B.V.;;;;;2;;;;2
D-RT Group Netherlands B.V.;;;;;;;1;;1
Duvak Automatisering B.V.;;;;;;;1;;1
Eikelboom & De Bondt It Services B.V.;;;;;3;;;;3
Elfa Elementenfabriek B.V.;;2;;;;;;;2
Elscolab B.V.;;1;;;;;;;1
Employee Performance Group B.V.;;;;3;;;;;3
ENGIE Services West B.V.;;1;;;;;;;1
Enigma Business Consulting B.V.;;;;;;;;2;2
Ernst & Young Accountants LLP;;;;2;;;;;2
Escherware B.V.;;;;;1;;;;1
Eskes Media B.V.;;;;;;;;1;1
Exact Holding B.V.;;;;;1;;;;1
Extravar B.V.;;7;4;;;;;;7
Flash Rental Services B.V.;;;;;;;1;;1
FlexForceMonkey B.V.;;;;1;;;;;1
Flexwebhosting B.V.;;;;;;;;1;1
Flipbase B.V.;;;;1;;;;;1
Fofic;;1;;;;;;;1
Fujitsu Technology Solutions (Holding) B.V.;;;;;4;;;;4
Fujitsu Technology Solutions B.V.;;6;3;8;10;3;;;11
Gartner Nederland B.V.;;;;3;;;;;3
gefeliciTAART B.V.;;;;;;;;1;1
Gemnet B.V.;;;;;;;1;;1
Genesys Telecommunications Laboratories B.V.;;;;;7;;;;7
GEVEG;;;;;1;;;;1
Go Wonder B.V.;;;;1;;;;;1
GoForIT B.V.;;;;;;;;1;1
Groningen Airport Eelde N.V.;;;;1;;;;;1
Haaklink B.V.;;5;;;;;;;5
HACH;;1;;;;;;;1
Hartech Meet- & Testapparatuur B.V.;;1;;;;;;;1
Hartwig Instruments B.V.;;1;;;;;;;1
HCL;;;;6;5;;;;7
Heijnen B.V.;;;;;1;;;;1
Hewlett-Packard Nederland B.V.;;7;2;5;7;;;;8
Hobbit Imaging Software B.V.;;;;1;;;;;1
Holland Inbouw;;1;;;;;;;1
Honeywell Building Solutions;;1;;;;;;;1
Hostnet B.V.;;;;;;;;2;2
Huisaanhuis.nu B.V.;;;;;;;;1;1
i3 groep;;9;8;7;8;;;;10
IBM Nederland B.V.;;8;;5;11;2;4;;11
ID Ware International B.V.;;;;2;;;;;2
Infopact Netwerkdiensten B.V.;;;;;;;1;;1
Infradax B.V.;;;2;;;;;;2
Inkesta B.V.;;;;1;;;;;1
Insight Enterprises Netherlands B.V.;;;;7;7;;;;8
INTER;;1;;;;;;;1
Intermax outsourcing;;;;;;;1;;1
Internedservices;;;;;;;1;;1
Inven Technology Benelux B.V.;;1;;;;;;;1
ITAA ltd.;;;;2;;;;;2
JetBrains s.r.o.;;;;;5;;;;5
Joint Analytical Systems Benelux B.V.;;1;;;;;;;1
Joint Cash & Card Software B.V.;;2;;2;;;;;2
Kamera Express;;2;;;;;;;2
KE Business B.V.;;;;;2;;;;2
KERN Nederland B.V.;;;1;;;;;;1
KLDiscovery Ontrack B.V.;1;;;;;;;;1
Koning & Hartman B.V.;;;2;;;;1;;2
KPN B.V.;;;;;;;5;;5
KPN Consulting B.V.;;1;;;;;2;;2
KPN Corporate Market;;5;;5;5;;4;;7
KPN Winkel;;;;;;;2;;2
KPN XL;;;;;;;1;;1
LeaseWeb Netherlands B.V.;;;1;;;;;;1
LeisureTeam B.V.;;;;1;;;;;1
Live Presence B.V.;;;;;3;;;;3
Loyals Online B.V.;;;;;2;;1;;2
M2C Telecom B.V.;;1;;;;;;;1
Metrohm Nederland B.V.;;1;;;;;;;1
Mettler-Toledo B.V.;;2;;;;;;;2
Micro Focus N.V.;;;;;1;;;;1
Nas!Com;;;;;;;;1;1
Netcompany Netherlands B.V.;;;;6;;;;;6
NKM Network Services B.V.;;;1;;;;;;1
NL Digitaal B.V.;;;;;;;1;;1
Opticon Benelux Naarden B.V.;;2;;;;;;;2
Oracle Nederland;;;;1;6;;;;6
OSN Nederland B.V.;;4;4;2;;;;;5
Otter Audio-Visueel;;;1;;;;;;1
Parabots;;;;;1;;;;1
Planmen Nederland B.V.;;;;;;;;2;2
Postcode.NL B.V.;;;;;;;;1;1
PQR B.V.;;;2;;;;;;2
PreFIS a.s.;;;;;;;;3;3
Priority;;;;;;;1;;1
Protinus IT B.V.;;5;2;7;7;;7;;8
Provider;;;;;1;;;;1
Q42;;;;;1;;;;1
QA Sourcing B.V.;;;;;;;;1;1
Q-RY Solutions B.V.;;1;;;;;;;1
QuoVadis Trustlink B.V.;;;;;;;1;;1
Réseaux IP Européens Network Coord. Centre;;;;;;;1;;1
Rae Benelux B.V.;;3;;;;;;;3
RS Components B.V.;;1;;;;;;;1
SafeNet Europe B.V.;;;;;;;;2;2
SAP Nederland B.V.;;;;1;7;;;;7
Schiphol Telematics B.V.;;;;;;;;5;5
Scholten Awater B.V.;;1;4;1;5;;2;;6
Scienta;;;;2;;;;;2
Sdu Uitgevers B.V.;;;;4;5;;;;6
Sectra Communications B.V.;;;;;;;2;;2
Secure Logistics B.V.;;1;;;;;;;1
Securitech Detection & Verification B.V.;;1;;;;;;;1
SkillSource;;;;1;;;;;1
SmartBear Limited;;;;;1;;;;1
SmartDC B.V.;;;;;;;;1;1
Smiths Detection Benelux B.V.;;1;;;;;;;1
Snel.com B.V.;;;;;;;1;;1
SoftwareONE B.V.;;;;;6;;;;6
Square Information Solutions B.V.;;;;3;;;;;3
Squerist Testen B.V.;;;;;;;;1;1
SRC System Integrators B.V.;;;;;1;;;;1
Sticht. Internet Domeinregistratie Nederland;;;;;;;;2;2
Syspart B.V.;;;;;;;;5;5
Taartenwinkel.nl B.V.;;;;;;;;1;1
Tectrade B.V.;;1;;;;;;;1
Tedas B.V.;;1;;;;;;;1
Tele2 Nederland B.V.;;;;;;;7;;7
Telecom.Paper B.V.;;;;;;;;2;2
Teleflex Holding Netherlands B.V.;;;1;;;;1;;1
Telfort Zakelijk;;;;;;;1;;1
Telindus-ISIT B.V.;;8;;;;;;;8
Tensing Safety & Security B.V.;;;;;3;;;;3
Thermo Fisher Scientific B.V.;;2;;;;;;;2
TMG Landelijke Media B.V.;;;;;;;;1;1
TriOpSys B.V.;;;;;;;1;;1
Ultimoo Incasso II B.V.;;;;;;;1;;1
Unisys Nederland N.V.;;1;4;;;;;;4
Vanberkel Professionals B.V.;;;;;1;;;;1
Vastgoeddata Nederland B.V.;;;;2;;;;;2
Vastgoedjournaal.nl B.V.;;;;;;;;1;1
Vicus eBusiness Solutions B.V.;;;;;2;;;;2
Vodafone;;;;;;;7;;7
VR Lab B.V.;;;;1;;;;;1
W.S.B. Solutions B.V.;;;;1;1;;;;1
Wolters Kluwer Poland Holding B.V.;;;;;4;;;;4
XCESS expertise center B.V.;;;;;2;;;;2
Xerox (Nederland) B.V.;;;1;;;;;;1
XS4ALL Internet B.V.;;;;;;;1;;1
Xtac Analytical B.V.;;1;;;;;;;1
ZDS Impex B.V.;;;;;;;1;;1
Ziggo B.V.;;;;;;;9;;9
Ziggo Services B.V.;;;;;;;1;;1
Ziggo Zakelijk Services B.V.;;;;;;;1;;1
Eindtotaal;1;11;9;10;12;3;9;7;13
