Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
2CoolMonkeys B.V.;;;;2;;;2
Aanmelder.nl B.V.;;;1;;;;1
Accenture B.V.;;;;;;4;4
Aenova B.V.;;;;;;2;2
Aivar Technologies B.V.;;;;;;1;1
Andes B.V.;;;;1;;;1
Apps B.V.;;;;2;;;2
Archie Europe B.V.;;;;1;;;1
Asp4all Hosting B.V.;;;;;3;6;6
Atos Nederland B.V.;;;;;;3;3
Between B.V.;;1;;5;;3;6
BPI Services B.V.;;;;1;;;1
BT NEDERLAND N.V.;;;;2;;;2
Bureau van Dijk Electronic Publishing B.V.;;;;2;;;2
Centersound B.V.;;;;1;;;1
Central Point Nederland B.V.;1;;;1;;;2
CGI Nederland B.V.;;4;;4;;4;5
Cimsolutions B.V.;;;;4;;;4
Cimsolutions Holding B.V.;;;;;;4;4
Circle Software Group B.V.;;;;1;;;1
CM Telecom B.V.;;;;1;;;1
COMPAREX Nederland B.V.;;1;4;5;;;6
Coosto B.V.;;;;1;;;1
Coursepath B.V.;;;;;;2;2
CycloMedia Technology B.V.;1;;;;;;1
Déhora Consultancy Group B.V.;;;2;;;;2
De Galan Groep B.V.;;;;4;;;4
Defacto Software B.V.;;;;1;;;1
Dohsbase V.O.F.;;;;1;;;1
Dun & Bradstreet B.V.;;;;2;;;2
EnablE-U B.V.;;;;2;;;2
Ensior B.V.;;;;2;;;2
Exact Holding B.V.;;;;1;;;1
Finalist IT Group B.V.;;;;1;;;1
Flaccus;;;;1;;;1
Flex-I.D. B.V.;;3;;;;;3
Forrester Research Ltd.;;;;1;;;1
Gartner Nederland B.V.;;;;1;;;1
GroupSupport.com B.V.;;;;1;;;1
Hozicom;;;;1;;;1
IBM Nederland B.V.;;;;1;;;1
Information Builders (Benelux) B.V.;;;;2;;;2
Innovero Software Solutions B.V.;;;1;1;;;1
IV-Software B.V.;;;3;2;;;3
iWelcome B.V.;;1;;;;;1
Kodision B.V.;;;;2;;;2
KPN B.V.;;;;;2;;2
LexisNexis Business Information Solutions B.V.;;;1;1;;;2
NMS National Multiple Services B.V.;;;;1;;;1
Objectif Lune Benelux B.V.;;;;1;;;1
Onestopsourcing B.V.;;;;4;;;4
Pardon Consult B.V.;;;1;;;;1
PDF-Tools AG;;;;1;;;1
Planon B.V.;;;;2;;;2
PostNL Data Solutions B.V.;;;1;1;;;1
Prisma-IT B.V.;;;;1;;;1
Protinus IT B.V.;2;;3;4;;;5
Purfacts;;;;1;;;1
QUBE ICT Solutions B.V.;;;;;;2;2
QuoVadis Trustlink B.V.;;;;1;;1;1
RedNose IT B.V.;;;;3;;;3
SAP Nederland B.V.;;;;6;;;6
Science Plus Group B.V.;;;;1;;;1
Sectra Communications B.V.;;;;;2;;2
Security Weaver LLC;;;;2;;;2
Stichting LINDA. Foundation;4;;;;;;4
T&T Compet&t.b.v.;;;;2;;;2
Tele2 Nederland B.V.;;;;;1;;1
Telegrootgebruik B.V.;;;;;1;;1
TOPdesk Nederland B.V.;;;;2;;;2
Uptrends B.V.;;;;1;;;1
Verdonck, Klooster & Associates B.V.;;;;3;;;3
VNSG Diensten B.V.;;;;1;;;1
Vodafone Libertel B.V.;;;;;5;;5
Voormedia B.V.;;;;1;;;1
Wortell System Integrations & Services B.V.;;;;2;;;2
XS4ALL Internet B.V.;;;;;1;;1
Your Hosting B.V.;;;;1;;;1
Youwe Commerce B.V.;;;;;;2;2
Zet Solutions B.V.;;;1;;;;1
Eindtotaal;4;4;5;7;6;7;8
