FID,omschr,doorrijhgt,invent_oms,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
kunstinweg_kenmerk.1,Viaduct,0,VIAD.OVER KP.KLEINPOLDERPLEIN,R,28.81500053,R,29.30400085,,020,LTK0000482200,M,I,,"LINESTRING (89648.5100999996 438711.56439999864, 89654.25890000165 438703.4252999984, 89693.98149999976 438645.78280000016, 89699.79969999939 438637.6398999989, 89703.6959999986 438632.4919000007, 89709.87920000032 438624.5962000005, 89714.97320000082 438618.40790000185, 89724.9112999998 438607.13899999857, 89739.3024000004 438592.5417999998, 89748.41189999878 438584.6845000014, 89752.34450000152 438581.559799999, 89756.44040000066 438578.60449999943, 89760.75189999864 438575.82990000024, 89772.86630000174 438569.6871000007, 89777.5203000009 438567.78730000183, 89787.30530000106 438564.78720000014, 89793.61510000005 438563.37139999866, 89803.53069999814 438562.07009999827, 89808.77519999817 438561.8300999999, 89813.1790000014 438561.7608000003, 89821.4785999991 438562.13910000026, 89826.44420000166 438562.7250000015, 89831.19379999861 438563.4932000004, 89840.25470000133 438565.67650000006, 89846.34870000184 438567.7023999989, 89851.00409999862 438569.5267999992, 89855.67660000175 438571.6055999994, 89864.76590000093 438576.1169000007, 89873.47439999878 438581.0333000012, 89881.98070000112 438586.43510000035, 89893.4384999983 438594.31390000135, 89974.82600000128 438652.6680999994, 90022.25389999896 438687.5692999996)"
kunstinweg_kenmerk.2,Viaduct,0,VIAD O/D TIELSESTRAAT,R,153.26199341,R,153.31599426,,015,LTK0000483400,M,I,,"LINESTRING (180523.13610000163 434823.7175000012, 180522.84279999882 434823.37260000035, 180518.89400000125 434818.78280000016, 180515.1697999984 434814.57939999923, 180513.14119999856 434812.24859999865, 180508.43840000033 434806.8568999991, 180507.2291000001 434805.4759999998, 180502.2329000011 434799.8451000005, 180499.32229999825 434796.48519999906, 180496.05249999836 434792.8596000001, 180491.40729999915 434787.65019999817, 180490.7340000011 434786.91010000184, 180488.0799999982 434783.9697000012)"
kunstinweg_kenmerk.3,Viaduct,0,VIAD.O/D R 001,R,97.91799927,R,98.02600098,,027,LTK0000494800,M,I,,"LINESTRING (144956.5390000008 471319.7373000011, 144956.74399999902 471319.83630000055, 144967.33810000122 471325.5971000008, 144975.8850999996 471330.81010000035, 144984.21660000086 471336.34059999883, 144990.91950000077 471341.2377999984, 144994.85979999974 471344.3167999983, 145002.69669999927 471350.86129999906, 145010.1125999987 471357.57880000025, 145014.80029999837 471362.23490000144, 145021.6275999993 471369.5472000018, 145026.0810999982 471374.71869999915, 145032.36030000076 471382.50250000134, 145032.8000999987 471383.1063000001)"
kunstinweg_kenmerk.4,Viaduct,0,'VIAD.O/H SPOOR',R,45.10300064,R,45.13299942,,001,LTK0000495300,M,I,,"LINESTRING (157481.6501000002 464711.9948000014, 157481.1341000013 464709.53559999913, 157474.32180000097 464682.9059000015)"
kunstinweg_kenmerk.5,Viaduct,0,VIAD. O/D DE TOL RW059,R,122.48200226,R,122.53900146,,059,LTK0000301051,M,I,,"LINESTRING (139516.8669999987 412241.62029999867, 139514.7800000012 412237.33300000057, 139512.15100000054 412218.3189999983, 139513.56700000167 412197.0799999982, 139517.15190000087 412185.8896000013)"
kunstinweg_kenmerk.6,Viaduct,0,VIAD.,R,53.47299957,R,53.48400116,,006,LTK0000321256,M,I,,"LINESTRING (146140.38850000128 485307.2320000008, 146126.09580000117 485302.6799999997)"
kunstinweg_kenmerk.7,Viaduct,0,VIAD. O/D RW. 6,R,57.34199905,R,57.45899963,,006,LTK0000324287,M,I,,"LINESTRING (148889.1801000014 488131.500599999, 148888.625 488125.4620000012, 148887.2969999984 488102.6330000013, 148889.04199999943 488074.631000001, 148894.59699999914 488051.2679999992, 148901.4990000017 488026.31500000134, 148905.15520000085 488017.9734000005)"
kunstinweg_kenmerk.8,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),R,7.58500004,R,7.65999985,,009,LTK0000378594,M,I,,"LINESTRING (127799.91259999946 480772.39090000093, 127739.82299999893 480743.7140999995, 127732.13450000063 480740.28539999947)"
kunstinweg_kenmerk.9,Tunnel,0,GAASPERDAMMERTUNNEL(OPEN GED.),R,10.20600033,R,10.24699974,,009,LTK0000378596,M,I,,"LINESTRING (125483.34319999814 479478.378800001, 125484.18329999968 479478.9213999994, 125519.53759999946 479498.1724999994)"
kunstinweg_kenmerk.10,Viaduct,0,VIAD.,R,10.47200012,R,10.5,,009,LTK0000378597,M,I,,"LINESTRING (125290.87009999901 479361.90089999884, 125276.80849999934 479353.61360000074, 125270.02950000018 479344.1046000011)"
