Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9303 - Laboratoriuminstrumenten;Eindtotaal
2com;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
2CoolMonkeys B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
360-Control B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
3Bplus B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3D Magic;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3K Horeca B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3M Nederland B.V.;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
4 the compagnie B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
42on B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
4C Creative CAD CAM Consultants;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
4D organisatieontwikkeling & opleiding;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4Dental Tandtechniek;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
5HART -IT Opleidingen B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
5HART-IT OPLEIDINGEN B.V.;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
6X International B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
7AM B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A & C Presentations;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A World of Fantasy B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
A. Appelo;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. de Bruin-Folgerts;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. de Jong T.H. Beheer;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
A. Dovens Meubelen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Dubois & Zonen V.O.F.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Hak Industrial Services B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
A. Hak West B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
A. Kleinpenning, Musicus;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Nobel en Zn. Bunkerservice B.V.;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
A. Nobel en Zn. Filtration/Separation B.V.;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
A. v. Tilburg Handelsond. en Techniek B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;1;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;2
A.C.M. Products B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.D.H. Sound Supply;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.D.J. van Gemeren huisarts;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.H.E.M. van Kessel;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.J. Steenkist-Rooijmans B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.M. Burger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
A.M.S. Firma A. Vos & Zoons;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.P.K. Centrum Osdorp B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
A.P.S. (Aviation Patch Supplies);;;1;1;;2;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;;2
A.Z. Hollink B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
A1 Touch Solution B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
A1-Plaza B.V.;;;1;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
a4 Training;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aa.Al Video B.V.;;;;;;;;;;;1;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AAB Beveiligingen B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2
AAB Management Services B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
aadesign;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AAF-International B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1
AAFM Facility Management B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aalsmeerse Bloemenhal Berendsen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aaltje Vincent & Company;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aanhangerland Gehamie B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aanhangwagen Centrum Eindhoven B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Aannemersbedrijf Van Beurden B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemingsbedrijf Dozy B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemingsbedrijf Draisma B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemingsbedrijf Tatenhove B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemingsmaatschappij van Gelder B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AAP Klimsportspecialist B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3
Aar Aircr. Comp. Serv. Aar Internat. Incorp.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Aata International B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
ABB B.V.;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Abbott B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AbbVie B.V.;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
Abel. Grand Café Restaurant B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;;;;;;;;;4;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;4
Abiom Fleet Systems B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Able 2 B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABN AMRO Bank;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABN AMRO Bank N.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ABN AMRO Lease N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
Aboma;;;;;;2;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2
Abonnementenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
About Flowers;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abtronix B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Abus Kraansystemen B.V.;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Chinese Geneeswijze Qing-Bai;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Psychologica;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academische Huisartsenpraktijk Bankras;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academy Payroll Professionals;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acal Technology Netherlands;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accelonix B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Accenture B.V.;;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
ACCO Brands Benelux B.V.;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
AccreDidact B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Accres Apeldoorn B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Accu Centrale Hippo (ACH) B.V.;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Accuman.nl;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
ACES Direct B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acin Instrumenten B.V.;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
ACM Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACN Bliksembeveiliging B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acoutronics B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACP Identificatiesystemen B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACTA Dental Education B.V.;;;;;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ActaForce B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2
Actief Accuraat AA Service en Onderhoud B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Action Events B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Active Health Center Ypenburg;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Actra Amersfoort B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Ad Ballon Ballonvaarten B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3
Ad Hogerdijk Wijnen;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AD NieuwsMedia B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
Ad Roland Media B.V.;;;1;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2
Ad van Gils Motors V.O.F.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adams Orthopedische Schoentechnieken B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ADDED PHARMA B.V.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Add-Mission B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Adecco Detachering B.V.;;;1;2;;2;;;;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4
Adecco Detachering BV;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;5
Adecco Nederland Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Adecco Personeelsdiensten B.V.;;;1;;;1;1;;;6;3;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;6
Adelfi B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adfo Groep B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Adiform;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Administratie en Organisatie Liesbeth Franz;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ADO Hospitality & Events B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;3
Adola B.V.;;;;;2;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;3
Adprosign;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adquipment Medical B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adriaan Blom Bloemenspecialist;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Adriaanse Vastgoed B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adrie Sluimer;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ADS Propulsion B.V.;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
AD-S&Co B.V.;;;;;;;;;;;6;;;;1;;;3;3;1;;;;;;;;;;;;;;;;;;;;6
Advance Leadership Development B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advanced Dental Diagnostics B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advanced Plastics Benelux B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Advast Real Estate Office Support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
Adventure King B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AdviCo Mercuur B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advisafe Risk Management B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Advising People & Organisations B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Jacobs B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Ae Sensors B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aebi Schmidt Nederland B.V.;;;;;;;;;;;3;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;4
AEC Air Support B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AEDcompany.nl;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
AEG Eurolec Holding B.V.;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;1
AEG Power Solutions B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AEGON Nederland N.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aeneas B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aeneas Uitgeverij van Vakinformatie;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AEP International B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aero Marche B.V.;;;;;;;;;;;5;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;5
AeroChefs B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aerospace Competence Center B.V.;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aerotech Holland;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
Aeroworks Composites B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AESC B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AET Europe BV;;;;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;2
Afd. Eindh. e.o. van het Nederl. Rode Kruis;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Aforma Drukkerij B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Africhtingsstal van Laar;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Afuture;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agathon Coaching & Loopbaanadvies V.O.F.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AGC Gerechtsdeurwaarders & Incasso Groningen;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Agfa-Gevaert B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Aggreko Nederland B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Agilent Technologies Netherlands B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AgruniekRijnvallei Voer B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AGS Holland Distribution B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahoy Rotterdam N.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ahrend Inrichten B.V.;;;1;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;2
AIB Nieuwsdienst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
AIC;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Aidea (Ontwikkeling en Advies);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AIM Nederland B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Air Center Best B.V.;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Air Group B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Air Liquide B.V.;;;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1
Air Products Nederland B.V.;;;1;;;;;;;;2;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;2;3
Aircontrol Automotive B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Aircraft & Component MRO B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aircraft Maintenance & Training School B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Airlet Continental B.V.;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Air-Parts B.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Airport Medical Services B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Airport Medical Services C.V.;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Airport Real Estate Management B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;4
AIS Vliegopleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Akkermans Techniek Bergen op Zoom B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Akse Media B.V.;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AKZO Nobel Car Refinishes;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Alambik distilleerderij V.O.F.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alba-academie;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albers Zeilmakerij B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Albersen Verhuur B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Albert Dijk Interieurs;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albion Pumps and Sealing Systems V.O.F.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albyco Nederland B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Alcatel-Lucent Nederland B.V.;;;;;;1;;;;;;;;;;;;;;;7;;;;7;;;;;;;;;;;;;;;7
Alcomex Veren B.V.;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Alcon Nederland B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aldoscreen Zeefdrukkerij B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Alere Health B.V.;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Alert Materials Handling B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
Alert Teleservices B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alex Aalders Bloemist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ALFA bureau voor certificering B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alfa Laval Benelux B.V.;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2
Alfen B.V.;;;;;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2
Alfred Knorr Communicatie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Algeco B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Algemene Stichting Horeca Onderwijs;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
