FID,y,x,group_,name,folder,urlbig,se_anno_cad_data,gdb_geomattr_data,shape
zn_helicopterfotos_2009_02.1,419009.8075,148325.177,a2_denbosch-zaltbommel,jvh-a2_db-0430,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0430.jpg,,,POINT (148325.17700000107 419009.80799999833)
zn_helicopterfotos_2009_02.2,418926.4622,148253.7471,a2_denbosch-zaltbommel,jvh-a2_db-0431,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0431.jpg,,,POINT (148253.74700000137 418926.4620000012)
zn_helicopterfotos_2009_02.3,418926.4622,148253.7471,a2_denbosch-zaltbommel,jvh-a2_db-0432,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0432.jpg,,,POINT (148253.74700000137 418926.4620000012)
zn_helicopterfotos_2009_02.4,418887.5748,148215.377,a2_denbosch-zaltbommel,jvh-a2_db-0433,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0433.jpg,,,POINT (148215.37700000033 418887.57499999925)
zn_helicopterfotos_2009_02.5,418850.9151,148175.3522,a2_denbosch-zaltbommel,jvh-a2_db-0434,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0434.jpg,,,POINT (148175.35200000182 418850.9149999991)
zn_helicopterfotos_2009_02.6,418818.7089,148133.0545,a2_denbosch-zaltbommel,jvh-a2_db-0435,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0435.jpg,,,POINT (148133.0549999997 418818.70899999887)
zn_helicopterfotos_2009_02.7,418803.1632,148111.2158,a2_denbosch-zaltbommel,jvh-a2_db-0436,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0436.jpg,,,POINT (148111.21599999815 418803.1629999988)
zn_helicopterfotos_2009_02.8,418760.9789,148044.117,a2_denbosch-zaltbommel,jvh-a2_db-0437,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0437.jpg,,,POINT (148044.1169999987 418760.9789999984)
zn_helicopterfotos_2009_02.9,418691.0482,147929.7521,a2_denbosch-zaltbommel,jvh-a2_db-0438,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0438.jpg,,,POINT (147929.75200000033 418691.0480000004)
zn_helicopterfotos_2009_02.10,418637.7808,147834.6713,a2_denbosch-zaltbommel,jvh-a2_db-0439,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a2_denbosch-zaltbommel/2009-02/jvh-a2_db-0439.jpg,,,POINT (147834.6710000001 418637.7809999995)
